"sample.depths","sample.ages","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Caryophyllaceae","Castanea","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum","Epilobium","Equisetum","Ericaceae","Fagus","Fraxinus","Huperzia.selago","Indeterminable","Isoëtes","Larix","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polypodiaceae","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Salix","Sparganium","Sphagnum","Thalictrum","Ulmus","Unknown"
0,74,1,50,3,7,4,3,177,1,0,1,45,0,0,0,18,0,0,0,3,0,0,10,2,1,1,1,80.5,2,0,1,0,11,3,0,1,0,1,3,0,32,0,0,0
2.5,210,0,65,1,7,12,3,197,0,0,4,65,2,0,0,30,0,0,0,1,1,0,0,20,0,0,0,110.5,4,0,2.5,0,6,3,1,0,0,0,4,0,27,0,0,0
5.5,373,1,34,0,4,9,3,214,0,0,6,102,1,1,0,33,0,0,0,0,0,1,0,23,0,0,0,71.5,4,0,2,0,11,0,0,0,2,0,6,0,26,0,0,0
10,619,1,37,0,0,9,1,220,0,0,1,67,5,0,0,58,0,1,2,3,1,0,5,30,0,0,0,113.5,25,0,5,0,7,3,0,0,0,0,4,0,31,0,0,2
15.5,918,0,61,1,0,7,6,195,0,0,9,82,0,1,0,35,0,0,0,1,2,0,25,0,0,0,0,96.5,7,0,2,1,5,8,1,1,1,0,9,0,33,0,0,1
20,1164,0,43,0,2,9,1,191,0,0,0,57,2,0,0,30,0,0,0,2,0,1,0,28,1,0,0,124.5,34,0,4,0,10,3,1,0,0,0,4,0,23,0,0,1
25,1436,0,55,1,1,4,3,185,0,0,7,86,3,0,0,39,0,0,0,2,1,0,0,30,0,0,0,110.5,9,0,3.5,0,6,5,3,0,0,0,11,0,22,0,0,0
29.5,1681,0,76,1,2,8,3,225,0,0,2,65,5,0,1,41,1,0,1,1,1,0,1,20,1,0,0,148,33,3,3.5,0,7,5,0,1,0,0,8,0,35,0,1,1
40,2254,0,69,4,1,9,1,221,0,0,6,71,0,0,1,29,0,0,0,1,4,0,0,21,0,0,0,126,21,1,3.5,0,9,12,0,0,0,0,4,0,39,0,1,0
50,2799,0,92,1,5,6,0,227,0,0,7,54,2,0,1,38,0,0,0,0,0,0,1,30,0,0,0,133,22,2,3,1,8,9,0,0,0,0,4,0,21,0,0,0
60,3344,0,80,1,2,5,2,183,0,0,0,58,0,0,0,27,1,0,1,0,3,1,1,20,0,0,0,165,3,0,1,0,3,20,0,0,0,0,5,0,18,0,0,0
70,3889,2,90,1,4,12,1,175,0,0,1,59,2,0,0,30,0,1,0,1,8,0,1,25,0,0,0,108.5,32,0,0.5,0,13,18,0,0,0,0,3,0,28,0,0,0
80,4434,1,116,2,3,6,2,162,0,0,3,71,0,0,1,22,0,0,0,0,5,1,1,22,0,0,0,160.5,2,1,1,0,2,10,1,0,0,0,3,0,9,0,0,0
90,4979,2,153,2,0,9,0,179,0,1,8,52,0,0,2,34,0,0,0,1,4,2,1,18,0,0,0,87.5,13,1,2.5,0,6,15,1,3,0,0,11,0,32,1,1,0
100,5524,0,121,4,1,13,1,180,0,0,1,60,2,1,0,14,0,0,0,0,1,3,0,26,0,0,0,83,5,0,3.5,0,8,8,4,0,0,0,5,1,10,0,0,0
105,5796,0,137,1,4,8,0,192,0,0,5,43,3,0,0,22,0,0,0,0,1,0,0,29,3,0,0,84.5,7,1,4,0,8,9,2,1,0,0,13,0,17,0,0,0
110,NA,0,122,8,0,12,1,147,0,0,5,78,5,0,1,9,0,0,2,1,0,0,0,15,0,0,0,98.5,22,0,10.5,0,9,3,3,0,0,0,14,0,19,0,0,0
115,NA,0,84,2,6,13,1,90,0,0,7,189,0,0,1,3,0,0,1,2,0,2,0,22,0,0,0,145.5,5,0,3,0,3,1,3,0,0,0,21,0,35,0,0,0
