"sample.depths","sample.ages","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Betula","Carya","Chamaecyparis","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Herbs.undiff.","Juglans.nigra","Liquidambar","Nyssa","Ostrya.Carpinus","Plantago.lanceolata","Platanus","Quercus","Rumex","Shrubs.undiff.","Tsuga","Ulmus","Alnus","Anacardiaceae","Pinus","Amaranthaceae","Iva","Castanea","Ilex","Rhamnaceae.Vitaceae.undiff.","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Myrica","Juglans.cinerea","Salix","Tilia","Vitis","Cerealia","Caprifoliaceae","Rubiaceae","Artemisia","Fraxinus.nigra.type","Corylus","Picea","Abies","Sanguisorba"
0,2,0.0032258064516129,0.00967741935483871,0.17741935483871,0.0806451612903226,0.0032258064516129,0.0838709677419355,0.0225806451612903,0.0129032258064516,0.0032258064516129,0.0032258064516129,0.0161290322580645,0.00967741935483871,0.0032258064516129,0.0225806451612903,0.0129032258064516,0.0032258064516129,0.0129032258064516,0.0129032258064516,0.32258064516129,0.0032258064516129,0.0064516129032258,0.0129032258064516,0.0129032258064516,0.0064516129032258,0.00967741935483871,0.112903225806452,0.0161290322580645,0.0032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,35,0,0.0157728706624606,0.0725552050473186,0.100946372239748,0.00630914826498423,0.0757097791798107,0.00946372239747634,0.028391167192429,0.00315457413249211,0.00315457413249211,0.00946372239747634,0.0126182965299685,0,0,0.116719242902208,0.00315457413249211,0.00630914826498423,0,0.315457413249211,0.00315457413249211,0,0.0189274447949527,0.00630914826498423,0.0157728706624606,0.00630914826498423,0.129337539432177,0,0.00315457413249211,0.00315457413249211,0.0157728706624606,0.00630914826498423,0.00315457413249211,0.00315457413249211,0.00630914826498423,0,0,0,0,0,0,0,0,0,0,0,0,0
30,101,0.0056657223796034,0,0.28328611898017,0.0453257790368272,0.0226628895184136,0.0113314447592068,0.11614730878187,0.0311614730878187,0,0,0.0509915014164306,0.0084985835694051,0,0.0056657223796034,0,0,0.0141643059490085,0.0028328611898017,0.192634560906516,0.0254957507082153,0.0028328611898017,0.0084985835694051,0.0084985835694051,0.0113314447592068,0,0.113314447592068,0,0.0028328611898017,0.0028328611898017,0,0,0,0.0113314447592068,0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0113314447592068,0,0,0,0,0,0,0,0
50,167,0.00352112676056338,0.0105633802816901,0.0528169014084507,0.154929577464789,0.0211267605633803,0.179577464788732,0.0422535211267606,0.00704225352112676,0.0105633802816901,0.0105633802816901,0.00352112676056338,0.00352112676056338,0,0,0.0176056338028169,0,0.00352112676056338,0.00352112676056338,0.330985915492958,0,0.00352112676056338,0.0176056338028169,0,0.0176056338028169,0,0.073943661971831,0.00352112676056338,0,0,0.0140845070422535,0,0,0.00704225352112676,0,0,0,0,0,0,0.00704225352112676,0,0,0,0,0,0,0
70,1427,0,0.0090702947845805,0.0136054421768707,0.00226757369614512,0.00453514739229025,0.315192743764172,0.00226757369614512,0.00680272108843537,0,0,0.00226757369614512,0.00226757369614512,0,0,0.00680272108843537,0.00226757369614512,0,0,0.414965986394558,0,0,0.0158730158730159,0.00680272108843537,0.0272108843537415,0.00226757369614512,0.122448979591837,0,0,0.00226757369614512,0.0158730158730159,0.00226757369614512,0,0.0090702947845805,0.00680272108843537,0,0.00226757369614512,0.00226757369614512,0,0,0,0.00226757369614512,0,0,0,0,0,0
90,3880,0.00311526479750779,0.0186915887850467,0.00623052959501558,0.0280373831775701,0.00623052959501558,0.168224299065421,0.0218068535825545,0.00623052959501558,0.00623052959501558,0.00623052959501558,0.0155763239875389,0,0,0,0.00311526479750779,0.0218068535825545,0,0.00311526479750779,0.457943925233645,0,0,0.0249221183800623,0.00311526479750779,0.0186915887850467,0,0.158878504672897,0,0,0,0.00311526479750779,0,0,0.00311526479750779,0.00311526479750779,0,0,0,0,0,0,0.00623052959501558,0.00311526479750779,0.00311526479750779,0,0,0,0
110,6333,0,0.00383141762452107,0.0114942528735632,0.0191570881226054,0.00383141762452107,0.00766283524904215,0.0306513409961686,0,0.0191570881226054,0.0191570881226054,0.0114942528735632,0,0,0.00383141762452107,0.00383141762452107,0.00766283524904215,0,0.00766283524904215,0.478927203065134,0,0,0.0383141762452107,0.0114942528735632,0.0306513409961686,0,0.264367816091954,0,0,0,0,0,0.00383141762452107,0.0114942528735632,0,0,0.00383141762452107,0,0,0,0.00383141762452107,0,0,0,0.00383141762452107,0,0,0
130,8787,0,0,0.0123839009287926,0.0495356037151703,0,0,0.0247678018575851,0,0,0,0.00928792569659443,0.00619195046439629,0.00309597523219814,0,0.0123839009287926,0.0402476780185759,0,0,0.417956656346749,0,0,0.0154798761609907,0.00619195046439629,0.0588235294117647,0,0.321981424148607,0,0,0,0,0.00309597523219814,0,0,0.00928792569659443,0,0,0,0,0,0.00309597523219814,0,0,0,0.00619195046439629,0,0,0
150,11240,0.00320512820512821,0,0.00641025641025641,0.0288461538461538,0.00320512820512821,0,0.0384615384615385,0.00320512820512821,0,0,0.016025641025641,0.0224358974358974,0,0,0.00320512820512821,0.00961538461538462,0,0.00641025641025641,0.230769230769231,0,0,0.0256410256410256,0.0192307692307692,0.0833333333333333,0.00641025641025641,0.439102564102564,0.00320512820512821,0,0,0.0128205128205128,0,0,0.00961538461538462,0.00961538461538462,0,0,0,0,0,0.00961538461538462,0,0,0.00641025641025641,0.00320512820512821,0,0,0
170,NA,0.00340136054421769,0,0.0136054421768707,0.0204081632653061,0.00340136054421769,0.0340136054421769,0.0204081632653061,0.0136054421768707,0.00340136054421769,0.00340136054421769,0.0170068027210884,0.0102040816326531,0,0,0,0.0204081632653061,0,0,0.319727891156463,0,0,0.0306122448979592,0.0102040816326531,0.142857142857143,0,0.299319727891156,0,0,0,0.00680272108843537,0.00340136054421769,0,0,0.00340136054421769,0,0,0,0,0,0,0,0.0102040816326531,0,0.00680272108843537,0.00340136054421769,0,0
190,NA,0.00706713780918728,0,0,0.0459363957597173,0.00353356890459364,0,0.0353356890459364,0,0,0,0.0212014134275618,0.00706713780918728,0,0,0,0.00353356890459364,0,0,0.183745583038869,0,0,0.0282685512367491,0.00353356890459364,0.0353356890459364,0.00353356890459364,0.579505300353357,0,0,0,0,0,0,0.00353356890459364,0.0141342756183746,0.00353356890459364,0,0,0,0,0,0,0,0.00353356890459364,0.00706713780918728,0.00706713780918728,0.00353356890459364,0
200,NA,0.00316455696202532,0.00316455696202532,0,0.0379746835443038,0,0,0.0316455696202532,0.00316455696202532,0,0,0.0126582278481013,0,0,0,0,0.0126582278481013,0,0,0.113924050632911,0,0,0.0316455696202532,0,0.0348101265822785,0,0.632911392405063,0,0,0,0.00632911392405063,0,0,0.00316455696202532,0.00632911392405063,0.00316455696202532,0,0,0,0,0,0,0,0,0.00632911392405063,0.0411392405063291,0.0126582278481013,0.00316455696202532
215,NA,0.0088495575221239,0,0.00294985250737463,0.0353982300884956,0,0,0.0530973451327434,0.00294985250737463,0.00294985250737463,0,0.023598820058997,0,0,0,0,0.0147492625368732,0,0,0.079646017699115,0,0,0.0088495575221239,0.00294985250737463,0.0294985250737463,0,0.631268436578171,0,0,0,0.00294985250737463,0,0.00294985250737463,0.00294985250737463,0.0117994100294985,0,0,0,0,0,0.00294985250737463,0,0,0.00294985250737463,0.0088495575221239,0.0589970501474926,0.0088495575221239,0
