"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Artemisia","Betula","Caryophyllaceae","Cyperaceae","Ericaceae","Picea","Salix","Pinus","Poaceae","Rosaceae","Ranunculaceae","Oxyria.digyna"
250,45,354,63,4,108,1,88,7,52,2,7,3,19,0,0
260,793,98,15,1,34,0,14,0,22,1,1,0,8,2,0
270,1541,488,91,3,165,0,66,11,105,10,9,5,20,2,1
280,2289,335,75,3,114,0,42,7,60,1,5,6,18,4,0
290,3038,409,95,0,146,0,47,6,75,4,5,7,21,3,0
300,3786,444,142,1,166,0,34,7,59,1,8,5,17,4,0
310,4534,440,160,2,156,0,31,5,44,4,1,7,21,9,0
320,5283,434,169,3,156,0,26,10,24,2,2,3,32,6,1
330,6031,437,194,2,161,0,28,2,10,5,5,8,12,10,0
335,6405,359,146,0,158,0,17,1,2,10,8,5,6,6,0
340,6748,379,55,1,205,1,41,2,7,24,6,25,5,7,0
345,7090,292,21,0,180,2,20,1,0,38,1,15,13,1,0
350,7433,323,45,2,190,0,20,3,2,15,3,26,14,3,0
355,7775,323,28,2,191,0,29,4,1,36,3,5,14,7,3
360,8118,93,13,5,15,0,28,3,1,10,1,6,4,6,1
365,8339,56,0,4,2,0,31,0,0,12,0,3,0,1,3
380,9003,75,0,3,2,2,10,0,0,0,0,6,5,47,0
400,NA,30,0,0,0,1,11,0,0,0,0,8,0,9,1
