"sample.depths","sample.ages","Abies","Acer","Alnus","Betula","Caprifoliaceae","Carya","Celtis","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex.Nemopanthus","Juglans","Larix","Liquidambar","Myrica.Comptonia.peregrina","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhus","Salix","Taxus","Tilia","Tsuga","Ulmus","Vitaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Fabaceae","Poaceae","Ranunculaceae","Rosaceae","Rumex","Urticaceae"
0,-34,0,0.0125,0.040625,0.196875,0.0015625,0.00625,0.003125,0,0.05625,0,0.0125,0.025,0,0,0.003125,0.0015625,0,0.009375,0.00625,0.0109375,0.0640625,0.059375,0,0.04375,0.115625,0,0.009375,0,0.003125,0.0453125,0.0578125,0,0.1,0,0.0125,0.0078125,0.0109375,0.009375,0.0078125,0.053125,0,0,0.00625,0.0078125
10,136,0,0.0129032258064516,0.0451612903225806,0.135483870967742,0,0.0064516129032258,0,0,0.0752688172043011,0,0.0279569892473118,0.0150537634408602,0,0.0021505376344086,0.0172043010752688,0,0,0.00860215053763441,0.010752688172043,0.0064516129032258,0.101075268817204,0.178494623655914,0.00860215053763441,0.0172043010752688,0.0903225806451613,0,0,0,0.0021505376344086,0.0881720430107527,0.0344086021505376,0.0021505376344086,0.0451612903225806,0,0.0064516129032258,0.0043010752688172,0.00860215053763441,0.0043010752688172,0.0021505376344086,0.0387096774193548,0,0,0.0043010752688172,0
15,222,0.00194931773879142,0.0116959064327485,0.0253411306042885,0.159844054580897,0,0.00194931773879142,0,0,0.0721247563352826,0,0.0350877192982456,0.0194931773879142,0,0,0.0116959064327485,0,0,0.0331384015594542,0.00779727095516569,0.00584795321637427,0.0916179337231969,0.113060428849903,0.00194931773879142,0.0448343079922027,0.0994152046783626,0,0.00584795321637427,0,0.00194931773879142,0.116959064327485,0.037037037037037,0,0.0448343079922027,0,0.00584795321637427,0.00389863547758285,0.00779727095516569,0.0116959064327485,0.00194931773879142,0.0214424951267057,0,0.00194931773879142,0.00194931773879142,0
20,307,0,0.0257801899592944,0.0135685210312076,0.194029850746269,0,0.00271370420624152,0,0.00271370420624152,0.0949796472184532,0,0.0244233378561737,0.0203527815468114,0,0,0.0108548168249661,0,0,0.0162822252374491,0.00271370420624152,0.00814111261872456,0.0597014925373134,0.146540027137042,0.00135685210312076,0.0176390773405699,0.090909090909091,0,0.00271370420624152,0,0.00135685210312076,0.189959294436906,0.0325644504748982,0,0.0162822252374491,0,0.00407055630936228,0.00271370420624152,0.00135685210312076,0.0108548168249661,0,0.00407055630936228,0,0,0.00135685210312076,0
22,341,0,0.024896265560166,0.0228215767634855,0.155601659751037,0,0.004149377593361,0,0.00622406639004149,0.0767634854771784,0,0.029045643153527,0.0186721991701245,0,0,0.012448132780083,0.0020746887966805,0,0.016597510373444,0.0020746887966805,0.0103734439834025,0.0933609958506224,0.0684647302904564,0.00622406639004149,0.0269709543568465,0.0850622406639004,0,0.0020746887966805,0,0.00622406639004149,0.246887966804979,0.0435684647302905,0,0.0103734439834025,0,0.00622406639004149,0,0.0020746887966805,0.016597510373444,0,0.004149377593361,0,0,0,0
24,375,0,0.0117096018735363,0.0210772833723653,0.126463700234192,0,0.00234192037470726,0,0.00234192037470726,0.053864168618267,0,0.0304449648711944,0.0304449648711944,0,0,0.0257611241217799,0,0.00234192037470726,0.0140515222482436,0.00234192037470726,0.0163934426229508,0.100702576112412,0.0960187353629977,0,0.0234192037470726,0.110070257611241,0,0,0,0,0.269320843091335,0.0234192037470726,0,0.0117096018735363,0,0.00702576112412178,0.00234192037470726,0.00468384074941452,0.00702576112412178,0,0.00468384074941452,0,0,0,0
30,477,0,0.0145772594752187,0.0174927113702624,0.137026239067055,0,0.00291545189504373,0.00145772594752187,0,0.043731778425656,0,0.0495626822157434,0.0174927113702624,0,0.00145772594752187,0.0189504373177843,0,0,0.0247813411078717,0.00291545189504373,0.0087463556851312,0.0641399416909621,0.17930029154519,0.00583090379008746,0.0335276967930029,0.0889212827988338,0,0,0,0.0043731778425656,0.224489795918367,0.0306122448979592,0,0.00583090379008746,0,0.00145772594752187,0.00291545189504373,0,0.0131195335276968,0,0.0043731778425656,0,0,0,0
40,647,0,0.0155038759689922,0.0155038759689922,0.15968992248062,0,0.00310077519379845,0,0.00310077519379845,0.0790697674418605,0,0.0248062015503876,0.0186046511627907,0,0,0.00775193798449612,0,0,0.0124031007751938,0,0.00775193798449612,0.0697674418604651,0.186046511627907,0.00310077519379845,0.0263565891472868,0.133333333333333,0.00155038759689922,0.00465116279069767,0,0,0.15968992248062,0.0217054263565891,0,0.0124031007751938,0,0.00465116279069767,0.00465116279069767,0,0.0155038759689922,0,0.00775193798449612,0.00155038759689922,0,0,0
50,818,0.00172117039586919,0.00860585197934595,0.0223752151462995,0.108433734939759,0,0.00344234079173838,0,0.00344234079173838,0.0533562822719449,0,0.0395869191049914,0.0344234079173838,0,0.00172117039586919,0.0189328743545611,0,0,0.0275387263339071,0.00172117039586919,0.00516351118760757,0.080895008605852,0.242685025817556,0.00344234079173838,0.0327022375215146,0.110154905335628,0,0.00172117039586919,0,0.00344234079173838,0.118760757314974,0.0292598967297762,0,0.00688468158347676,0,0.00688468158347676,0.00172117039586919,0.00344234079173838,0.0137693631669535,0,0.0137693631669535,0,0,0,0
60,988,0,0.0161725067385445,0.0256064690026954,0.168463611859838,0,0.00404312668463612,0,0.00269541778975741,0.0673854447439353,0.00134770889487871,0.0336927223719677,0.0242587601078167,0,0.00539083557951483,0.0161725067385445,0,0,0.00673854447439353,0.00269541778975741,0.00943396226415094,0.0579514824797844,0.26010781671159,0.00134770889487871,0.0188679245283019,0.122641509433962,0,0.00134770889487871,0,0.00539083557951483,0.0754716981132075,0.0296495956873315,0,0.00539083557951483,0,0.00539083557951483,0.00134770889487871,0.00404312668463612,0.0175202156334232,0,0.00943396226415094,0,0,0,0
70,1158,0,0.0148619957537155,0.0233545647558386,0.118895966029724,0,0.00636942675159236,0,0,0.0806794055201698,0,0.0509554140127389,0.0318471337579618,0,0.00212314225053079,0.00424628450106157,0,0,0.0233545647558386,0.00424628450106157,0.00636942675159236,0.099787685774947,0.205944798301486,0.00424628450106157,0.0318471337579618,0.10828025477707,0,0.00212314225053079,0,0.00212314225053079,0.0934182590233546,0.0382165605095541,0,0.00636942675159236,0,0.00849256900212314,0.00636942675159236,0,0.0127388535031847,0.00212314225053079,0.0106157112526539,0,0,0,0
80,1329,0,0.0134529147982063,0.00448430493273543,0.125560538116592,0,0.00896860986547085,0,0,0.0448430493273543,0,0.0381165919282511,0.00896860986547085,0,0.00448430493273543,0.00448430493273543,0,0,0.0134529147982063,0.00224215246636771,0.0134529147982063,0.0986547085201794,0.275784753363229,0.00224215246636771,0.0201793721973094,0.130044843049327,0,0,0,0.00896860986547085,0.139013452914798,0.0291479820627803,0,0.00224215246636771,0,0.00224215246636771,0,0.00224215246636771,0.00448430493273543,0,0.00224215246636771,0,0,0,0
90,1499,0,0.0147783251231527,0.0197044334975369,0.119868637110016,0,0.00492610837438424,0,0.00164203612479475,0.0656814449917898,0,0.013136288998358,0.0180623973727422,0,0.00164203612479475,0.00164203612479475,0,0,0.0344827586206897,0,0.00656814449917898,0.0755336617405583,0.362889983579639,0.00492610837438424,0.0394088669950739,0.100164203612479,0,0,0,0,0.0525451559934319,0.0262725779967159,0,0.00492610837438424,0,0.00164203612479475,0.00328407224958949,0.00328407224958949,0.0147783251231527,0,0.00492610837438424,0.00328407224958949,0,0,0
100,1669,0,0.0304347826086957,0.0217391304347826,0.143478260869565,0,0.00217391304347826,0.00217391304347826,0.00217391304347826,0.0565217391304348,0,0.0347826086956522,0.0282608695652174,0,0.00652173913043478,0.0217391304347826,0,0,0.0434782608695652,0,0.0130434782608696,0.0956521739130435,0.13695652173913,0.00434782608695652,0.0695652173913043,0.173913043478261,0,0,0,0.0130434782608696,0.0434782608695652,0.0239130434782609,0,0.00652173913043478,0,0.00434782608695652,0,0,0.0152173913043478,0,0.00652173913043478,0,0,0,0
