"sample.depths","sample.ages","Abies.balsamea","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Calla.palustris","Campanula.type","Carya.cordiformis","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Cornus","Corylus.cornuta","Cyperaceae","Dalea","Drosera.rotundifolia.type","Dryopteris.type","Elaeagnus.commutata","Ephedra","Epilobium","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Liliaceae","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Mentha.type","Menyanthes.trifoliata","Myosotis.type","Myrica.gale","Myriophyllum.sibiricum.type","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Pteridium.aquilinum","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix","Sambucus","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.nudum","Viburnum.opulus","Woodsia.type"
10,260,11,0,4,0,6,0,7,1,0,0,0,1,0,0,169,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,18,3,1,0,0,0,5,0,8,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,34,9,1,0,81,27,3,0,0,0,4,0,0,0,10,0,0,0,0,0,1,2,0,0,19,0,1,2,1,0,0,0,0,0,0
25,649,8,0,0,0,5,0,13,2,0,1,1,1,0,0,205,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,2,0,25,6,2,0,0,0,8,1,7,13,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,2,33,5,0,0,112,28,1,0,0,1,0,3,0,0,11,0,2,0,0,0,6,1,0,2,19,0,1,8,1,2,1,0,0,0,0
40,1039,6,0,0,0,9,1,23,6,0,0,0,1,0,0,191,0,0,0,0,0,0,0,1,0,0,2,14,0,0,0,0,0,0,0,3,0,31,1,3,0,1,2,6,0,8,12,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,26,7,4,0,90,32,4,0,0,2,1,0,0,0,6,0,1,0,0,0,18,0,0,0,27,0,0,6,1,0,0,0,0,0,0
50,1299,5,0,3,0,10,0,7,2,0,0,0,1,0,0,237,0,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,1,26,6,0,0,0,0,0,0,8,16,5,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,22,4,0,0,63,21,2,0,0,1,2,1,0,0,10,0,0,0,0,0,4,0,0,0,73,0,0,7,1,1,0,0,0,0,0
75,1948,1,0,2,0,6,0,7,2,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,1,0,20,4,4,0,1,0,3,0,21,3,9,0,0,1,1,0,1,0,0,0,0,0,4,0,0,0,1,1,8,1,0,0,70,7,2,0,0,0,0,3,0,0,21,0,0,0,0,0,2,0,0,0,31,1,1,2,0,2,0,0,0,0,0
100,2598,9,0,4,0,10,0,12,0,0,0,1,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,1,0,65,13,6,0,0,0,6,0,10,15,7,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,6,0,14,3,2,0,147,39,4,0,0,1,2,0,0,0,10,0,0,0,0,0,3,2,0,0,53,0,0,11,0,3,0,0,1,0,0
125,3247,2,0,3,0,12,0,6,1,0,0,0,0,0,0,288,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,46,11,3,0,0,0,4,1,25,19,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,17,1,0,0,95,23,2,0,0,1,0,1,0,3,13,0,0,0,0,0,3,2,0,2,52,0,0,5,0,2,1,0,0,0,0
150,3897,5,1,5,0,8,0,12,1,1,0,1,3,0,0,205,0,0,0,0,0,2,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,31,11,3,0,0,0,2,1,2,5,7,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,14,4,1,0,112,23,0,0,0,0,0,1,0,0,7,0,0,0,0,0,6,1,1,0,19,0,0,4,2,0,1,0,1,0,0
175,4546,3,0,2,0,8,0,11,2,1,0,1,1,0,0,242,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,14,6,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,7,2,0,0,137,10,5,0,0,2,1,0,0,0,13,0,1,1,0,0,5,3,1,0,20,0,0,4,1,4,0,0,0,0,0
200,5196,8,0,0,0,13,0,14,0,0,0,1,1,0,0,235,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,21,6,0,0,2,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14,3,0,0,157,38,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,0,0,2,32,0,0,6,5,0,1,0,0,0,0
