"sample.depths","sample.ages","Abies","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cannabaceae","Carya","Amaranthaceae.undiff.","Iva.annua.type","Corylus","Cupressaceae","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Myrica","Poaceae","Rosaceae.trees","Acer.saccharum.type","Acer.negundo","Acer.rubrum","Fraxinus.pennsylvanica.type","Juglans.undiff.","Laportea.type","Morus","Sarcobatus.vermiculatus","Tilia","Apiaceae","Xanthium","Acer.saccharinum.type","Castanea","Fabaceae.undiff.","Ranunculus","Saxifragaceae.undiff.","Iva.xanthifolia.type","Platanus","Cornus","Bidens.type","Celtis","Pyrus.type","Ericaceae.undiff.","Rumex","Potentilla.type","Shepherdia.canadensis","Amorpha.type","Rosaceae.undiff.","Crassulaceae","Ephedra","Epilobium","Gentianaceae","Hypericum","Maclura.pomifera.type","Taxus","Thalictrum","Galium","Brassicaceae","Asteraceae.undiff.","Fagus","Shepherdia.argentea","Spiraea.type","Prunus.Sorbus","Vaccinium","Asteraceae.subf..Cichorioideae","Shrubs.undiff.","Caryophyllaceae","Oxyria.digyna","Rubus","Liliaceae","Dryas.type","Polemoniaceae","Geum.type","Pinus.subg..Strobus","Scrophulariaceae","Viburnum","Plantago.major","Polygonum","Hydrophyllum","Lycopus.type","Boraginaceae","Saxifraga.type","Ranunculaceae.undiff.","Stachys.type","Koenigia.islandica","Plantago.undiff.","Pterocarya"
750,NA,0.00555555555555556,0.0633333333333333,0.0166666666666667,0.0188888888888889,0.0266666666666667,0.201111111111111,0.00333333333333333,0.00222222222222222,0.00777777777777778,0.00222222222222222,0.00111111111111111,0.0122222222222222,0.0133333333333333,0.00333333333333333,0.00111111111111111,0.00111111111111111,0.00111111111111111,0.0166666666666667,0.00333333333333333,0.0766666666666667,0.0244444444444444,0.398888888888889,0.00222222222222222,0.02,0.0255555555555556,0.00555555555555556,0.00111111111111111,0.00111111111111111,0.0244444444444444,0.00222222222222222,0.00111111111111111,0.00333333333333333,0.0111111111111111,0.00111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,9424,0.00373134328358209,0.00746268656716418,0.00124378109452736,0.00497512437810945,0.013681592039801,0.0932835820895522,0.00124378109452736,0.00124378109452736,0.00746268656716418,0.00124378109452736,0.00248756218905473,0.00621890547263682,0.0161691542288557,0.00746268656716418,0.00124378109452736,0.00124378109452736,0,0.00746268656716418,0.00621890547263682,0.085820895522388,0.0161691542288557,0.543532338308458,0.00124378109452736,0.0161691542288557,0.0335820895522388,0.0124378109452736,0,0.00497512437810945,0.0733830845771144,0.00373134328358209,0,0,0.0099502487562189,0,0.00248756218905473,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0.00124378109452736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,9462,0.0035799522673031,0.0405727923627685,0.0035799522673031,0.013126491646778,0.0214797136038186,0.108591885441527,0.00596658711217184,0.00238663484486874,0.0119331742243437,0,0.00119331742243437,0.00835322195704057,0.0286396181384248,0.0035799522673031,0.00238663484486874,0.00119331742243437,0,0.0107398568019093,0.0107398568019093,0.0489260143198091,0.0393794749403341,0.515513126491647,0,0.0071599045346062,0.0238663484486874,0.0071599045346062,0,0.00238663484486874,0.0417661097852029,0.00238663484486874,0,0.00596658711217184,0.0178997613365155,0,0.00119331742243437,0,0,0,0,0.00119331742243437,0,0,0.00119331742243437,0,0,0.00119331742243437,0.00119331742243437,0.00119331742243437,0.00119331742243437,0.00119331742243437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,9500,0.00301204819277108,0.03714859437751,0.00602409638554217,0.0140562248995984,0.0251004016064257,0.149598393574297,0.00100401606425703,0.00100401606425703,0.0100401606425703,0.00100401606425703,0.00401606425702811,0.00301204819277108,0.0180722891566265,0.00602409638554217,0,0,0,0.0100401606425703,0.00903614457831325,0.0572289156626506,0.00903614457831325,0.518072289156627,0.00502008032128514,0.0240963855421687,0.0271084337349398,0.00401606425702811,0.00100401606425703,0.00200803212851406,0.0240963855421687,0.00100401606425703,0,0.00200803212851406,0.0200803212851406,0,0.00200803212851406,0,0,0.00100401606425703,0,0,0,0,0.00100401606425703,0,0,0,0,0,0,0,0.00100401606425703,0.00100401606425703,0.00100401606425703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,9538,0.0110552763819095,0.00703517587939699,0.00201005025125628,0.00703517587939699,0.0221105527638191,0.17286432160804,0.00301507537688442,0.00201005025125628,0.014070351758794,0,0.00301507537688442,0.00603015075376884,0.0201005025125628,0.0130653266331658,0.00100502512562814,0,0,0.0160804020100503,0.00804020100502513,0.112562814070352,0.0472361809045226,0.423115577889447,0.00100502512562814,0.0190954773869347,0.0251256281407035,0.00100502512562814,0,0.00201005025125628,0.0371859296482412,0.00301507537688442,0,0,0.00904522613065327,0,0.00201005025125628,0,0,0.00100502512562814,0,0,0,0.00100502512562814,0,0,0,0,0,0,0.00100502512562814,0,0,0.00201005025125628,0,0.00100502512562814,0.00100502512562814,0.00100502512562814,0.00100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,9576,0.00188501413760603,0.00659754948162111,0.00282752120640905,0.0160226201696513,0.0197926484448633,0.123468426013195,0.00282752120640905,0.00659754948162111,0.00282752120640905,0.00188501413760603,0.00282752120640905,0.00282752120640905,0.0188501413760603,0.0056550424128181,0,0,0,0.0150801131008483,0.0131950989632422,0.125353440150801,0.0301602262016965,0.448633364750236,0.00188501413760603,0.0160226201696513,0.0292177191328935,0.0056550424128181,0.000942507068803016,0.000942507068803016,0.0669180018850141,0.00377002827521206,0,0.00188501413760603,0.0131950989632422,0,0.00471253534401508,0,0,0,0,0,0,0.000942507068803016,0,0,0.000942507068803016,0,0,0,0.000942507068803016,0.000942507068803016,0.000942507068803016,0.000942507068803016,0,0,0.000942507068803016,0,0,0.000942507068803016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,9926,0.00099502487562189,0.00298507462686567,0.00099502487562189,0.00497512437810945,0.0129353233830846,0.0895522388059701,0.00696517412935323,0.00199004975124378,0.00199004975124378,0.00099502487562189,0.00696517412935323,0.00696517412935323,0.0129353233830846,0.00597014925373134,0.00099502487562189,0.00099502487562189,0.00099502487562189,0.0208955223880597,0.0119402985074627,0.119402985074627,0.0706467661691542,0.504477611940298,0.00199004975124378,0.0119402985074627,0.0398009950248756,0.00398009950248756,0,0.00199004975124378,0.0427860696517413,0.00099502487562189,0,0,0.00298507462686567,0,0.00099502487562189,0,0,0.00099502487562189,0,0,0.00099502487562189,0,0,0,0,0,0,0,0,0,0,0.00099502487562189,0,0,0,0,0,0,0.00099502487562189,0.00099502487562189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,10332,0.00318471337579618,0.00212314225053079,0.00106157112526539,0.0127388535031847,0.0222929936305732,0.0520169851380042,0.00424628450106157,0.00424628450106157,0.00636942675159236,0,0.00318471337579618,0.0106157112526539,0.0222929936305732,0.0106157112526539,0,0.00212314225053079,0,0.0286624203821656,0.0159235668789809,0.158174097664544,0.0276008492569002,0.40552016985138,0.00424628450106157,0.0276008492569002,0.0456475583864119,0.0127388535031847,0,0.00424628450106157,0.0870488322717622,0.00424628450106157,0,0,0.00849256900212314,0,0.00318471337579618,0.00106157112526539,0,0.00212314225053079,0,0.00212314225053079,0.00106157112526539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106157112526539,0,0,0.00106157112526539,0.00106157112526539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,10535,0.00125944584382872,0.00251889168765743,0.00251889168765743,0.0214105793450882,0.0302267002518892,0.0629722921914358,0.00503778337531486,0.00377833753148615,0.00503778337531486,0.00125944584382872,0.00377833753148615,0.008816120906801,0.0377833753148615,0.0277078085642317,0,0.00125944584382872,0.00125944584382872,0.0327455919395466,0.0214105793450882,0.278337531486146,0.0113350125944584,0.19647355163728,0.00629722921914358,0.044080604534005,0.0604534005037783,0.00629722921914358,0,0.00251889168765743,0.070528967254408,0.0075566750629723,0.00125944584382872,0,0.0239294710327456,0,0.00503778337531486,0,0,0,0.00125944584382872,0.00251889168765743,0,0.00377833753148615,0,0,0.00251889168765743,0,0,0,0,0,0.00251889168765743,0,0,0,0,0,0,0,0.00125944584382872,0.00125944584382872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,10735,0.00770925110132159,0,0.00330396475770925,0.0176211453744493,0.0363436123348018,0.039647577092511,0.0121145374449339,0.00330396475770925,0.00770925110132159,0.00110132158590308,0.00330396475770925,0.0176211453744493,0.0418502202643172,0.026431718061674,0,0.00550660792951542,0.00110132158590308,0.0275330396475771,0.0066079295154185,0.261013215859031,0.0297356828193833,0.18942731277533,0.0176211453744493,0.0583700440528634,0.052863436123348,0.00991189427312775,0,0.00330396475770925,0.0627753303964758,0.00991189427312775,0,0,0.0275330396475771,0,0.00220264317180617,0,0,0.00330396475770925,0.00110132158590308,0,0.00110132158590308,0.00110132158590308,0,0,0.00220264317180617,0,0,0,0,0,0.00110132158590308,0.00220264317180617,0,0.00110132158590308,0.00110132158590308,0,0,0,0,0,0,0,0.00110132158590308,0.00110132158590308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
