"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Larix","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Salix","Rosaceae.undiff.","Juniperus.type","Poaceae","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rubus.chamaemorus","Vaccinium.uliginosum.type","Picea.undiff.","Ericaceae.undiff.","Ambrosia.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Juniperus.communis.Thuja.occidentalis.type","Brassicaceae","Vaccinium.oxycoccos","Dryas","Ulmus","Asteraceae.subf..Cichorioideae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Thalictrum","Pyrola","Amaranthaceae","Acer.spicatum"
0,0,0.009375,0.059375,0.0015625,0.253125,0.003125,0.3671875,0.0015625,0.0015625,0.1328125,0.0234375,0.0046875,0.0046875,0.0078125,0.0015625,0.003125,0.0015625,0.0046875,0.003125,0.00625,0.003125,0.0015625,0.0109375,0.046875,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,258,0.00416666666666667,0.0444444444444444,0.00972222222222222,0.116666666666667,0,0.533333333333333,0,0.00138888888888889,0.158333333333333,0.0263888888888889,0,0.00138888888888889,0,0,0,0,0,0,0.00277777777777778,0,0,0.00416666666666667,0.0847222222222222,0.00833333333333333,0.00138888888888889,0.00138888888888889,0.00138888888888889,0,0,0,0,0,0,0,0,0,0,0,0
15,773,0.00198412698412698,0.0932539682539683,0.00992063492063492,0.138888888888889,0,0.420634920634921,0,0.00198412698412698,0.212301587301587,0.0178571428571429,0.00198412698412698,0,0,0,0.00396825396825397,0,0,0.00396825396825397,0.00992063492063492,0.00198412698412698,0,0,0.0773809523809524,0.00198412698412698,0,0,0,0.00198412698412698,0,0,0,0,0,0,0,0,0,0,0
25,1289,0.0208333333333333,0.2109375,0,0.130208333333333,0,0.234375,0,0.00260416666666667,0.239583333333333,0.0208333333333333,0.00260416666666667,0.0104166666666667,0,0,0.0078125,0,0,0,0.0104166666666667,0.00260416666666667,0,0,0.09375,0.00260416666666667,0,0.00260416666666667,0.00260416666666667,0.00520833333333333,0,0,0,0,0,0,0,0,0,0,0
35,1804,0.00453514739229025,0.160997732426304,0,0.133786848072562,0.00680272108843537,0.396825396825397,0,0.0090702947845805,0.154195011337868,0.0204081632653061,0.00226757369614512,0,0.00453514739229025,0.00453514739229025,0,0,0,0.0113378684807256,0.00680272108843537,0,0,0,0.0748299319727891,0.00226757369614512,0.00226757369614512,0,0,0,0.00226757369614512,0.00226757369614512,0,0,0,0,0,0,0,0,0
45,2320,0.00229357798165138,0.139908256880734,0,0.149082568807339,0,0.408256880733945,0,0.00458715596330275,0.151376146788991,0.00688073394495413,0,0.00458715596330275,0.0114678899082569,0.00458715596330275,0.00458715596330275,0,0.00458715596330275,0,0.00458715596330275,0,0,0,0.0825688073394495,0.00688073394495413,0,0,0.00458715596330275,0.00229357798165138,0,0,0.00688073394495413,0,0,0,0,0,0,0,0
55,2836,0.00764818355640535,0.204588910133843,0.00573613766730402,0.231357552581262,0,0.317399617590822,0,0.00191204588910134,0.166347992351816,0,0,0.00191204588910134,0.00573613766730402,0,0.00382409177820268,0,0,0.0133843212237094,0.00191204588910134,0,0,0,0.0248565965583174,0.00573613766730402,0,0.00191204588910134,0.00191204588910134,0,0,0,0,0.00382409177820268,0,0,0,0,0,0,0
65,3351,0.00547945205479452,0.191780821917808,0,0.13972602739726,0.00273972602739726,0.383561643835616,0,0,0.172602739726027,0,0,0.00273972602739726,0,0.00273972602739726,0.010958904109589,0,0,0.0136986301369863,0.00273972602739726,0.00273972602739726,0,0,0.0465753424657534,0.0136986301369863,0,0,0.00273972602739726,0,0,0,0,0,0.00273972602739726,0.00273972602739726,0,0,0,0,0
75,3867,0.0018450184501845,0.219557195571956,0.0018450184501845,0.134686346863469,0.0018450184501845,0.398523985239852,0,0.0018450184501845,0.156826568265683,0.003690036900369,0,0,0.0018450184501845,0.0018450184501845,0.0092250922509225,0,0,0.0239852398523985,0.0092250922509225,0,0,0,0.0239852398523985,0.007380073800738,0.0018450184501845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4307,0.00212765957446809,0.302127659574468,0,0.197872340425532,0,0.238297872340426,0,0,0.159574468085106,0,0,0.00851063829787234,0.00212765957446809,0,0.00851063829787234,0,0,0.0297872340425532,0,0,0,0,0.0319148936170213,0.00638297872340425,0,0.00638297872340425,0.00212765957446809,0,0,0,0,0,0,0,0.00425531914893617,0,0,0,0
95,4656,0,0.325264750378215,0,0.2178517397882,0,0.211800302571861,0,0.00151285930408472,0.169440242057489,0.00151285930408472,0,0.00302571860816944,0.00453857791225416,0,0.010590015128593,0,0,0.00302571860816944,0.00151285930408472,0,0,0,0.0347957639939486,0.0075642965204236,0,0.00151285930408472,0.00453857791225416,0,0,0,0,0,0,0,0.00151285930408472,0,0,0,0
105,5005,0.0062208398133748,0.326594090202177,0.0015552099533437,0.276827371695179,0,0.234836702954899,0,0.0046656298600311,0.077760497667185,0.0031104199066874,0,0.0031104199066874,0.0015552099533437,0,0.0077760497667185,0,0,0.00933125972006221,0.0046656298600311,0,0,0.0015552099533437,0.0202177293934681,0.00933125972006221,0.0015552099533437,0,0.0015552099533437,0,0,0,0,0,0,0,0,0.0015552099533437,0.0062208398133748,0,0
115,5354,0.00854700854700855,0.303418803418803,0.00213675213675214,0.307692307692308,0,0.277777777777778,0,0.00641025641025641,0.0405982905982906,0,0,0.00641025641025641,0.00213675213675214,0.00213675213675214,0.0128205128205128,0,0,0,0.00641025641025641,0.00213675213675214,0,0,0.0106837606837607,0.00427350427350427,0.00213675213675214,0,0.00213675213675214,0,0,0,0,0,0,0,0,0,0,0.00213675213675214,0
125,5703,0.0115606936416185,0.194605009633911,0.00578034682080925,0.456647398843931,0.00192678227360308,0.258188824662813,0,0,0.023121387283237,0.00192678227360308,0,0.00385356454720617,0.00192678227360308,0.00192678227360308,0.00192678227360308,0,0,0.00770712909441233,0.00770712909441233,0.00385356454720617,0,0,0.00385356454720617,0.00963391136801541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192678227360308,0.00192678227360308
