"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Carya","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Juglans.cinerea","Juglans.nigra","Ostrya.Carpinus","Platanus","Quercus","Salix","Tilia","Ulmus","Ambrosia","Pinus","Amaranthaceae","Poaceae","Dalea","Acer.saccharum","Fraxinus.nigra","Fraxinus.pennsylvanica","Abies","Alnus","Picea","Larix","Amorpha"
0,-29,421,12,7,5,6,2,1,12,2,1,4,6,88,3,2,17,137,30,25,54,1,2,1,3,0,0,0,0,0
10,23,362,10,9,4,12,1,0,13,0,2,5,1,59,3,3,16,143,28,16,29,0,0,0,4,1,3,0,0,0
20,74,350,11,9,6,6,3,2,16,1,4,2,1,62,1,2,9,133,16,17,40,0,0,0,6,0,2,1,0,0
30,187,384,17,5,18,14,4,2,25,3,2,6,5,134,1,3,15,48,33,6,32,0,2,2,4,0,3,0,0,0
40,360,329,12,14,10,10,2,1,23,5,1,5,7,87,3,0,13,54,34,7,34,0,0,1,1,0,3,1,1,0
60,706,358,25,12,1,17,2,1,40,0,1,1,6,96,3,1,4,40,43,7,49,1,1,0,2,0,2,1,0,2
80,1052,357,26,13,1,14,0,3,26,0,4,2,6,103,2,2,4,35,41,11,54,0,1,1,1,0,6,1,0,0
100,1350,328,17,9,4,10,1,2,44,3,0,1,3,72,3,0,4,44,45,9,50,2,0,0,1,0,3,1,0,0
120,1523,355,26,8,4,16,0,0,26,0,3,3,4,96,1,2,6,45,60,8,41,1,1,0,1,0,3,0,0,0
140,1695,340,20,12,1,14,1,3,37,0,1,3,5,113,1,0,9,30,34,13,35,0,2,0,3,0,2,1,0,0
160,1868,364,23,7,8,14,0,2,24,0,3,3,5,95,2,3,8,42,43,16,58,1,1,2,0,0,4,0,0,0
180,2040,382,29,15,3,30,4,0,36,2,0,3,6,93,3,3,6,27,60,9,45,0,0,1,3,0,2,2,0,0
200,2226,325,21,8,7,11,3,1,23,2,0,4,10,96,0,2,7,31,36,10,44,0,2,1,1,0,5,0,0,0
220,2447,421,29,7,10,10,3,1,36,2,1,4,5,141,0,4,14,45,51,9,39,2,1,0,2,0,4,0,0,1
240,2669,242,15,8,4,2,4,0,16,3,0,7,1,64,1,1,7,42,19,7,30,0,5,0,4,0,1,1,0,0
260,2890,328,20,4,7,18,2,1,29,0,4,4,4,71,0,2,12,40,58,9,36,1,0,1,2,0,3,0,0,0
280,3111,367,21,9,2,13,0,6,28,1,1,4,13,88,0,0,15,43,53,4,56,0,1,1,1,0,5,2,0,0
300,3324,376,30,10,3,21,0,7,28,2,1,10,7,74,2,2,13,42,50,13,50,0,0,0,4,0,6,1,0,0
320,3513,378,38,7,4,21,0,4,41,1,2,4,4,51,5,2,13,35,45,34,56,1,2,0,1,0,5,2,0,0
340,3701,344,25,5,1,22,1,3,46,0,1,0,4,68,3,2,11,33,48,10,54,0,0,0,0,0,3,4,0,0
360,3890,361,33,5,11,13,0,3,21,2,4,12,3,72,1,2,10,51,50,16,46,0,0,0,0,0,4,2,0,0
380,4078,354,28,5,5,25,0,4,34,0,1,1,7,47,2,1,16,62,33,28,50,0,0,0,1,0,4,0,0,0
400,4291,269,7,20,4,17,1,1,1,1,3,2,1,48,1,4,6,94,8,6,41,0,0,0,0,0,3,0,0,0
420,4577,335,37,6,5,16,5,4,25,1,2,3,1,44,2,1,4,75,27,7,62,0,0,1,5,0,2,0,0,0
440,4863,320,20,6,0,20,0,6,25,0,0,2,2,48,2,1,2,92,22,11,54,0,1,1,3,0,1,0,0,1
460,5149,343,30,3,1,20,1,4,28,0,0,0,5,56,3,0,8,55,41,10,68,0,1,2,1,0,1,2,0,3
480,5435,343,42,2,4,18,0,5,32,0,2,2,3,42,5,0,7,56,39,24,53,0,0,1,3,0,1,2,0,0
500,5738,321,34,2,2,16,0,0,31,1,1,2,4,39,0,0,6,53,41,18,63,0,1,0,1,0,2,3,0,1
520,6093,337,18,1,5,16,1,8,45,0,0,1,2,34,1,0,7,75,31,24,62,0,1,1,1,0,1,2,0,0
540,6448,353,28,0,3,16,0,3,31,0,0,0,5,52,5,1,5,83,20,28,62,1,0,0,4,0,4,1,0,1
560,6803,359,33,4,5,14,0,1,32,0,3,4,4,50,4,2,12,80,40,20,41,3,2,1,0,1,2,1,0,0
580,7159,334,22,1,3,8,0,2,26,1,0,4,0,41,0,1,6,83,30,27,68,1,0,0,2,0,6,1,0,1
600,7439,341,28,0,1,8,0,1,15,1,2,3,5,45,7,0,14,69,27,31,77,0,1,1,2,0,1,2,0,0
620,7607,352,33,3,3,9,1,3,26,1,1,3,2,52,3,0,14,85,20,18,68,1,1,0,1,0,1,1,0,2
640,7774,346,28,3,4,15,2,6,38,0,4,7,2,30,2,1,16,72,17,10,80,2,0,0,3,0,1,2,0,1
660,7942,379,7,0,0,10,1,5,23,0,1,2,1,55,2,0,17,132,23,17,74,1,2,0,2,1,1,2,0,0
680,8110,405,24,4,2,10,0,7,43,1,2,4,1,38,2,0,24,94,24,19,96,0,2,2,0,0,1,4,0,1
700,8326,323,25,4,2,2,1,5,30,0,1,1,0,29,2,2,31,80,23,21,53,1,1,0,0,0,1,7,1,0
720,8686,406,28,3,4,10,1,5,81,1,0,4,2,38,6,1,18,62,22,28,82,0,2,2,1,0,0,5,0,0
740,9047,357,25,2,7,9,1,3,48,0,1,4,1,37,7,0,16,51,27,33,77,1,1,1,0,0,3,1,0,1
760,9143,432,25,4,11,14,6,4,27,4,2,9,1,83,3,1,49,59,27,17,60,0,5,5,2,2,4,8,0,0
780,9240,407,8,1,12,5,1,2,17,2,1,6,2,133,6,1,68,50,19,19,37,0,6,4,2,1,1,3,0,0
800,9510,323,11,6,6,2,2,4,17,2,0,13,1,88,4,0,46,47,15,18,29,0,0,6,0,0,3,3,0,0
840,10236,398,3,1,28,2,2,2,4,1,0,25,1,64,2,1,182,13,19,4,11,0,11,17,2,0,1,0,2,0
860,10600,507,8,11,17,2,4,3,7,6,1,10,1,137,3,3,145,6,44,12,11,0,13,40,3,4,7,6,3,0
880,11922,386,16,49,0,2,5,1,16,0,0,7,0,32,3,0,39,11,6,5,15,0,3,30,1,23,38,78,6,0
910,NA,409,3,9,11,2,7,5,14,6,0,20,0,109,3,3,103,11,22,4,4,0,2,43,1,8,2,12,5,0
920,NA,384,8,7,11,3,3,0,20,4,0,15,0,81,6,1,91,18,23,8,16,0,3,19,1,2,12,32,0,0
940,NA,309,24,5,1,2,7,1,10,0,0,26,0,12,1,0,18,15,5,4,12,0,2,62,2,5,11,83,1,0
960,NA,339,10,1,1,4,0,4,9,0,0,5,0,8,3,0,4,16,2,1,7,0,1,42,2,1,2,212,4,0
980,NA,439,44,2,1,6,12,37,43,0,0,2,0,16,1,0,1,7,10,5,25,0,1,5,1,0,11,192,17,0
990,NA,128,8,0,0,0,2,29,15,0,0,3,0,3,1,0,0,1,4,1,6,0,0,0,0,1,0,53,1,0
1010,NA,142,7,1,1,5,4,16,20,0,0,2,0,1,1,0,0,1,15,1,3,0,0,1,0,0,1,60,2,0
