"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Cornus.rugosa","Corylus.cornuta","Cyperaceae","Dryas","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae","Polygonaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Sagittaria","Salix","Saxifraga.cernua.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.lentago"
4,118,9,1,1,0,5,1,5,2,0,0,2,0,0,330,0,0,0,1,0,0,0,0,1,0,0,0,27,2,0,0,0,0,0,0,3,3,0,1,4,0,1,0,0,0,0,18,20,3,0,25,113,1,0,0,0,1,0,5,0,0,0,0,0,0,0,2,3,0,0,5,0,1,1,3,0,0
24,708,5,0,1,0,3,2,5,2,1,0,1,0,0,324,0,0,0,0,1,0,0,0,0,0,2,0,15,0,1,0,0,0,0,2,9,0,0,0,1,0,0,0,0,0,0,18,12,2,0,18,53,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,4,0,2,0,1,0,0
44,1298,6,0,4,0,3,0,8,5,0,0,1,0,0,308,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,9,13,7,0,20,79,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0
64,1888,7,3,1,0,6,0,6,3,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,7,9,2,0,12,22,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
84,2478,8,1,1,0,2,1,4,1,0,0,0,0,0,316,0,0,0,1,0,0,0,0,1,0,0,0,23,2,1,0,0,0,0,6,1,0,0,0,4,0,1,0,0,0,0,9,15,8,0,47,86,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0
104,3068,1,1,1,0,1,0,6,3,0,0,4,0,0,259,0,0,0,0,0,0,0,0,1,0,0,0,13,1,1,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,33,49,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0
124,3658,2,1,0,0,3,0,10,2,0,1,0,0,0,400,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,7,4,0,30,53,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
144,4247,6,1,0,0,8,1,6,3,0,0,1,1,0,314,0,0,0,0,1,0,0,0,3,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,15,9,8,0,44,67,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0
164,4837,3,0,1,0,8,0,13,2,0,0,2,0,0,371,0,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,7,2,0,26,73,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0
184,5427,2,3,2,0,5,1,8,3,0,0,1,0,0,313,0,0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,5,7,3,24,57,0,3,0,0,0,2,13,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,0
