"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Galium","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemna","Lycopodium.type","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus.subg..Batrachium","Ranunculus.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella.rupestris","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis"
1,-27,0,1,0,9,0,4,5,24,0,0,2,0,33,0,0,0,1,0,0,1,1,2,1,0,0,0,5,1,0,1,0,1,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,45,6,1,16,2,1,0,0,105,0,0,1,1,0,12,0,0,1,0,0,0,4,0,5,13,0,5
10,-15,0,4,0,9,0,0,2,30,0,1,0,0,43,0,0,0,2,0,0,0,4,1,2,0,0,0,0,0,2,2,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,1,61,0,0,18,0,4,0,1,100,0,0,0,0,0,3,0,0,2,1,0,0,2,1,8,3,0,0
20,-1,0,0,0,2,0,3,0,36,0,0,1,0,33,0,0,0,2,0,0,0,2,3,1,0,0,0,2,2,2,4,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,51,1,0,18,0,4,0,1,101,0,0,3,0,0,9,0,0,0,0,0,3,2,1,15,4,0,0
30,12,0,1,0,9,0,4,2,55,0,2,1,1,32,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,2,2,0,0,5,0,0,0,0,0,1,0,0,0,0,5,0,0,1,6,1,59,2,1,26,0,3,0,1,74,0,0,0,1,0,3,0,0,2,0,0,1,2,2,5,5,0,0
40,26,0,0,0,5,0,4,5,64,0,1,3,1,30,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,51,0,1,38,0,2,0,0,69,0,0,0,3,0,0,0,0,3,0,0,0,5,0,8,3,0,0
50,39,0,0,0,4,0,2,3,28,0,1,2,0,33,0,0,0,5,0,0,1,4,1,0,0,0,0,7,2,2,4,0,0,4,1,0,0,0,0,0,1,0,1,0,1,0,2,0,5,0,89,1,0,24,0,2,0,2,59,0,0,0,3,0,1,0,0,0,0,1,0,4,1,13,0,0,1
60,53,1,0,0,9,0,2,1,19,0,0,0,0,27,0,1,0,6,0,0,1,3,2,1,0,0,0,7,1,2,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,11,2,103,0,0,12,0,0,0,4,59,0,1,0,0,0,0,0,0,1,1,0,0,14,0,12,2,0,0
70,66,0,0,0,8,0,8,0,20,0,1,1,0,22,0,0,0,4,0,0,0,3,3,2,0,0,0,6,1,3,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,130,0,0,21,0,0,1,0,44,0,0,0,2,0,1,0,0,0,0,0,0,8,1,10,4,0,0
80,80,0,0,0,12,0,7,3,25,0,0,1,0,40,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,9,2,104,0,1,11,0,1,0,3,47,0,0,0,3,0,4,0,0,0,0,0,1,13,1,7,2,0,0
90,93,2,0,0,10,0,4,1,6,0,0,1,0,29,0,2,0,3,0,0,0,4,3,0,1,0,0,15,1,3,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,121,0,0,6,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,17,1,14,2,0,0
