"sample.depths","sample.ages","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Corylus","Cyperaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Lamiaceae","Fabaceae","Liquidambar","Morus","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Polygonum.lapathifolium","Populus","Portulacaceae","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Viburnum","Vitis"
1.5,0,0,0.00173010380622837,0.00173010380622837,0.00173010380622837,0.195501730103806,0.0103806228373702,0.00865051903114187,0.00173010380622837,0.00173010380622837,0.00346020761245675,0.0346020761245675,0.00346020761245675,0.00173010380622837,0.00346020761245675,0,0.0259515570934256,0.00173010380622837,0.00865051903114187,0.00173010380622837,0.332179930795848,0,0,0,0,0.00346020761245675,0,0,0.00346020761245675,0,0.00346020761245675,0.00173010380622837,0.0069204152249135,0.00173010380622837,0.00346020761245675,0.00173010380622837,0.00519031141868512,0.00346020761245675,0.294117647058824,0,0,0.0155709342560554,0,0.00173010380622837,0,0,0,0.013840830449827,0,0,0
10,195,0,0.00183150183150183,0,0.00183150183150183,0.157509157509158,0.00549450549450549,0.00915750915750916,0.010989010989011,0.00183150183150183,0.00549450549450549,0.00732600732600733,0.00732600732600733,0,0.0128205128205128,0.00366300366300366,0.0549450549450549,0.00732600732600733,0.00915750915750916,0.00183150183150183,0.355311355311355,0,0.00549450549450549,0,0,0,0,0.00183150183150183,0,0.00183150183150183,0.00183150183150183,0.00732600732600733,0.0274725274725275,0.00183150183150183,0.00549450549450549,0.00183150183150183,0.00183150183150183,0,0.249084249084249,0,0.0146520146520147,0.00549450549450549,0,0,0,0,0.00183150183150183,0.0146520146520147,0.00183150183150183,0.00183150183150183,0
20,424,0,0,0.0018796992481203,0.0075187969924812,0.167293233082707,0.0112781954887218,0.0093984962406015,0.0150375939849624,0.0112781954887218,0.0018796992481203,0.0018796992481203,0.0037593984962406,0.0037593984962406,0.0018796992481203,0,0.0432330827067669,0.0056390977443609,0.0112781954887218,0.0018796992481203,0.355263157894737,0,0,0.0037593984962406,0.0018796992481203,0,0,0.0018796992481203,0,0,0.0093984962406015,0.0056390977443609,0.018796992481203,0.0018796992481203,0.0112781954887218,0,0.0018796992481203,0.0018796992481203,0.255639097744361,0,0.0056390977443609,0.0056390977443609,0.0018796992481203,0,0,0,0.0018796992481203,0.0169172932330827,0,0,0
30,653,0,0,0.00395256916996047,0.00197628458498024,0.152173913043478,0.00395256916996047,0.0177865612648221,0.0217391304347826,0.0197628458498024,0,0.00592885375494071,0.00790513833992095,0,0.00790513833992095,0.00592885375494071,0.041501976284585,0.00988142292490119,0.00790513833992095,0,0.316205533596838,0.00197628458498024,0.00197628458498024,0.00197628458498024,0,0,0.00395256916996047,0,0,0,0.0118577075098814,0.0118577075098814,0.0296442687747036,0,0.00790513833992095,0.00197628458498024,0,0.00592885375494071,0.258893280632411,0.00197628458498024,0.00197628458498024,0.00790513833992095,0,0,0,0,0.00395256916996047,0.0217391304347826,0,0,0
40,882,0,0,0.00378071833648393,0.0056710775047259,0.0170132325141777,0.00945179584120983,0.00945179584120983,0.0113421550094518,0.0189035916824197,0,0.00378071833648393,0.00378071833648393,0,0.0056710775047259,0,0.0226843100189036,0.0113421550094518,0.00756143667296786,0.00378071833648393,0.398865784499055,0,0.00378071833648393,0.00378071833648393,0,0,0.00189035916824197,0.00189035916824197,0,0,0.0170132325141777,0.0151228733459357,0.0699432892249527,0,0.00378071833648393,0.00189035916824197,0.00378071833648393,0,0.293005671077505,0,0,0.0113421550094518,0,0.00189035916824197,0,0,0.00378071833648393,0.0340264650283554,0,0,0
50,1112,0.0017825311942959,0,0.0017825311942959,0.0071301247771836,0.0249554367201426,0.0089126559714795,0.0089126559714795,0.0017825311942959,0.0106951871657754,0.0017825311942959,0.0017825311942959,0.0017825311942959,0,0.0106951871657754,0,0.053475935828877,0.0160427807486631,0.0053475935828877,0.0035650623885918,0.393939393939394,0,0.0071301247771836,0.0017825311942959,0,0,0,0,0,0,0.0124777183600713,0.0231729055258467,0.0606060606060606,0,0.0017825311942959,0,0,0,0.310160427807487,0,0,0.0035650623885918,0,0,0,0.0017825311942959,0.0035650623885918,0.0196078431372549,0,0,0
60,1341,0.00182481751824818,0,0.0072992700729927,0.00182481751824818,0.0182481751824818,0.00364963503649635,0.00364963503649635,0.00364963503649635,0.0200729927007299,0,0,0.00182481751824818,0,0.00547445255474453,0.00182481751824818,0.0346715328467153,0.0200729927007299,0.00364963503649635,0.00182481751824818,0.410583941605839,0.00182481751824818,0,0.00547445255474453,0,0,0,0,0.00364963503649635,0,0.031021897810219,0.0237226277372263,0.0529197080291971,0,0.0072992700729927,0,0,0,0.319343065693431,0,0,0.00182481751824818,0,0,0,0,0.00182481751824818,0.0109489051094891,0,0,0
70,1570,0,0,0.00967117988394584,0.00193423597678917,0.0212765957446809,0.00386847195357834,0.0193423597678917,0.00967117988394584,0.00773694390715667,0,0.00193423597678917,0.00193423597678917,0,0.00580270793036751,0,0.0386847195357834,0.0154738878143133,0.00967117988394584,0.00386847195357834,0.377176015473888,0,0,0.00386847195357834,0,0,0,0,0,0,0.02321083172147,0.0174081237911025,0.0406189555125725,0,0,0,0.00193423597678917,0,0.363636363636364,0,0,0,0,0.00193423597678917,0.00193423597678917,0,0.00193423597678917,0.0135396518375242,0.00193423597678917,0,0
80,1799,0,0.0102564102564103,0.0102564102564103,0,0.00683760683760684,0.00512820512820513,0.0136752136752137,0.00170940170940171,0.00683760683760684,0,0,0.00170940170940171,0,0.00341880341880342,0,0.0444444444444444,0.0153846153846154,0.00512820512820513,0.00170940170940171,0.420512820512821,0,0.00170940170940171,0.00683760683760684,0,0,0,0,0,0,0.0205128205128205,0.0478632478632479,0.0632478632478632,0,0.00683760683760684,0,0,0,0.294017094017094,0,0,0.00170940170940171,0,0,0.00170940170940171,0,0.00341880341880342,0.00512820512820513,0,0,0
88,1982,0,0,0.00527240773286467,0.00175746924428822,0.0105448154657293,0.00527240773286467,0.0140597539543058,0.00527240773286467,0.0210896309314587,0.00175746924428822,0.00175746924428822,0.00351493848857645,0,0.0123022847100176,0.00175746924428822,0.0386643233743409,0.015817223198594,0.00878734622144113,0.00175746924428822,0.398945518453427,0,0.00351493848857645,0,0,0,0.00175746924428822,0,0.00175746924428822,0,0.0333919156414763,0.0281195079086116,0.0492091388400703,0,0.00175746924428822,0,0,0,0.312829525483304,0,0,0,0,0.00175746924428822,0,0.00175746924428822,0.00175746924428822,0.0123022847100176,0,0,0.00175746924428822
