"sample.depths","sample.ages","upland.sum","Acer.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea","Pinus.undiff.","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Populus","Poaceae","Plantago","Rosaceae","Acer.rubrum","Iva.xanthifolia.type","Larix","Vitis","Iva.annua.type","Cannabaceae","Acer.saccharum.type","Sarcobatus.vermiculatus","Thalictrum","Abies","Impatiens","Urticaceae","Celtis","Pinus.subg..Pinus","Pinus.subg..Strobus","Ericaceae","Ranunculaceae.undiff.","Shepherdia.canadensis"
1,3,526,14,115,4,29,7,1,2,1,18,38,2,6,8,3,10,1,11,5,55,3,69,1,31,2,4,6,35,3,4,2,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27,479,26,91,4,12,8,3,1,1,23,28,6,6,12,2,0,0,8,2,45,3,79,0,15,5,4,8,24,1,1,2,52,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,55,445,25,79,3,17,12,4,0,2,14,23,6,5,11,2,1,1,6,1,33,1,93,0,11,4,4,6,24,1,3,4,41,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,82,524,39,78,2,20,4,3,0,1,10,25,13,3,23,2,0,0,6,0,44,3,84,26,14,2,6,15,24,3,2,14,44,5,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
40,110,324,17,28,0,18,3,3,0,0,0,60,16,3,19,0,0,0,7,1,36,0,60,0,3,3,3,1,19,1,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,137,394,19,15,5,22,8,0,0,2,6,46,7,3,10,1,0,0,7,1,46,4,91,5,2,6,4,5,38,0,2,2,32,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,263,343,25,5,0,12,10,2,0,2,2,49,0,7,7,1,0,0,14,1,57,1,83,0,8,2,4,3,27,0,2,0,8,0,0,0,0,7,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
70,489,324,16,2,6,15,7,0,0,5,3,44,8,5,13,0,0,0,15,5,43,5,69,0,5,1,13,2,31,0,1,3,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,715,316,18,3,4,14,9,0,0,2,5,45,7,3,10,1,1,0,22,3,23,4,102,0,0,1,1,1,32,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,940,351,39,4,3,17,10,0,0,1,4,23,5,3,8,0,2,0,14,0,33,10,106,6,7,3,6,1,31,0,3,2,3,0,0,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
100,1166,322,16,1,0,26,1,2,0,3,0,57,7,8,15,3,0,0,18,0,34,3,103,0,1,0,1,0,20,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1391,336,19,2,2,31,11,1,7,0,0,37,3,6,9,1,4,0,2,1,17,4,122,0,0,1,8,1,40,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,1617,334,21,2,0,34,13,0,3,0,0,78,9,11,20,3,1,0,0,2,12,1,72,0,1,2,5,3,32,0,2,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1842,334,23,3,0,20,5,0,3,5,10,51,7,10,17,0,0,0,9,3,21,5,82,0,2,3,5,1,39,0,6,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2068,356,28,2,3,14,5,0,1,2,6,49,10,15,25,0,0,0,18,0,19,3,94,0,5,3,8,3,31,0,0,5,1,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
150,2294,348,36,4,2,15,13,1,4,2,4,51,12,8,20,1,0,0,4,0,19,12,76,0,2,4,4,1,47,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2519,371,29,1,2,21,16,0,1,2,9,55,15,10,25,2,0,0,17,2,23,5,73,4,2,3,4,2,43,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,2745,335,28,0,0,17,6,0,0,0,0,76,20,0,20,0,1,0,18,0,6,0,55,0,0,2,0,0,66,0,3,0,4,0,0,7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,2970,314,33,2,3,20,5,3,0,0,0,75,0,6,6,0,0,0,0,6,4,4,36,0,0,8,3,14,55,0,10,0,10,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0
190,3196,356,39,0,2,28,14,0,0,5,13,75,12,3,15,1,0,0,7,0,16,11,49,7,3,6,5,3,29,0,3,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3421,323,17,0,0,11,8,0,2,0,2,88,4,12,16,3,0,0,5,5,21,0,64,1,3,1,3,0,33,0,1,1,1,0,0,11,0,2,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
210,3647,347,49,2,0,26,10,1,0,0,3,65,11,2,13,0,0,0,1,0,31,7,51,0,2,4,4,2,48,0,1,1,4,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,3873,323,32,0,0,12,9,0,0,0,0,57,0,27,27,3,0,0,3,0,21,14,62,0,5,5,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
