"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Chamaedaphne.calyculata","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Juglans.cinerea","Kalmia","Larix","Asteraceae.subf..Cichorioideae","Picea.mariana.type","Pinus.undiff.","Plantago.undiff.","Quercus","Rubiaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae","Abies.balsamea","Acer.saccharinum","Acer.saccharum","Carya.ovata","Corylus.cornuta","Diervilla.lonicera","Ilex.Nemopanthus","Pinus.banksiana.type","Pinus.strobus","Rhamnus.alnifolia.R..frangula","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Vaccinium.oxycoccos","Picea.undiff.","Ericaceae.undiff.","Vaccinium.undiff.","Ostrya.Carpinus","Plantago.major","Tilia","Amaranthaceae","Castanea.dentata","Pinus.resinosa.type","Caryophyllaceae","Ledum.Chamaedaphne.calyculata","Salix","Platanus.occidentalis","Pyrola","Sambucus","Vaccinium.macrocarpon.type","Viburnum.nudum","Acer.pensylvanicum","Fabaceae","Rhododendron.canadense","Arceuthobium.pusillum","Cephalanthus.occidentalis","Taxus","Elymus.type","Rumex.type","Brassicaceae","Viburnum.alnifolium","Saxifragaceae","Viburnum.edule","Thalictrum","Liliaceae","Moneses.uniflora","Myrica.gale"
0,0,587,2,10,2,11,1,141,17,137,33,7,2,14,3,4,5,1,16,36,1,6,1,5,6,1,7,4,5,1,2,1,1,1,42,1,2,35,3,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,315,550,0,6,0,4,3,121,6,80,33,7,1,2,3,0,12,0,21,54,0,21,2,4,3,0,8,3,3,1,1,0,3,2,75,0,1,53,7,0,1,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,642,675,1,5,0,0,0,134,9,90,41,6,1,2,1,3,14,0,31,81,0,24,0,1,9,0,7,13,12,1,0,0,1,1,63,0,1,78,8,12,10,0,2,0,2,0,0,1,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,993,592,4,4,0,0,0,123,15,69,32,8,1,0,0,1,6,0,19,65,0,14,0,2,6,0,10,5,2,1,1,0,0,1,58,0,0,95,19,2,13,0,0,0,5,3,0,2,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1387,527,0,5,0,2,1,148,5,24,42,3,0,0,1,0,13,0,14,87,0,12,0,1,2,0,3,7,6,3,0,0,1,1,57,0,0,63,2,7,2,2,0,0,6,0,0,0,0,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1930,918,1,3,1,1,0,69,6,325,14,6,0,1,2,2,33,0,6,168,0,14,1,0,5,0,3,10,1,0,0,0,0,5,189,0,0,42,1,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2602,447,0,0,1,1,1,35,4,40,12,8,1,3,1,0,57,0,9,78,0,10,0,0,1,0,3,1,7,1,0,0,0,10,138,0,0,16,2,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,3318,709,0,5,0,0,0,41,0,16,0,4,1,1,3,0,94,0,7,193,0,5,0,0,1,0,2,0,5,1,0,0,0,3,313,0,0,6,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3990,611,0,4,0,0,0,77,1,40,4,3,1,3,1,1,51,0,7,109,0,8,1,0,9,0,6,2,3,0,0,0,0,14,239,2,0,15,1,2,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,4536,543,0,1,0,0,1,59,0,23,3,3,0,2,0,0,62,0,6,133,0,13,0,0,3,0,5,0,11,1,0,0,0,12,193,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
