"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Castanea.dentata","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fagus.grandifolia","Fraxinus","Huperzia.lucidula","Huperzia.selago","Ilex","Juglans.cinerea","Larix.laricina","Liquidambar.styraciflua","Myricaceae","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Quercus","Rumex","Salix","Sanguisorba","Sphagnum","Thalictrum","Tilia.americana","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown..trilete.","Utricularia"
10,119,0,3,4,3,1,33,0,0,4,0,47,6,1,3,0,1,2,1,3,10,0,0,0,1,0,0,1,0,1,3,1,3,5,1,9,2,2,0,0,141,4,0,0,0,0,0,10,0,6,0,1
20,239,0,0,4,4,2,26,0,1,8,0,61,6,0,1,0,0,4,2,5,7,0,0,0,1,0,0,0,0,2,3,0,2,10,4,13,0,2,0,0,174,2,0,0,0,0,0,7,0,5,0,0
25,299,0,0,2,3,2,36,0,1,9,0,38,7,0,0,0,2,3,0,5,8,0,0,1,1,0,0,1,0,2,0,0,0,11,1,10,0,2,0,0,170,0,0,0,1,0,1,1,0,3,0,0
30,359,0,0,3,9,2,52,0,0,14,0,51,12,0,2,0,0,3,1,5,6,0,0,1,3,0,0,0,0,3,4,0,1,14,0,13,0,2,0,0,157,1,2,0,0,0,0,7,0,3,0,0
35,418,0,0,2,6,3,66,0,0,4,2,46,11,0,4,0,0,0,1,6,2,1,0,0,1,0,0,0,0,7,3,1,0,16,0,9,0,6,0,0,173,1,2,0,0,0,0,9,0,12,0,0
40,478,0,1,5,4,0,59,0,0,13,0,35,6,0,2,0,3,2,0,3,8,0,0,2,6,0,0,0,0,4,3,0,3,12,1,9,0,2,0,0,132,1,0,0,0,0,0,6,0,4,0,0
45,538,0,0,2,8,0,63,0,0,0,0,50,9,0,13,0,0,0,1,9,7,0,0,3,3,0,0,0,0,1,0,1,2,20,0,5,0,0,0,0,147,0,0,0,1,0,0,16,0,7,0,0
50,598,0,1,0,3,0,43,0,1,3,0,33,1,1,1,0,3,2,1,14,11,0,0,1,4,0,0,1,0,2,3,1,0,24,0,11,0,1,0,0,159,3,0,0,0,0,0,22,0,3,0,0
55,658,0,0,3,4,0,14,0,0,0,0,36,9,2,15,0,0,3,0,16,10,0,0,1,0,0,0,0,0,5,5,0,2,19,0,4,0,0,0,0,167,0,0,0,1,0,0,13,0,5,0,0
60,717,0,0,3,5,0,18,0,0,2,0,36,11,1,6,0,0,0,0,15,11,0,0,0,1,0,0,0,0,4,2,1,1,24,0,1,0,0,0,0,203,4,1,0,0,0,1,16,0,3,0,0
65,777,0,1,2,6,0,5,0,0,0,0,37,10,0,8,0,0,1,0,11,2,0,0,1,0,0,0,0,0,2,3,0,6,27,0,0,0,0,0,0,182,0,0,0,0,0,1,17,0,1,0,0
70,837,0,0,5,4,0,2,0,0,0,0,38,9,0,3,0,0,1,1,21,4,0,0,1,1,0,0,1,0,2,2,0,1,22,0,1,0,2,0,0,212,0,0,0,0,0,0,9,0,2,0,0
75,897,0,0,7,8,1,0,0,1,0,0,39,17,0,13,0,0,3,1,19,10,0,0,1,0,0,0,0,0,7,13,1,0,15,0,0,0,0,0,0,184,0,0,0,0,0,0,15,0,3,0,1
80,956,0,0,3,2,0,0,0,0,1,0,36,19,0,12,0,3,1,0,12,4,0,0,2,1,0,0,0,0,3,10,0,1,7,0,0,0,0,0,0,191,0,0,0,0,0,0,9,0,4,0,0
85,1016,0,0,6,4,0,0,0,0,0,0,42,14,0,17,0,0,1,2,13,6,0,0,0,1,0,0,0,0,3,4,0,0,21,0,0,0,0,0,0,184,0,0,0,0,0,0,13,0,4,0,0
90,1076,0,0,5,5,0,1,0,0,0,0,47,30,1,7,0,0,1,0,15,10,1,0,0,1,0,0,0,0,1,3,0,2,13,0,0,0,1,0,0,191,0,1,0,0,0,0,17,0,4,0,0
95,1136,0,0,3,9,0,0,0,1,1,0,36,20,0,5,0,1,3,0,11,7,0,0,0,2,0,0,1,0,4,4,0,5,20,0,0,0,0,0,0,173,1,0,0,0,0,0,13,0,4,0,0
100,1196,0,0,5,6,0,3,0,2,0,0,46,28,1,11,0,0,1,0,7,7,0,0,0,1,0,0,0,0,1,5,1,5,18,0,1,0,0,0,0,192,0,1,0,0,0,1,28,0,5,0,0
105,1255,0,0,1,3,0,0,0,0,2,0,37,15,0,11,0,0,0,0,14,5,0,0,1,0,0,0,1,2,1,6,0,2,20,1,0,0,2,0,0,184,0,0,0,0,0,0,13,0,1,0,0
110,1315,0,0,2,3,0,0,0,0,1,0,35,28,0,7,0,0,0,0,13,10,0,0,0,1,0,0,0,2,2,4,1,1,19,0,0,0,0,0,0,164,0,0,0,1,0,1,20,0,5,0,0
115,1375,0,0,2,5,0,0,0,0,3,0,39,11,1,7,0,0,2,0,13,5,0,0,0,0,0,0,0,0,0,3,0,2,18,0,0,0,0,0,0,195,0,0,0,0,0,0,10,0,4,0,0
120,1435,0,0,5,5,0,0,0,1,3,0,34,16,0,11,0,0,3,0,11,6,0,0,0,1,0,0,0,2,3,4,0,2,13,0,0,0,0,0,0,166,0,0,0,0,0,1,13,0,9,0,0
