"sample.depths","sample.ages","Abies","Acer.negundo","Acer.nigrum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.viridis","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Carya","Caryophyllaceae","Celtis","Cephalanthus","Cornus.canadensis","Cornus.undiff.","Corylus","Cyperaceae","Dalea","Dicentra","Dryopteris","Ephedra","Ericaceae","Fabaceae.undiff.","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Huperzia.lucidula","Indeterminable","Indeterminable.undiff.","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Juniperus.Thuja","Lamiaceae.undiff.","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Mentha.type","Myriophyllum","Nuphar","Osmunda","Ostrya.Carpinus","Parnassia","Picea","Pinus.banksiana","Pinus.resinosa","Pinus.strobus","Pinus.subg..Pinus.undiff.","Pinus.undiff.","Platanus","Poaceae","Polygonaceae.undiff.","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Primulaceae","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Saxifragaceae.undiff.","Shepherdia.canadensis","Solanaceae","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Urtica","Viburnum","Vitis","Woodsia"
1450,8314,0,0,0,0,0,1,0,0,3,2,20,83,0,1,0,169,22,0,0,4,2,0,1,0,0,0,1,34,0,0,0,0,0,0,0,5,2,0,0,3,11,6,0,0,1,0,0,0,0,0,0,0,0,13,0,1,0,0,10,9,15,1,115,0,0,2,1,0,0,0,138,0,5,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,11,1,0,0,0,0
1470,8617,0,0,0,0,2,1,0,0,9,1,16,33,1,0,0,75,18,0,0,3,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,3,0,0,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,5,15,43,0,92,0,0,3,1,4,0,2,78,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,21,2,0,0,0,0
1490,8920,1,0,0,0,0,0,0,0,3,0,25,53,0,0,0,152,49,0,1,14,4,0,1,0,0,0,6,55,0,0,0,0,0,0,0,7,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,15,0,9,2,2,11,23,58,0,138,0,0,1,3,5,0,3,50,0,1,0,1,0,0,3,2,0,0,0,0,1,0,0,8,1,26,1,0,0,0,0
1510,9223,0,0,0,0,0,2,0,0,7,1,23,29,0,0,0,109,20,0,0,10,4,0,0,0,0,0,1,38,0,0,0,0,0,1,0,14,2,0,2,4,1,0,3,1,0,0,1,0,0,0,0,0,0,16,0,2,0,0,11,49,64,0,89,0,0,3,1,0,0,0,57,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,3,0,19,2,0,0,0,0
1530,9526,1,0,0,0,1,1,0,0,4,3,9,18,0,0,0,102,20,0,0,5,6,0,0,0,0,0,0,34,0,0,1,0,0,0,0,2,0,0,4,1,5,0,2,1,2,0,0,0,0,0,0,0,0,13,0,2,2,7,2,77,66,0,68,0,1,0,0,1,0,2,63,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0
1550,9829,1,0,0,0,1,2,0,0,6,1,17,35,0,0,0,83,26,0,0,9,2,0,1,0,0,0,5,43,0,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,11,0,4,4,2,1,90,100,1,94,0,1,7,0,0,0,3,69,0,0,0,0,0,1,3,0,0,0,0,0,1,2,0,0,0,40,1,0,0,0,0
1570,10132,0,0,0,0,1,1,0,0,6,0,16,18,0,0,0,43,20,0,0,10,1,0,2,0,1,0,9,14,0,0,0,0,0,0,0,5,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,12,0,2,6,3,4,77,79,0,57,0,0,1,0,0,0,3,49,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,37,1,1,0,0,0
1590,10435,1,0,0,0,1,1,0,0,7,0,9,5,0,0,0,22,12,0,0,3,3,0,0,0,0,0,2,17,0,0,3,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,14,0,2,19,9,2,152,82,1,42,0,0,3,1,0,0,5,18,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,3,0,40,0,0,0,0,0
1635,NA,9,0,0,0,0,3,0,0,11,0,0,4,0,0,0,15,3,0,0,54,0,0,0,0,0,0,1,9,0,0,2,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,10,0,16,23,11,2,240,107,0,16,0,0,2,0,0,0,5,29,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,2,1,43,0,0,0,0,1
1640,NA,4,0,0,0,0,0,0,0,5,2,0,0,0,0,0,10,3,0,0,69,2,0,1,0,0,0,4,18,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,31,3,6,0,161,204,0,17,0,0,3,0,1,0,4,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,36,0,0,0,0,0
1650,NA,5,0,0,0,0,0,0,0,40,5,0,2,0,0,0,31,0,0,0,73,1,0,0,0,0,0,2,21,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,7,0,181,0,0,0,5,2,0,21,0,0,1,3,1,0,0,11,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0,16,0,0,0,0,0
1663,NA,2,0,0,0,0,0,0,0,12,0,2,2,0,0,0,35,4,0,0,42,0,0,0,0,0,0,2,29,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,206,0,0,2,1,3,0,18,0,0,1,4,1,0,0,16,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,8,0,1,0,0,0
1670,NA,3,0,0,0,0,0,0,0,10,0,2,2,0,0,0,39,5,0,0,33,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,1,0,2,0,250,0,0,0,0,3,0,19,0,0,1,2,0,0,0,15,0,1,0,1,0,0,3,0,0,0,0,4,1,0,0,0,0,10,0,0,0,0,0
1685,NA,4,0,0,0,0,0,0,0,0,0,2,9,0,0,0,90,11,0,0,7,1,0,0,0,0,0,0,30,0,0,1,0,0,0,0,32,1,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,6,0,231,0,1,0,0,3,0,24,0,0,2,1,3,0,1,18,0,1,0,0,0,0,6,0,0,0,0,4,1,0,0,1,0,2,3,0,0,0,0
