"sample.depths","sample.ages","upland.sum","Abies","Betula","Cyperaceae","Ericaceae","Picea","Salix","Sanguisorba","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Apiaceae","Alnus","Myrica","Pinus","Poaceae","Caryophyllaceae","Corylus","Cupressaceae","Quercus","Rumex","Shepherdia.canadensis","Ambrosia","Rosaceae.undiff.","Amaranthaceae","Plantago","Urtica","Asteraceae.subf..Cichorioideae","Onagraceae","Populus","Artemisia","Larix","Tsuga","Acer.rubrum","Ostrya.Carpinus","Fraxinus.americana","Iva.annua","Ulmus","Fraxinus.nigra","Acer.saccharum","Brassicaceae","Fagus"
1,15,587,13,86,19,16,79,1,50,1,4,1,245,46,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,56,681,12,64,245,10,77,0,82,3,9,6,67,10,6,66,4,1,1,1,4,1,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,98,685,8,64,216,12,68,1,115,4,15,0,77,14,5,66,7,2,0,0,0,0,1,4,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,139,581,5,81,93,18,46,0,54,4,6,4,162,24,11,67,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,180,623,9,98,127,17,77,2,54,2,3,2,136,10,10,71,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,221,626,5,139,87,19,67,2,51,7,11,4,102,12,7,104,2,0,0,0,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
7,262,716,7,101,113,13,80,0,128,3,13,5,62,9,7,171,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,304,643,15,73,77,6,103,0,123,3,13,6,88,7,12,110,1,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,345,655,9,180,72,9,73,1,100,3,14,8,89,8,9,74,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,386,635,10,136,77,9,79,1,117,3,40,7,64,8,9,69,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11,427,637,2,269,38,9,64,0,64,6,27,7,53,8,11,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,469,569,8,168,117,7,96,2,44,6,8,5,58,5,11,20,1,0,4,1,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,510,657,13,203,91,1,105,2,97,5,12,23,57,1,8,33,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,551,682,8,106,151,10,95,1,160,9,16,9,58,12,6,35,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,592,722,11,80,179,6,133,0,164,7,19,8,53,5,9,42,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,633,628,10,87,68,18,79,1,228,11,11,7,54,5,17,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,675,625,15,59,75,14,92,1,195,2,13,15,59,11,15,51,0,0,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18,716,501,7,62,62,13,66,0,138,2,18,4,51,9,3,61,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,757,641,13,60,113,9,105,1,134,4,20,3,46,12,11,93,0,2,1,0,0,0,1,1,1,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0
20,798,489,11,47,90,7,101,0,66,4,22,8,61,11,9,43,0,0,1,0,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
21,840,526,7,63,133,8,112,0,60,1,13,15,53,3,5,40,0,0,0,0,1,0,0,5,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
