"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.annua","Juglans.cinerea.type","Juglans.nigra.type","Larix","Liquidambar","Lycopodiaceae","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Other.trees.and.shrubs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rhamnus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..Paleozoic.","Unknown..trilete.","Urtica","Viburnum","Woodsia.type","Zea"
1146,41,0,1,0,7,0,0,15,2,123,0,1,21,11,0,0,29,7,0,1,0,2,1,7,1,17,0,9,1,3,0,2,1,0,1,0,0,0,1,0,0,0,0,9,3,0,0,3,0,5,5,30,4,2,1,1,126,0,0,1,10,0,4,0,0,3,2,1,0,14,6,0,0,0,1,0,2
1154,70,0,3,0,11,1,0,11,2,86,0,2,11,9,0,0,18,5,0,0,0,1,0,10,0,12,2,13,0,4,3,1,0,2,0,0,0,0,0,1,1,0,0,7,3,0,1,0,0,9,5,14,3,0,0,0,132,1,0,0,17,0,3,0,0,2,3,2,1,18,1,0,0,0,0,0,1
1170,130,0,1,0,3,0,0,20,1,1,0,0,0,9,0,0,21,13,0,0,0,0,1,3,0,29,2,14,0,2,0,6,2,1,0,0,1,1,0,0,0,0,1,10,4,0,0,1,3,9,5,0,0,2,0,0,147,0,0,0,0,0,2,0,0,1,1,0,0,11,3,0,0,0,2,0,0
1194,419,0,1,0,7,0,0,7,0,0,0,1,0,6,0,0,29,13,0,0,0,0,1,4,0,27,4,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,2,7,4,1,3,1,0,0,201,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0
1242,995,0,0,0,16,0,0,13,0,0,0,0,1,6,0,0,51,9,0,0,0,1,0,2,0,26,2,24,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,2,4,5,2,0,2,0,2,211,0,0,0,0,0,1,0,0,1,0,0,1,19,2,0,0,0,0,0,0
1290,1572,0,0,2,5,0,0,11,1,1,0,1,2,8,0,0,54,4,0,0,0,0,0,6,1,16,3,11,0,1,0,1,1,0,0,0,0,0,0,0,2,0,4,5,0,0,1,0,1,8,12,4,9,2,0,1,232,0,1,0,0,0,0,0,0,0,4,0,0,19,1,0,0,0,0,0,0
1336,2124,0,0,0,9,0,1,19,1,2,0,0,3,5,0,0,64,6,0,0,0,1,0,5,1,21,0,20,0,0,1,5,1,1,0,0,0,2,0,0,3,0,1,3,1,0,0,1,1,13,6,3,6,1,0,1,330,0,1,0,0,0,1,0,2,3,1,1,0,11,3,0,0,0,0,0,0
1344,2220,0,4,0,1,0,0,28,1,5,0,0,2,11,0,0,60,9,0,0,0,0,0,5,1,11,2,18,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,4,3,8,3,1,5,0,0,0,204,0,0,0,0,0,0,0,2,0,1,0,1,24,1,0,1,0,0,0,0
1376,2690,0,0,0,4,0,0,14,3,2,0,1,4,2,0,0,64,8,0,0,0,0,0,2,1,13,2,16,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,5,2,0,0,2,2,1,4,6,3,2,1,3,263,1,0,0,0,0,0,0,2,1,2,0,0,20,1,0,0,1,0,0,0
1420,3353,0,1,0,12,0,1,19,0,1,0,0,6,12,0,0,50,12,0,0,0,2,0,9,1,38,2,17,0,1,0,1,0,1,1,0,0,0,0,0,5,1,5,14,1,0,0,2,2,8,8,4,2,1,1,5,286,1,0,1,0,0,1,0,1,0,1,1,0,25,0,0,0,0,0,0,0
