"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Carya","Celtis","Amaranthaceae.undiff.","Asteraceae.undiff.","Iva.annua.type","Cyperaceae","Poaceae.undiff.","Iva.xanthifolia.type","Platanus","Quercus","Sarcobatus.vermiculatus","Ulmus","Apiaceae","Ambrosia","Juniperus.type","Juglans","Pinus","Populus","Brassicaceae","Betula","Cephalanthus","Corylus","Ephedra.trifurca.type","Ostrya.Carpinus","Picea","Rumex","Salix","Urtica.type","Vitis","Xanthium","Zea.mays","Alnus","Humulus.Cannabis.sativa","Fraxinus","Avena.type","Cerealia.undiff.","Plantago","Verbena","Acer.nigrum","Euphorbia.subg..Chamaesyce.type","Caprifoliaceae.undiff.","Geum.type","Cornus","Acer.undiff.","Rhus","Tilia","Rosaceae.undiff.","Amorpha","Trifolium.type","Pinaceae.undiff.","Shepherdia.argentea","Liliaceae.undiff.","Mentha.type","Cuscuta","Ephedra.viridis.type","Lamiaceae.undiff.","Dalea","Rubiaceae.undiff.","Thalictrum","Primula","Alternanthera","Abies","Caltha.type","Pedicularis","Phlox","Stachys.type","Rhamnus","Boraginaceae","Araceae","Lythrum","Larix","Sanguisorba.canadensis","Filipendula.rubra","Caryophyllaceae","Tidestromia","Ranunculus.type","Scrophulariaceae.undiff.","Lilium","Polygonella","Epilobium","Gaura","Campanula","Solanum","Impatiens","Fabaceae.undiff.","Lonicera","Castanea","Potentilla.type","Parthenocissus","Polemonium","Polygonum.persicaria.type","Valeriana"
23,58,461,1,3,1,2,60,8,7,148,31,3,4,26,1,4,2,136,1,4,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,70,719,1,1,2,1,68,15,22,213,56,1,1,28,0,10,0,255,1,7,6,0,3,1,1,1,1,2,1,1,2,2,1,3,1,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,83,401,2,2,1,0,45,8,9,136,29,0,0,4,0,2,0,138,2,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,95,998,3,1,0,0,103,60,6,602,34,0,1,10,0,9,0,112,7,2,10,0,16,0,0,0,0,0,0,1,7,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,493,501,2,0,9,0,28,37,0,251,24,0,0,23,0,7,7,49,0,3,22,0,15,0,0,1,0,0,1,0,1,2,0,0,0,0,0,8,0,0,1,0,3,0,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,834,506,4,7,6,0,2,32,1,289,23,1,11,29,0,4,5,43,2,9,18,0,3,0,1,1,0,0,1,0,1,1,1,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1175,671,2,6,1,0,7,30,2,422,36,1,4,23,0,3,12,55,1,8,25,0,2,0,1,1,1,1,2,1,6,1,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,5184,410,2,8,1,0,19,57,4,145,31,1,2,10,0,2,17,46,2,0,18,0,23,0,1,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,5611,438,1,3,1,0,21,49,11,190,38,1,0,6,0,0,7,48,3,0,12,0,25,1,0,0,1,1,0,0,5,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,6043,412,0,7,0,0,40,45,5,104,28,0,0,3,0,1,3,130,4,0,5,0,12,1,1,0,0,0,1,0,5,0,0,1,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
