"sample.depths","sample.ages","upland.sum","Ambrosia.type","Carya","Cupressaceae","Cyperaceae","Ericaceae","Liquidambar","Quercus","Asteraceae.subf..Asteroideae.undiff.","Cornus","Myrica","Pinus","Poaceae","Rubiaceae","Artemisia","Betula","Castanea","Nyssa","Shrubs.undiff.","Alnus","Polygonum","Iva","Herbs.undiff.","Magnolia","Ostrya.Carpinus","Platanus","Ulmus","Fagus","Fraxinus.pennsylvanica.type","Onagraceae","Acer.saccharum.type","Acer.rubrum","Celtis","Apiaceae","Juglans.nigra","Salix","Amaranthaceae","Caryophyllaceae","Juglans.cinerea","Tsuga","Vitis","Urtica.type","Corylus","Morus","Ilex","Picea","Rhamnaceae.Vitaceae.undiff.","Abies","Thalictrum","Polygonaceae.undiff.","Rumex","Fabaceae","Moraceae.undiff.","Caprifoliaceae","Cistaceae","Asteraceae.subf..Cichorioideae"
170,5,326,12,6,2,117,1,1,31,37,1,1,91,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,173,236,5,2,0,13,1,2,38,6,0,1,124,7,19,1,2,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,337,353,0,3,0,3,0,10,89,1,0,1,222,12,4,0,0,0,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,938,277,0,6,0,3,0,1,41,1,0,0,212,8,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1481,339,1,3,3,0,0,6,80,0,0,0,216,26,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2006,282,0,10,1,2,0,2,52,1,0,1,190,11,1,0,0,0,1,0,2,1,0,0,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,2329,324,1,6,3,8,0,8,86,1,0,3,190,7,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,2700,314,0,4,1,6,0,4,70,0,0,0,206,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,3134,326,0,8,0,7,0,4,87,5,0,3,160,26,16,0,1,1,1,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,3695,325,1,8,1,2,0,6,111,1,0,0,164,15,0,0,1,0,3,0,3,0,0,0,0,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,4520,280,1,6,0,9,0,2,96,2,0,1,134,17,0,0,0,0,0,0,0,1,0,0,3,3,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,4997,293,0,4,2,6,0,1,94,0,0,1,154,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,5808,311,0,4,1,22,0,5,82,1,0,0,155,31,3,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,6418,337,0,10,1,12,0,7,155,0,0,0,125,8,1,0,2,0,0,0,0,1,0,0,3,2,0,3,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,7092,314,0,10,5,5,0,7,163,0,0,0,78,26,1,0,1,2,3,0,1,0,0,0,0,2,1,3,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
