"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Ambrosia.type","Betula","Carya","Castanea","Cyperaceae","Ericaceae","Fagus","Fraxinus.pennsylvanica.type","Ilex","Juglans.cinerea","Juglans.nigra","Nyssa","Ostrya.Carpinus","Plantago.lanceolata","Platanus","Quercus","Thalictrum","Rosaceae.undiff.","Pinus","Cerealia","Rhamnaceae.Vitaceae","Acer.rubrum","Alnus.incana.type","Poaceae.undiff.","Liquidambar","Tilia","Picea","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Corylus","Caprifoliaceae","Artemisia","Apiaceae","Myrica","Fraxinus.nigra.type","Alnus.viridis.type","Salix","Cornus","Cupressaceae","Sanguisorba","Polygonum","Anacardiaceae","Herbs.undiff.","Caryophyllaceae"
10,77,299,1,1,17,12,13,13,11,13,2,1,12,1,1,10,3,1,2,120,1,1,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,126,299,0,0,5,19,14,18,20,5,1,0,11,1,0,11,0,0,0,143,0,0,43,0,0,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,175,300,0,0,6,14,19,29,19,5,3,1,3,0,0,10,0,0,0,137,0,1,43,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1234,298,1,0,2,21,15,24,18,6,2,1,4,1,3,11,0,0,1,125,1,1,45,0,2,1,1,6,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2292,300,0,1,1,13,19,35,23,5,4,0,1,1,2,8,1,0,0,133,2,2,33,0,2,0,2,3,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3351,300,1,0,2,21,11,39,20,3,3,1,4,0,2,13,0,0,2,138,0,0,30,0,0,0,2,1,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
40,4409,300,0,0,1,21,2,31,14,12,3,0,17,0,0,53,1,0,1,105,0,0,22,0,4,0,2,1,0,0,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
45,5468,299,1,1,1,16,4,35,15,13,2,0,25,0,1,55,1,0,0,108,0,2,6,0,2,1,2,1,1,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6526,299,0,0,3,16,5,38,18,6,1,1,15,0,2,50,3,0,2,108,0,6,12,0,3,1,1,2,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,7585,297,0,2,2,16,1,52,13,6,2,0,19,0,1,77,1,0,3,78,0,1,14,0,0,1,0,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60,8643,301,3,1,3,12,2,52,26,0,0,1,6,3,0,20,4,0,1,120,0,2,9,0,1,1,3,3,0,1,1,19,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
65,9702,299,0,0,0,16,4,40,13,1,3,1,6,0,3,16,2,0,0,145,1,1,18,0,1,1,3,2,0,0,0,17,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,10391,296,9,1,0,39,0,9,31,1,0,2,1,0,0,2,3,0,0,86,1,0,28,0,0,0,7,9,1,0,4,47,10,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,10525,303,10,1,2,23,4,3,20,0,7,1,0,0,0,0,8,0,0,76,1,1,38,0,0,0,13,5,0,0,20,37,19,1,7,1,0,1,0,0,2,1,1,0,0,0,0,0,0
80,10659,313,37,1,1,24,4,0,39,0,8,1,0,0,0,0,9,0,0,43,1,3,16,0,0,0,19,17,0,0,23,11,20,1,19,0,0,2,0,2,3,1,3,1,1,3,0,0,0
90,10928,318,17,0,0,20,7,2,13,0,7,0,0,0,0,0,13,0,0,54,3,5,26,0,0,1,18,10,0,2,51,15,30,2,17,0,0,2,0,0,1,0,0,0,0,1,1,0,0
100,11196,317,20,2,1,18,3,1,22,1,2,1,0,0,0,0,4,0,0,76,1,5,30,0,0,0,9,15,0,1,38,9,35,1,18,0,0,0,0,0,0,1,0,0,1,2,0,0,0
120,11733,317,21,3,1,17,3,1,47,0,1,4,0,2,0,0,12,0,0,55,2,0,28,0,0,0,10,17,0,0,26,3,36,2,14,0,0,0,0,0,6,1,0,1,1,2,0,1,0
140,12271,308,26,2,1,36,1,0,23,0,6,0,0,0,0,0,6,0,0,62,1,4,36,0,0,0,6,4,0,0,26,12,36,1,11,1,0,1,0,1,2,0,0,0,1,2,0,0,0
160,12808,325,22,3,0,23,1,0,18,1,4,1,0,0,0,1,10,0,0,64,0,2,31,0,0,0,5,6,1,0,41,9,50,2,26,0,0,0,0,0,0,1,1,0,0,2,0,0,0
170,NA,311,25,1,0,20,3,0,49,1,4,3,0,1,1,0,9,0,0,42,0,4,33,0,0,0,13,16,0,0,26,4,28,0,20,0,0,0,0,0,1,3,1,0,0,0,2,0,1
175,NA,330,15,1,0,21,2,0,36,0,6,2,0,0,0,1,5,0,1,56,0,1,31,0,0,0,15,14,0,0,41,6,45,1,26,0,0,1,0,0,0,0,0,0,0,1,2,0,0
