"sample.depths","sample.ages","Acer.rubrum","Ambrosia.type","Betula","Carya","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Ilex","Juglans.cinerea","Liquidambar","Nyssa","Platanus","Potentilla.type","Quercus","Rhamnaceae.Vitaceae.undiff.","Rumex","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Anacardiaceae","Pinus","Amaranthaceae","Plantago","Rubiaceae","Alnus.incana.type","Artemisia","Castanea","Ericaceae","Ostrya.Carpinus","Cerealia","Abies","Juglans.nigra","Picea","Acer.saccharum.type","Fraxinus.nigra.type","Populus","Corylus","Thalictrum","Myrica","Polygonum","Diospyros.type","Caprifoliaceae","Rhamnaceae","Sanguisorba","Alnus.viridis.type","Caryophyllaceae","Onagraceae","Cupressaceae","Asteraceae.subf..Cichorioideae","Lamiaceae","Polemoniaceae","Brassicaceae","Campanulaceae"
0,-267,0.114457831325301,0.0783132530120482,0.0512048192771084,0.0150602409638554,0.0120481927710843,0.00301204819277108,0.00903614457831325,0.0572289156626506,0.00602409638554217,0.00301204819277108,0.00301204819277108,0.0120481927710843,0.0120481927710843,0.0120481927710843,0.442771084337349,0.00301204819277108,0.00301204819277108,0.0120481927710843,0.00301204819277108,0.00602409638554217,0.00903614457831325,0.00903614457831325,0.00602409638554217,0.0512048192771084,0.00301204819277108,0.00903614457831325,0.0542168674698795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,220,0.00709219858156028,0.245862884160756,0.0260047281323877,0.00472813238770686,0.0118203309692671,0.00236406619385343,0.00236406619385343,0.0520094562647754,0.00472813238770686,0,0,0.016548463356974,0,0,0.271867612293144,0,0.016548463356974,0,0,0.0685579196217494,0.00236406619385343,0.00472813238770686,0,0.0141843971631206,0.00236406619385343,0.00709219858156028,0.170212765957447,0.00472813238770686,0.00472813238770686,0.0378250591016548,0.00236406619385343,0.00472813238770686,0.0141843971631206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,785,0.0029940119760479,0.218562874251497,0.00898203592814371,0.0149700598802395,0.0269461077844311,0.0149700598802395,0.0029940119760479,0.0239520958083832,0.0119760479041916,0.0029940119760479,0,0.00898203592814371,0,0,0.332335329341317,0,0.00898203592814371,0,0.0119760479041916,0.00598802395209581,0.0029940119760479,0,0,0.0419161676646707,0,0.0269461077844311,0.062874251497006,0.0029940119760479,0.00598802395209581,0.146706586826347,0,0.0029940119760479,0,0.0029940119760479,0.0029940119760479,0.0029940119760479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1504,0.00872093023255814,0.00872093023255814,0.0261627906976744,0.0261627906976744,0.0377906976744186,0.0116279069767442,0.00290697674418605,0.0232558139534884,0.00290697674418605,0,0,0.0145348837209302,0,0,0.479651162790698,0,0.00581395348837209,0,0.00290697674418605,0.00581395348837209,0.00581395348837209,0,0,0.0406976744186047,0,0.0406976744186047,0.0697674418604651,0.0145348837209302,0,0.156976744186047,0.00581395348837209,0.00290697674418605,0.00290697674418605,0,0,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2386,0.010989010989011,0,0.0302197802197802,0.0302197802197802,0.0357142857142857,0.0274725274725275,0.00274725274725275,0.0137362637362637,0.00549450549450549,0,0.00274725274725275,0.00549450549450549,0,0,0.497252747252747,0,0,0,0.0137362637362637,0,0,0,0,0.0302197802197802,0,0,0.112637362637363,0.00824175824175824,0,0.156593406593407,0.00549450549450549,0,0,0,0,0,0,0.00549450549450549,0.00549450549450549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3391,0.0056980056980057,0.00284900284900285,0.0341880341880342,0.0341880341880342,0.0427350427350427,0.0142450142450142,0,0.0284900284900285,0.0142450142450142,0,0.00284900284900285,0.0142450142450142,0,0,0.555555555555556,0,0,0,0.0142450142450142,0.00284900284900285,0,0,0,0.0284900284900285,0,0,0.0769230769230769,0.00284900284900285,0,0.113960113960114,0.00284900284900285,0,0,0,0,0,0,0,0,0.00284900284900285,0.00284900284900285,0.00284900284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4476,0.00602409638554217,0,0.0180722891566265,0.0481927710843374,0.0331325301204819,0.0180722891566265,0.00301204819277108,0.0331325301204819,0.0180722891566265,0,0.00301204819277108,0.0120481927710843,0,0,0.605421686746988,0,0,0,0.0150602409638554,0,0,0,0,0.0271084337349398,0,0,0.0331325301204819,0.00602409638554217,0,0.0963855421686747,0.0120481927710843,0.00903614457831325,0,0,0,0,0,0,0,0,0,0,0.00301204819277108,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5600,0.00503778337531486,0.00251889168765743,0.0251889168765743,0.0302267002518892,0.0478589420654912,0.0075566750629723,0,0.0403022670025189,0,0,0,0,0.00503778337531486,0,0.486146095717884,0,0,0,0.00251889168765743,0.00503778337531486,0,0,0,0.0428211586901763,0,0,0.151133501259446,0.0125944584382872,0,0.110831234256927,0.0075566750629723,0.00503778337531486,0,0,0,0.00251889168765743,0.00251889168765743,0,0,0,0,0,0.0075566750629723,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6720,0.00744416873449132,0.00248138957816377,0.0347394540942928,0.0124069478908189,0.0446650124069479,0.0198511166253102,0,0.0446650124069479,0.00496277915632754,0,0,0.032258064516129,0,0,0.496277915632754,0,0,0,0.0198511166253102,0.00744416873449132,0,0.0099255583126551,0,0.0297766749379653,0,0,0.1712158808933,0.0198511166253102,0,0.00248138957816377,0.0124069478908189,0.00744416873449132,0,0.00496277915632754,0,0,0,0.00248138957816377,0.00248138957816377,0,0.00248138957816377,0,0,0.00248138957816377,0.00496277915632754,0,0,0,0,0,0,0,0,0,0,0
45,7796,0.00263157894736842,0.00263157894736842,0.0263157894736842,0.0263157894736842,0.0526315789473684,0.00526315789473684,0,0.0921052631578947,0.00526315789473684,0,0.00263157894736842,0.0368421052631579,0,0,0.560526315789474,0,0,0,0.0210526315789474,0,0.00526315789473684,0.00789473684210526,0,0.0315789473684211,0,0,0.0578947368421053,0.0131578947368421,0,0.00789473684210526,0.0105263157894737,0.0131578947368421,0,0,0,0.00263157894736842,0.00263157894736842,0,0,0.00263157894736842,0,0,0,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0
