"sample.depths","sample.ages","upland.sum","Carya","Asteraceae.undiff.","Ilex","Quercus","Alnus","Myrica","Pinus","Amaranthaceae","Poaceae","Cyperaceae.undiff.","Ambrosia.Iva","Aster","Casuarina","Bursera.simaruba","Betula","Cupressaceae.Taxaceae","Celtis","Cyrilla.racemiflora","Cephalanthus","Ericaceae","Liquidambar","Fabaceae","Nyssa","Euphorbiaceae","Ulmus","Lamiaceae","Polygonaceae","Arecaceae","Melastomataceae","Fraxinus","Acer"
0.5,-39,582,2,4,2,8,2,54,126,230,6,60,64,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-34,578,0,8,0,14,2,76,170,200,4,24,58,14,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-11,440,0,2,2,8,0,58,144,192,6,4,16,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,364,4,0,0,8,2,54,164,104,4,2,6,0,0,0,0,4,0,0,2,2,2,6,0,0,0,0,0,0,0,0,0
7,18,398,0,0,4,10,0,46,176,146,0,4,2,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
9,29,334,0,0,0,10,2,30,172,102,0,2,2,0,0,0,0,0,0,0,0,4,0,2,2,0,2,2,2,0,0,0,0
11,41,402,0,0,4,14,0,58,196,126,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15,114,484,0,0,0,14,0,52,242,162,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,216,248,0,2,0,8,2,24,130,68,4,4,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
21,266,142,2,0,0,0,0,26,68,36,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0
23,317,248,0,0,0,14,2,32,76,106,2,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
25,368,216,0,0,0,4,0,26,108,72,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,419,214,0,2,0,8,0,8,92,92,0,0,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
29,470,192,0,0,2,10,0,10,94,66,0,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
31,521,190,0,0,0,14,0,8,110,54,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
33,555,268,0,0,0,16,4,10,132,88,8,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
35,589,186,0,0,0,6,2,8,104,54,2,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,691,62,0,0,0,2,0,2,30,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,725,218,0,0,0,4,0,4,96,110,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,759,242,0,0,0,6,2,16,104,102,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
49,827,152,0,0,0,0,0,8,78,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,862,182,2,0,2,8,0,6,48,104,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
55,984,508,0,0,0,2,0,2,126,358,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1045,286,0,0,0,12,2,2,76,182,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
61,1167,526,0,0,0,10,2,6,204,294,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
63,1228,540,0,0,0,8,2,18,218,280,2,2,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0
65,1289,368,0,0,0,4,4,10,82,248,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0
67,1351,606,0,4,0,18,0,18,86,462,2,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0
71,1473,238,0,2,0,14,2,12,108,88,4,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
