"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Alnus","Amaranthaceae","Ambrosia.type","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Bryopsida","Campanulaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Hippuris.vulgaris","Huperzia.lucidula","Ilex","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium.type","Pteridophyta.undiff.","Quercus","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Unknown..monolete."
67,2335,1,1,16,5,1,3,0,3,1,0,34,2,0,0,1,0,16,1,0,0,28,0,2,0,0,0,0,11,0,0,5,0,0,0,0,0,1,4,12,9,53,181,0,2,0,1,4,5,6,1,0,0,1,65,0,10,1,0
70,2439,2,0,11,3,0,2,0,0,1,0,35,0,1,0,1,1,25,1,0,0,13,5,0,0,0,1,0,8,0,0,4,0,0,0,0,0,0,1,11,10,62,254,0,1,0,0,6,7,11,0,1,0,0,56,0,12,1,0
75,2612,2,0,8,7,1,1,0,2,4,0,41,0,0,0,0,0,12,3,0,0,21,1,0,0,0,0,0,7,0,0,3,0,1,0,0,1,0,7,7,22,51,224,0,1,1,1,2,4,10,0,0,0,0,34,0,4,1,1
80,2786,1,1,9,4,0,1,0,1,2,0,39,0,1,0,1,0,22,1,0,0,14,3,0,0,0,0,0,10,0,0,3,0,0,0,0,1,0,4,11,6,72,272,0,2,2,0,3,3,14,0,1,0,1,38,0,6,0,0
85,2959,2,0,10,6,1,3,0,4,3,0,40,1,0,0,0,0,20,1,0,0,14,2,1,0,0,0,1,5,0,0,5,0,0,0,0,2,0,1,4,18,59,245,0,3,0,1,5,6,12,1,0,0,0,26,0,5,0,1
90,3133,2,0,5,5,1,3,1,4,3,0,50,3,0,0,0,0,25,5,0,0,19,1,2,0,0,1,0,12,0,0,11,0,0,0,0,1,0,6,1,7,43,270,0,1,0,0,3,4,7,1,0,0,1,29,0,10,4,0
95,3283,2,0,6,7,0,0,0,0,2,0,27,0,1,0,3,1,21,1,0,0,10,1,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,3,6,7,45,332,2,1,0,0,1,3,13,0,1,0,0,15,0,8,1,2
100,3411,1,1,6,4,2,2,0,0,1,0,25,0,1,0,0,0,17,1,0,0,8,2,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,7,4,9,24,322,0,1,0,0,3,4,16,0,1,0,2,8,0,10,7,1
105,3539,3,0,5,4,0,1,0,0,0,0,31,0,1,0,1,0,17,4,0,0,11,1,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,8,4,18,34,325,2,0,0,0,3,4,16,0,1,0,0,5,0,7,0,1
110,3667,2,0,4,2,0,0,0,5,1,0,19,0,0,0,2,1,18,2,0,0,2,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,7,8,21,48,317,0,0,0,4,8,11,10,1,0,0,1,4,1,12,3,1
115,3795,1,1,6,9,0,4,0,3,1,0,26,0,0,0,1,0,21,2,0,0,7,1,0,0,0,0,0,9,0,0,4,0,0,0,0,1,0,3,7,29,39,400,2,0,0,2,7,9,22,0,0,0,0,8,0,11,1,2
120,3923,3,0,3,8,1,5,0,1,3,0,13,0,0,0,1,0,15,2,0,0,7,3,1,0,0,0,0,11,0,1,5,0,0,0,0,0,0,6,8,29,27,365,0,2,0,0,6,7,16,0,0,0,1,9,1,6,7,1
125,4051,1,0,2,5,0,0,0,3,4,0,26,0,0,1,0,0,6,1,0,0,6,1,0,0,1,0,0,2,0,1,5,0,1,0,0,0,0,2,3,13,33,385,1,2,0,1,3,4,14,1,0,0,1,6,1,8,0,0
130,4195,1,0,7,6,0,0,0,0,0,2,22,0,0,0,1,0,22,0,0,0,5,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,4,2,20,30,344,0,0,0,0,9,12,8,0,0,0,0,6,0,8,8,2
135,4487,2,0,5,2,0,0,0,3,2,0,13,0,0,0,2,0,18,1,0,0,1,0,1,0,0,1,0,11,1,0,4,0,1,0,0,0,0,7,8,25,31,308,0,0,0,3,4,7,14,0,0,0,0,7,0,5,2,1
140,4778,1,0,4,7,1,2,0,0,3,1,15,0,1,0,1,0,14,0,0,0,3,0,1,0,0,0,0,7,1,0,5,0,0,0,0,0,0,8,7,26,40,342,0,1,2,0,7,9,23,0,1,0,3,6,0,9,3,2
145,5310,1,0,5,4,0,2,0,0,2,0,18,0,1,0,0,1,14,0,0,0,3,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,3,6,36,41,337,0,0,1,0,8,8,12,0,1,0,0,11,0,5,1,0
150,5841,1,1,3,8,0,1,0,3,4,0,13,0,0,0,0,2,14,2,0,0,5,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,1,3,37,26,396,0,0,0,3,6,11,13,0,0,1,0,12,0,7,7,4
155,6372,1,0,2,3,0,6,0,3,3,0,14,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,1,6,27,27,351,0,3,0,2,9,12,8,0,0,0,0,12,0,9,0,1
159,6816,1,0,4,3,1,1,0,1,1,1,12,0,0,0,0,0,8,1,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,1,40,32,358,0,0,0,1,6,7,17,0,0,0,0,9,0,10,2,1
167,7767,2,0,2,5,1,2,0,1,0,0,11,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,4,7,31,47,406,1,1,0,1,10,14,11,1,0,0,0,4,0,6,1,4
170,8123,0,0,0,2,0,1,0,1,0,0,4,0,0,0,0,1,8,0,0,0,3,1,0,0,0,0,0,8,1,0,5,0,1,0,0,0,0,3,2,35,13,371,0,1,1,1,6,7,9,0,0,0,0,3,0,9,4,0
175,8717,1,0,2,0,1,3,0,0,1,0,7,0,0,0,1,1,3,2,0,0,1,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,3,0,36,62,385,0,1,0,0,2,4,8,0,0,0,0,1,0,6,1,1
