"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya.ovata","cf..Callitriche","cf..Diapensia.lapponica","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Morus.rubra.type","Myrica.gale","Nemopanthus.mucronatus","Onagraceae","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Ribes","Rosaceae","Salix","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
5,423,2,0,0,1,11,61,1,1,2,1,88,0,0,0,0,0,1,3,0,0,4,0,0,0,1,0,4,0,0,0,3,1,1,0,11,0,0,0,3,163,61,13,1,10,4,0,0,0,5,0,0,0,1,36,0,0,0,0,0,0,1,0,0,0
10,845,3,0,0,0,10,63,1,0,2,0,119,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,6,0,0,0,7,2,3,0,7,0,0,0,0,228,79,16,4,10,7,0,1,0,2,0,0,0,1,32,1,0,0,0,0,0,0,0,2,0
15,1268,1,0,0,0,11,47,0,2,4,0,67,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,1,0,0,1,3,3,0,0,5,0,0,0,0,226,25,19,0,2,6,1,0,0,2,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0
20,1554,0,0,1,0,13,100,0,2,2,0,132,0,0,0,0,0,1,9,0,0,5,4,0,0,1,0,5,0,0,0,5,2,4,0,13,0,0,0,0,198,85,22,13,9,5,0,4,0,3,1,0,1,0,31,0,0,0,0,0,0,0,2,2,0
25,1702,2,0,0,0,8,101,1,0,2,1,170,0,0,0,0,0,0,12,0,0,13,3,0,0,1,0,5,0,0,0,7,4,3,0,11,0,0,0,0,388,77,31,2,47,7,0,1,0,5,0,0,0,4,35,0,0,0,0,0,0,0,4,0,0
30,1851,2,0,0,0,11,66,0,0,3,0,109,0,0,0,0,0,0,5,0,0,7,1,2,0,0,0,11,0,0,0,5,3,1,0,22,0,0,0,1,276,71,25,1,11,8,0,0,0,1,1,0,0,1,38,0,0,0,0,0,0,0,0,0,0
35,1999,1,0,0,0,15,36,0,0,3,1,66,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,7,0,0,0,3,1,3,0,11,0,0,0,0,288,23,16,5,5,4,0,0,0,1,0,0,0,1,22,0,0,1,0,1,0,1,0,0,0
40,2148,1,0,0,0,4,106,1,0,1,1,92,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,5,0,1,0,1,1,0,0,19,1,0,0,0,249,29,16,3,2,6,0,0,0,1,0,0,1,4,34,0,1,0,0,0,0,0,0,0,0
45,2296,2,0,0,0,6,52,1,1,1,1,43,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,3,0,0,0,3,0,2,0,22,0,0,0,0,205,27,18,3,2,3,0,0,0,1,0,0,0,1,15,0,0,0,0,0,0,0,2,0,0
50,2445,1,0,2,0,4,125,1,1,3,0,151,0,0,0,0,0,1,10,0,0,6,3,0,0,0,0,10,0,0,1,1,1,2,0,33,0,0,0,0,393,35,27,2,3,5,0,0,0,0,0,0,0,2,50,1,0,0,0,0,4,0,0,0,0
