"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dipsacus","Equisetum","Eucalyptus","Fabaceae","Fagus","Fraxinus","Impatiens","Indeterminable","Iris","Juglans","Liquidambar","Lycopodiaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Ostrya.Carpinus","Parthenocissus","Phlox","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Populus","Portulaca","Potamogetonaceae","Quercus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown..monolete.","Unknown..trilete.","Urtica","Viburnum","Vitis","Zea.mays"
350,1375,5,0,3,28,0,3,9,102,1,0,3,2,1,0,0,0,44,0,11,18,0,2,0,17,3,0,0,2,1,0,0,0,0,0,0,8,0,14,12,0,0,0,0,293,0,0,0,0,1,1,0,0,0,1,4,20,2,1,0,0,0,0
370,1459,5,0,2,17,0,1,4,86,0,0,0,2,0,2,0,0,50,0,7,13,0,4,0,5,2,0,0,1,0,0,0,0,1,0,0,7,0,11,3,0,0,0,0,181,0,0,0,0,2,0,1,0,1,1,1,19,0,0,0,1,0,1
390,1543,3,0,5,62,0,1,5,51,0,2,0,0,1,0,0,0,43,0,3,5,0,0,0,3,0,0,0,7,0,1,0,1,0,0,0,12,0,4,15,5,0,0,0,121,0,0,0,0,1,0,0,0,0,0,0,9,1,1,0,0,0,0
410,1626,4,0,18,46,0,7,4,47,0,0,0,3,0,9,0,0,62,0,6,8,0,3,0,3,0,0,0,9,1,0,0,0,0,0,1,14,0,9,18,0,0,0,1,189,0,0,0,0,4,0,0,0,0,0,1,17,2,0,0,0,0,0
420,1667,7,0,8,36,0,1,1,23,0,1,0,1,0,2,0,0,34,3,3,2,1,0,0,1,2,0,0,9,0,0,0,2,0,0,2,11,0,6,5,0,0,0,2,140,0,0,0,0,1,0,0,0,1,2,3,6,3,0,0,0,1,0
430,1708,5,0,27,54,0,7,4,28,0,0,2,1,0,6,0,0,73,5,3,10,0,2,0,3,2,0,0,12,0,0,2,0,0,0,0,11,0,7,23,0,0,0,0,122,0,0,0,0,3,0,0,0,0,0,3,6,1,2,0,0,2,0
440,1749,6,1,4,44,0,7,3,28,0,0,2,0,0,14,0,0,59,1,4,6,0,1,0,10,1,0,0,6,0,0,0,1,0,0,0,6,0,12,16,0,0,0,0,98,0,0,0,0,3,0,1,0,0,0,0,8,1,0,0,0,0,0
450,1790,0,1,7,36,0,10,3,26,0,0,1,0,0,4,0,0,61,5,5,7,0,2,0,7,0,0,0,6,0,0,0,2,0,0,0,6,0,10,18,0,0,0,0,106,1,0,0,1,1,0,1,0,0,0,1,7,1,0,0,0,2,0
470,1872,6,2,14,56,0,11,2,36,0,0,2,1,0,6,1,1,76,5,4,3,1,2,0,3,1,0,0,15,0,0,0,0,0,0,0,10,0,12,15,0,0,0,0,151,0,0,0,0,0,0,2,0,0,1,2,5,0,1,0,0,1,0
490,1954,2,0,7,41,0,9,1,19,0,0,2,0,0,3,0,0,47,6,5,3,0,2,0,4,1,0,0,8,0,0,0,0,0,0,0,4,0,5,12,0,0,0,0,129,0,0,0,1,0,0,0,0,0,0,0,7,4,0,0,0,2,0
510,2036,1,0,5,23,4,5,8,49,0,0,0,0,2,5,0,0,38,3,4,5,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,12,0,5,18,0,0,0,0,140,0,0,0,0,1,0,0,2,0,1,5,14,0,0,0,0,0,0
530,2118,3,1,3,28,0,3,2,29,0,1,1,1,0,6,0,0,47,4,8,5,0,1,0,0,1,0,0,5,0,0,0,4,0,0,0,4,0,9,13,0,0,0,0,137,0,0,0,1,4,0,1,0,0,0,0,10,2,1,0,0,0,0
550,2200,1,2,5,37,0,7,4,53,2,0,2,1,0,10,0,0,54,0,1,2,0,1,0,5,0,0,0,5,0,0,0,1,0,0,0,4,0,9,13,0,0,0,0,175,0,0,0,2,0,0,0,0,0,1,4,8,3,0,0,0,0,0
590,2364,4,0,5,36,0,4,2,48,2,4,2,0,0,10,0,0,64,2,4,7,1,2,0,1,0,0,0,7,0,0,0,1,0,0,0,4,0,5,8,0,0,0,0,143,0,0,0,0,0,0,0,0,0,1,2,6,2,2,0,0,0,0
610,2446,3,1,2,16,1,5,2,41,0,0,0,1,0,0,0,0,34,1,2,9,0,1,0,2,0,0,1,8,1,0,1,1,0,0,0,11,0,2,13,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,0
710,2856,1,0,2,31,0,4,5,30,0,2,1,2,0,12,0,0,27,8,0,2,0,2,0,3,0,0,0,6,0,0,0,1,0,0,1,11,0,6,15,0,0,0,0,121,0,0,0,1,0,0,0,0,0,1,2,8,4,0,0,0,0,0
810,3266,2,0,5,34,0,0,1,36,1,2,0,0,0,13,0,0,28,2,4,6,0,1,0,3,0,0,0,7,0,0,0,0,0,0,0,7,0,3,17,0,0,0,0,120,0,0,0,0,1,0,1,0,0,2,3,7,14,0,0,0,2,0
910,3676,3,0,9,26,0,6,2,39,3,1,0,0,0,8,0,0,19,0,10,5,0,2,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,5,11,0,0,0,0,166,0,0,0,0,0,0,1,0,0,2,0,18,5,0,0,0,0,0
1010,NA,1,0,0,19,0,1,0,47,1,0,0,0,0,10,0,0,45,0,2,9,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,1,3,0,0,0,0,157,0,0,0,0,0,0,2,0,0,1,0,5,3,1,0,0,3,0
