"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae","Polygonaceae.undiff.","Polygonum.lapathifolium.type","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rubus.chamaemorus","Salix","Sarracenia.purpurea","Saxifraga.oppositifolia.type","Saxifragaceae.undiff.","Selaginella","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule","Viburnum.nudum","Viburnum.undiff."
10,507,8,0,0,2,0,5,1,0,0,0,0,0,316,0,0,0,0,0,0,1,0,0,7,1,2,1,0,0,7,7,2,0,0,8,1,2,0,0,3,0,16,23,1,0,10,48,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0
20,1014,15,0,1,5,0,7,4,0,0,1,0,0,396,0,0,0,0,0,0,4,0,0,7,2,1,1,0,0,11,14,2,0,0,6,0,0,0,6,0,0,21,27,2,0,12,55,0,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,13,2,0,0,0
30,1521,7,0,1,5,0,5,0,0,0,1,0,0,387,0,0,0,0,0,0,2,2,1,10,2,0,2,0,0,0,10,1,1,1,1,0,0,0,0,0,0,12,11,4,0,30,77,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,6,0,0,1,0
40,2029,20,1,0,0,0,3,4,0,0,1,0,0,429,0,0,0,0,0,1,1,4,0,4,2,0,1,0,0,5,6,3,1,0,14,1,3,0,1,0,0,19,26,4,0,16,81,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,9,1,0,0,0
50,2536,10,2,2,2,0,6,3,0,0,0,1,0,313,0,1,0,0,0,0,3,0,0,7,0,0,1,0,0,0,7,2,0,0,0,0,0,0,1,0,0,8,13,9,0,33,96,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,1,4,0,2,0,0
60,3043,6,0,1,3,0,9,0,1,0,0,0,0,269,0,0,0,0,0,0,1,2,0,4,2,1,0,0,0,4,3,3,0,0,0,0,1,0,4,0,2,11,14,12,7,23,98,0,2,0,0,0,2,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,3,0,13,1,0,0,0
70,3550,7,0,1,2,0,7,1,0,0,1,0,0,212,0,0,0,0,0,0,2,0,0,3,1,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,7,5,12,0,28,100,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,10,0,0,0,0
80,4058,9,0,2,3,1,7,2,0,0,0,0,0,252,0,0,0,0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,16,28,2,0,47,46,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,4,0,0,0,0
90,4565,10,0,2,2,0,8,6,1,0,0,0,0,260,0,0,0,0,0,1,3,0,0,5,5,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,6,16,4,0,46,115,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,1,0,3,0,0,0,0
100,5072,11,0,1,6,0,5,2,0,0,0,0,0,245,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,1,1,1,1,0,4,0,0,10,21,5,0,49,49,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0
110,5580,7,0,1,2,0,6,5,0,0,0,0,0,201,0,0,0,0,0,3,5,0,0,1,1,1,0,0,0,1,0,3,1,1,2,0,0,0,0,0,0,6,13,14,0,50,120,0,2,0,0,0,1,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,1,0,4,1,0,0,0
120,6087,14,0,0,5,1,13,13,0,0,0,1,0,400,0,0,0,1,0,0,2,0,0,0,3,1,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,49,12,4,113,105,0,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,2,1,1,5,1,0,3,0,13,0,0,0,0
130,6489,13,0,1,1,0,3,7,0,0,2,0,0,231,0,0,0,0,0,1,3,0,0,1,3,3,1,0,0,1,0,2,1,0,4,1,0,0,0,0,0,12,16,18,13,49,151,0,0,0,0,0,3,3,7,0,0,0,0,2,0,0,0,0,0,3,3,0,3,0,0,4,0,12,1,0,0,1
140,6891,11,0,1,5,1,4,12,0,0,0,1,0,280,0,0,0,0,0,0,9,0,0,0,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37,43,20,12,57,70,0,0,0,0,0,2,0,9,0,1,0,0,0,0,0,0,0,0,2,1,0,6,0,0,8,0,4,1,0,0,0
150,7293,8,0,0,2,0,5,19,0,0,0,0,0,261,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,27,24,25,2,39,110,0,0,0,0,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,5,2,0,0,0
160,7695,17,0,2,1,1,4,26,0,1,0,0,0,227,0,1,0,0,0,1,4,0,0,0,6,0,0,0,0,0,0,0,2,2,6,0,0,0,1,0,0,43,61,22,12,22,66,0,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,2,0,6,1,0,0,0
170,8097,8,0,2,0,0,1,24,0,0,0,2,0,207,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,16,21,8,0,40,107,0,0,0,0,0,3,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,1,4,0,7,2,0,0,0
180,8649,31,0,1,0,2,0,84,0,0,0,1,0,221,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,1,3,3,0,0,0,0,0,0,31,29,5,0,16,21,0,0,0,0,0,4,0,12,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,7,1,1,0,0
190,9352,18,0,0,1,0,2,58,0,1,1,0,0,229,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,7,6,0,1,0,0,0,0,0,0,21,18,4,0,11,27,0,0,0,0,1,5,0,15,0,1,0,0,1,0,0,0,0,0,4,0,0,2,1,0,1,0,3,0,0,0,0
200,10055,17,0,0,0,0,3,122,0,0,1,1,0,234,0,0,0,0,0,1,12,0,0,0,4,1,1,0,0,1,0,4,4,0,4,0,0,0,0,0,0,62,86,17,6,3,16,0,0,0,0,0,12,1,21,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,7,1,0,0,0
210,10758,6,0,0,0,0,0,76,1,0,1,3,0,79,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,95,83,24,0,9,25,0,0,1,0,0,5,0,14,0,1,0,0,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,2,0,0,0
220,NA,6,0,0,0,0,0,72,0,0,2,4,0,103,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,73,125,12,6,7,16,0,1,0,4,0,7,2,9,0,0,1,0,4,0,0,0,0,0,3,0,0,1,0,0,1,0,4,2,0,0,0
225,NA,9,0,0,0,0,4,64,0,2,1,3,0,184,0,1,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,55,75,22,0,20,61,0,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,6,1,0,0,0
230,NA,2,0,0,0,0,1,26,0,0,0,1,0,104,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,4,0,3,12,1,0,0,0,0,0,0,112,124,32,1,8,61,0,0,0,1,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,10,2,0,0,0
240,NA,0,0,0,1,0,2,28,0,1,4,2,0,130,0,0,0,0,2,0,43,0,0,0,1,0,0,0,0,0,0,0,11,3,3,0,1,0,0,0,0,120,129,46,0,8,23,0,4,0,0,1,3,0,8,3,8,0,0,3,0,0,0,0,0,4,0,1,3,0,0,1,0,5,0,0,0,0
250,NA,1,0,0,1,1,4,14,0,0,1,2,0,239,1,0,0,0,0,0,11,0,0,2,0,0,0,0,0,1,0,0,12,21,9,0,0,0,0,0,0,61,76,45,0,5,59,0,1,0,1,0,1,0,6,4,1,0,1,4,0,0,0,0,1,4,0,1,1,0,0,4,0,12,2,0,0,0
260,NA,0,0,0,0,0,0,10,0,0,3,4,0,42,0,0,2,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,17,3,0,0,0,0,0,0,0,29,68,17,0,0,11,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,8,1,0,0,0
270,NA,1,0,0,1,0,1,6,0,1,27,6,0,76,1,0,3,0,0,1,28,0,1,0,0,0,1,1,0,0,2,0,3,16,3,0,0,0,0,0,0,81,57,153,0,2,68,0,7,0,0,0,0,0,2,3,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,20,4,0,0,0
278,NA,0,0,0,0,0,3,12,0,0,6,2,2,99,0,1,1,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,0,77,83,136,0,0,35,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,9,1,0,0,0
285,NA,3,0,0,1,0,2,8,0,0,3,1,0,93,0,1,0,0,0,0,14,0,1,0,1,0,0,0,0,2,1,1,5,2,2,0,0,2,0,0,0,33,61,16,0,10,35,0,2,0,0,0,0,0,6,1,1,0,0,1,0,0,0,0,1,4,0,0,1,0,1,1,0,4,1,0,0,0
290,NA,2,0,0,1,0,3,14,0,0,0,2,0,91,0,0,1,0,0,1,18,0,0,0,0,1,0,0,0,0,3,1,3,8,0,0,0,0,0,0,0,42,70,27,0,9,136,0,1,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,10,2,0,0,0
295,NA,1,0,0,0,0,2,13,0,0,1,1,0,113,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,40,94,25,0,7,38,0,3,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,3,0,0,1,0,0,1,0,3,1,0,0,0
300,NA,13,0,1,2,1,16,83,2,0,1,2,0,618,0,0,0,0,0,0,7,1,0,3,2,0,0,0,0,1,0,0,14,0,5,0,0,0,0,0,0,279,360,27,0,34,20,0,2,0,0,0,0,0,15,1,0,0,0,3,0,0,0,0,2,5,0,2,5,1,0,6,0,17,0,0,0,0
