"sample.depths","sample.ages","upland.sum","Abies","Acer","Alnus","Betula","Carya","Castanea","Celtis","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Ilex","Juglans.cinerea","Larix","Liquidambar","Myricaceae","Nyssa","Ostrya.Carpinus","Picea","Pinus.undiff.","Pinus.strobus","Platanus","Populus","Quercus","Rhus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae","Cyperaceae","Galium","Plantago","Poaceae","Ranunculaceae.undiff.","Rosaceae","Rumex","Saxifragaceae","Thalictrum","Urticaceae"
0,54,734,0,13,175,38,9,74,0,11,0,0,1,5,9,3,3,0,0,0,2,18,3,52,8,0,0,128,0,10,0,32,5,39,0,1,26,3,0,0,47,0,0,17,0,0,0,0,2,0
30,5965,796,0,8,113,23,20,28,0,170,1,3,0,2,4,2,0,13,0,0,4,3,4,114,4,0,4,113,0,12,0,44,3,2,0,1,23,1,0,0,56,0,0,18,0,0,0,0,3,0
40,7741,768,0,7,63,12,25,33,0,209,2,1,1,6,2,3,3,9,0,0,1,6,0,111,4,0,6,117,0,17,1,34,4,2,0,0,26,1,0,0,48,0,2,11,0,0,0,0,1,0
50,9350,765,0,3,236,21,2,2,0,24,1,2,0,10,5,5,4,2,0,0,2,5,0,69,11,1,2,187,0,8,3,62,4,2,1,0,18,0,0,0,42,0,0,30,0,0,0,0,1,0
60,10749,534,2,7,9,38,0,0,1,0,3,2,0,0,6,0,0,1,0,3,0,9,4,207,52,0,0,109,0,1,0,49,6,2,0,1,2,0,0,0,17,0,0,2,0,0,0,0,0,1
70,11904,595,34,1,43,74,0,2,0,1,12,0,1,0,7,0,2,1,0,4,0,9,98,196,5,0,0,44,0,4,0,10,1,0,1,1,2,0,0,0,35,0,0,7,0,0,0,0,0,0
80,12808,471,17,0,5,29,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,13,107,173,8,0,0,36,0,4,0,0,0,1,0,2,6,0,0,0,48,0,0,7,0,0,0,0,0,0
90,13465,470,5,0,2,23,2,0,0,1,4,0,0,0,11,0,0,0,0,0,0,14,203,102,5,0,0,27,0,12,0,0,0,0,0,6,5,0,0,0,32,0,0,15,0,0,0,0,0,1
100,13913,488,13,0,2,21,1,0,1,0,1,2,1,0,4,0,0,0,0,0,0,11,207,110,0,0,0,29,0,3,0,0,0,1,0,8,14,0,0,0,47,0,0,9,0,0,0,0,0,3
110,14194,510,2,0,6,37,0,0,0,2,3,1,0,0,8,0,1,2,0,0,1,20,194,122,2,0,1,26,0,14,0,1,0,1,1,3,8,0,0,0,43,0,0,9,0,0,0,0,2,0
120,14352,518,7,0,1,51,1,0,0,1,0,0,1,0,3,0,0,1,0,0,0,15,213,79,1,0,1,31,0,13,0,0,0,3,1,3,14,0,0,0,58,1,0,18,0,0,0,0,1,0
130,14431,494,4,0,5,24,0,0,1,0,0,1,3,0,2,0,0,0,0,0,0,10,254,74,1,0,0,19,0,20,0,0,1,3,1,1,8,0,0,0,47,0,0,12,0,0,0,0,2,1
140,14473,594,1,2,14,56,0,0,0,0,3,2,4,0,1,0,0,1,0,0,0,7,167,118,1,0,0,23,0,26,0,0,0,5,0,6,13,0,1,1,121,1,0,15,0,0,0,0,4,1
150,14511,632,1,1,18,73,1,0,1,0,0,1,9,0,0,0,1,1,0,0,0,8,144,146,0,1,0,15,0,26,0,1,2,2,0,6,12,0,0,0,132,0,0,17,0,0,0,0,11,2
159,14550,623,2,0,16,77,0,2,0,2,4,0,9,0,0,3,0,1,0,0,1,5,124,127,0,0,3,19,0,25,0,0,1,3,0,12,20,0,0,1,136,1,0,19,0,0,0,0,9,1
178,14642,636,2,1,23,80,2,1,0,21,2,2,5,1,6,0,0,0,1,1,0,3,113,140,2,0,0,23,0,23,2,3,1,2,2,16,14,0,0,1,121,0,0,14,0,1,2,0,5,0
195,14735,633,5,0,45,57,1,4,0,12,3,1,5,1,1,0,0,2,0,2,0,6,129,145,0,0,0,15,0,31,0,5,2,1,0,9,6,0,0,1,113,0,1,20,2,0,0,0,6,2
288,15416,739,3,0,31,57,1,1,0,7,3,0,7,0,2,0,2,1,0,1,0,4,103,164,0,0,0,11,0,45,0,5,0,4,0,23,5,0,0,2,217,0,0,30,0,0,0,0,10,0
310,15612,613,2,1,24,38,0,3,0,7,4,0,4,0,4,0,0,2,0,0,0,6,137,150,0,0,2,27,0,23,0,0,1,2,0,10,15,0,0,1,121,2,0,19,2,0,0,0,5,1
391,16411,657,1,3,31,33,2,1,0,3,2,0,5,0,3,0,0,3,0,0,0,4,99,188,1,0,0,16,0,40,0,0,2,2,1,16,8,0,1,0,142,0,0,31,0,0,1,0,18,0
416,16676,745,2,0,36,31,0,3,0,8,3,1,4,0,4,0,0,0,0,0,0,4,71,215,0,0,0,30,0,38,0,6,2,2,0,16,7,1,2,1,196,1,0,26,0,0,1,0,32,2
447,17011,729,0,0,44,28,7,4,0,37,2,4,2,0,2,0,0,1,0,0,0,6,86,204,1,0,5,31,2,25,0,11,0,4,1,24,11,0,1,1,137,0,0,28,6,0,1,2,10,1
481,17383,663,3,0,42,20,3,0,0,7,3,0,5,0,0,0,0,1,0,0,0,3,91,220,1,0,1,19,0,31,0,0,2,2,2,16,10,0,0,0,111,0,0,37,0,0,0,0,27,6
