"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Fagus","Ilex","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rumex","Tilia","Tsuga","Ulmus","Alnus","Acer","Fabaceae","Rosaceae.undiff.","Fraxinus","Populus","Poaceae","Abies","Pinus.subg..Pinus","Platanus","Juglans","Caryophyllaceae","Corylus","Ericaceae","Urtica.type","Taxus","Asteraceae.subf..Asteroideae.undiff.","Shepherdia","Castanea","Cupressaceae","Larix","Rhamnaceae","Thalictrum","Myrica","Lamiaceae","Salix","Nemopanthus","Asteraceae.subf..Cichorioideae","Sarcobatus.vermiculatus","Liquidambar","Apiaceae","Onagraceae","Galium","Ranunculaceae.undiff.","Dryas.type","Potentilla.type"
10,47,0.181159420289855,0.0072463768115942,0.101449275362319,0.0217391304347826,0.0108695652173913,0.0072463768115942,0.108695652173913,0.0036231884057971,0.036231884057971,0.0072463768115942,0.0144927536231884,0.0507246376811594,0.101449275362319,0.0072463768115942,0.0072463768115942,0.072463768115942,0.0833333333333333,0.0072463768115942,0.0543478260869565,0.0036231884057971,0.0036231884057971,0.0181159420289855,0.0144927536231884,0.0760869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,148,0.03,0.015,0.12,0.005,0,0.005,0.17,0,0.045,0.005,0.01,0.035,0.115,0.005,0.005,0.13,0.105,0.005,0.12,0,0.005,0.02,0,0.015,0.005,0.005,0.015,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,309,0.00902255639097744,0,0.105263157894737,0.0135338345864662,0,0.00150375939849624,0.183458646616541,0.00451127819548872,0.0526315789473684,0.00451127819548872,0.0135338345864662,0.0481203007518797,0.136842105263158,0.00150375939849624,0.0075187969924812,0.156390977443609,0.0947368421052632,0.0120300751879699,0.0766917293233083,0,0.0075187969924812,0.0360902255639098,0.00451127819548872,0.00601503759398496,0.00150375939849624,0,0.00451127819548872,0.00902255639097744,0.00150375939849624,0.00300751879699248,0.00300751879699248,0.00150375939849624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,504,0.00823045267489712,0.00411522633744856,0.0905349794238683,0.0164609053497942,0,0.00411522633744856,0.193415637860082,0,0.0740740740740741,0.00823045267489712,0.0205761316872428,0.0205761316872428,0.152263374485597,0,0.00411522633744856,0.11522633744856,0.0905349794238683,0.0164609053497942,0.0946502057613169,0,0.0123456790123457,0.0452674897119342,0,0,0,0.00411522633744856,0.00411522633744856,0.00411522633744856,0,0.00411522633744856,0,0,0.00411522633744856,0.00411522633744856,0.00411522633744856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,730,0,0.00943396226415094,0.089622641509434,0.00471698113207547,0,0,0.292452830188679,0.00471698113207547,0.0471698113207547,0.00471698113207547,0.00471698113207547,0.0188679245283019,0.108490566037736,0.00471698113207547,0.0141509433962264,0.099056603773585,0.080188679245283,0.0141509433962264,0.10377358490566,0,0.00471698113207547,0.0518867924528302,0.00943396226415094,0,0,0,0.00943396226415094,0.0141509433962264,0,0,0,0,0.00471698113207547,0,0,0.00471698113207547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,984,0.004149377593361,0.00829875518672199,0.132780082987552,0.020746887966805,0,0.004149377593361,0.29045643153527,0.004149377593361,0.045643153526971,0.004149377593361,0.004149377593361,0.033195020746888,0.12448132780083,0,0.00829875518672199,0.0788381742738589,0.116182572614108,0.00829875518672199,0.074688796680498,0,0,0.020746887966805,0,0,0,0,0.00829875518672199,0,0,0.004149377593361,0,0,0,0,0,0.004149377593361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1260,0.00444444444444444,0.00888888888888889,0.102222222222222,0.0488888888888889,0.00444444444444444,0,0.293333333333333,0,0.0355555555555556,0.00444444444444444,0,0.0133333333333333,0.102222222222222,0.00444444444444444,0,0.111111111111111,0.124444444444444,0.0133333333333333,0.04,0,0,0.0577777777777778,0,0,0,0,0.00888888888888889,0.00888888888888889,0,0.00444444444444444,0,0,0,0,0,0,0.00888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1557,0.00173611111111111,0.00694444444444444,0.107638888888889,0.0208333333333333,0,0,0.262152777777778,0.00173611111111111,0.0555555555555556,0.00173611111111111,0.00347222222222222,0.0243055555555556,0.123263888888889,0,0.0104166666666667,0.0868055555555556,0.09375,0.00868055555555556,0.0972222222222222,0,0.00347222222222222,0.0572916666666667,0.00173611111111111,0.00347222222222222,0,0.00347222222222222,0.00868055555555556,0.00347222222222222,0,0.00173611111111111,0,0,0,0.00173611111111111,0,0,0,0.00173611111111111,0.00173611111111111,0.00173611111111111,0.00173611111111111,0.00173611111111111,0,0,0,0,0,0,0,0,0,0,0
165,1870,0.00324675324675325,0,0.103896103896104,0.0227272727272727,0.00324675324675325,0,0.25974025974026,0,0.051948051948052,0,0.012987012987013,0.0324675324675325,0.100649350649351,0,0.012987012987013,0.051948051948052,0.113636363636364,0.0064935064935065,0.13961038961039,0,0,0.0454545454545455,0.00974025974025974,0,0,0.00324675324675325,0.0162337662337662,0,0,0,0,0,0,0.00324675324675325,0,0,0,0.00324675324675325,0,0,0,0,0.00324675324675325,0,0,0,0,0,0,0,0,0,0
185,2196,0.0050125313283208,0.0025062656641604,0.102756892230576,0.0225563909774436,0,0.0025062656641604,0.243107769423559,0,0.037593984962406,0.0025062656641604,0.0300751879699248,0.0350877192982456,0.137844611528822,0,0.012531328320802,0.0651629072681704,0.115288220551378,0,0.087719298245614,0,0.0025062656641604,0.0576441102756892,0.0025062656641604,0,0,0.0075187969924812,0.0100250626566416,0.0100250626566416,0,0,0.0025062656641604,0,0,0,0,0,0,0,0,0.0025062656641604,0,0,0,0.0025062656641604,0,0,0,0,0,0,0,0,0
