"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.torreyana.type","Fraxinus.americana.type","Fraxinus.nigra","Humulus","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus.subg..Batrachium","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Xanthium"
1,-15,4,1,0,4,13,12,52,0,0,18,3,62,0,0,0,0,7,1,2,1,0,0,6,0,5,0,1,0,1,8,0,1,1,10,18,114,1,0,3782,1,0,1,37,0,0,1,1,4,0,0,0,0,2,0,15,2,0,0,0
10,7,6,0,1,0,21,14,43,0,0,27,0,52,0,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,0,3,0,0,1,12,10,123,1,0,6900,0,1,1,44,0,0,0,0,3,3,0,0,0,2,1,21,1,1,0,0
20,32,11,1,0,4,29,18,64,0,1,42,9,69,1,1,1,0,5,0,4,0,0,0,7,0,2,0,1,0,0,7,0,0,0,30,10,243,1,0,9999,3,0,0,54,0,1,1,1,5,1,0,0,2,4,0,11,0,0,0,1
30,57,9,0,0,3,13,1,31,0,0,12,5,77,0,0,0,0,4,0,1,0,0,1,3,0,1,0,0,0,0,3,0,0,0,17,9,140,0,1,9261,0,0,1,47,0,0,0,1,1,1,0,0,1,3,0,11,0,0,0,0
40,234,8,1,0,5,10,2,9,1,0,14,4,49,0,0,0,0,2,0,4,0,0,0,1,0,3,0,1,0,0,8,1,0,0,8,17,159,0,0,8502,2,0,0,0,0,0,0,0,0,2,0,0,0,5,0,18,1,0,0,0
50,563,11,0,0,1,12,5,12,0,0,18,4,49,0,0,0,0,9,1,1,0,0,3,1,0,3,0,0,0,0,11,0,1,0,17,17,124,0,0,6090,0,0,0,37,0,0,0,1,2,0,0,0,0,5,0,17,0,0,0,0
60,892,7,1,0,4,5,2,18,0,0,9,4,67,0,0,0,0,1,0,0,0,0,0,7,1,2,0,0,0,0,8,0,0,0,14,11,129,0,0,7300,4,0,0,37,0,0,0,1,0,1,1,0,1,4,0,17,1,1,0,0
70,1221,4,1,0,1,5,10,11,0,0,18,5,71,0,1,0,0,1,0,0,1,0,4,2,0,3,0,0,0,0,8,0,3,0,25,6,95,0,0,8500,2,0,0,65,1,1,0,0,0,2,0,0,1,4,0,14,1,2,0,0
80,1550,2,1,0,1,9,1,8,0,0,12,5,79,0,0,0,0,0,0,1,0,0,2,7,0,1,0,1,0,0,3,1,2,0,33,3,89,0,0,1548,0,1,0,69,0,0,0,0,1,0,0,0,0,6,0,19,0,1,0,0
90,1879,1,0,0,4,13,7,5,0,0,16,7,75,0,1,1,0,2,0,4,0,0,4,3,0,0,0,1,1,0,2,0,4,0,25,0,64,0,1,3420,2,0,0,85,0,0,0,1,0,1,0,0,0,2,1,19,0,0,0,0
100,3778,1,0,1,5,12,4,5,1,0,21,3,71,0,0,0,1,4,2,8,1,0,5,10,0,16,0,0,0,0,5,0,0,0,39,2,52,0,0,320,3,1,0,73,0,0,0,0,1,0,0,0,0,8,0,17,1,0,0,0
110,5677,1,0,0,2,22,3,18,0,0,31,8,112,0,1,0,0,6,2,16,2,0,7,16,0,18,0,0,1,0,5,0,1,0,43,3,89,0,0,787,3,0,0,121,0,0,0,1,3,0,0,0,0,10,2,39,1,0,1,0
120,7575,0,1,0,2,17,3,6,0,0,21,7,76,0,0,0,0,4,2,10,0,0,4,10,0,11,0,0,0,0,5,0,0,1,47,0,62,0,1,350,5,0,0,92,1,0,1,0,3,0,0,0,0,5,0,40,1,0,0,0
130,9474,2,1,0,1,17,4,14,1,0,13,10,95,0,0,0,0,1,3,8,0,1,3,11,0,4,0,0,0,0,4,0,0,0,45,0,50,0,0,433,4,1,0,84,0,0,0,0,5,1,1,1,3,18,1,28,1,0,0,0
140,NA,0,1,0,3,13,3,16,1,0,36,6,120,0,0,0,0,4,1,11,0,0,6,10,0,9,1,2,0,0,1,0,0,0,56,0,43,0,1,191,1,0,0,76,0,0,0,0,6,1,0,0,0,2,1,41,1,0,0,0
150,NA,0,0,0,3,15,6,16,0,0,24,4,84,0,0,0,0,2,1,10,0,0,5,8,0,8,0,0,0,0,5,0,0,0,54,0,31,0,1,131,1,1,0,104,0,0,0,1,1,0,1,0,0,7,1,34,0,0,0,1
160,NA,0,0,0,6,4,4,11,0,0,23,8,92,0,0,0,0,2,1,6,0,0,0,9,0,13,0,2,0,0,2,0,0,0,47,0,37,0,0,122,1,0,0,69,0,0,0,0,4,0,0,0,2,9,4,29,0,0,0,0
