"sample.depths","sample.ages","Abies","Acer.negundo.type","Alnus","Amaranthaceae","Ambrosia.type","Amorpha","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Bidens.type","Brassica","Calystegia","Carpinus.type","Carya","Caryophyllaceae","Celtis","Centaurea.type","cf..Nemopanthus","Chamaecrista.type","Cornus.cf..C..sericea","Corylus","Cyperaceae","Cystopteris.type","Dalea","Dryopteris.type","Elaeagnus","Ephedra","Equisetum","Eriogonum","Eupatorium.type","Fraxinus.cf..F..nigra","Helianthus.type","Indeterminable","Iva.type","Juglans","Juniperus.type","Lactuca.type","Larix","Liliaceae","Limonium.cf..L..limbatum","Lycopodiaceae","Mentha.type","Morus.type","Myriophyllum","Nymphaea","Onagraceae","Opuntia","Osmunda.type","Picea","Pinus.banksiana.type","Pinus.undiff.","Plantago","Poaceae","Polygonum.cf..P..lapathifolium","Polygonum.cf..P..scandens","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculus","Rhamnus","Rosaceae","Rumex","Sagittaria","Salix","Sambucus.type","Shepherdia","Solanaceae.type","Stachys.type","Thalictrum","Typha.latifolia.type","Typha.undiff.","Ulmus","Unknown","Unknown..fenestrate.","Urtica","Vitis","Xanthium.type"
218,17,0,0,0,226,29,0,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,2,0,0,15,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,18,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0
238,935,0,0,0,234,35,0,1,7,5,0,9,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,1,0,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,9,0,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
258,1852,0,0,0,228,38,0,0,6,3,0,8,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,2,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,16,0,7,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0
276,2679,0,0,0,234,30,0,0,5,3,0,5,1,0,0,0,0,0,0,0,2,0,0,36,0,0,0,0,0,0,0,3,0,0,21,5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,21,0,9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
296,3596,0,0,0,215,34,0,0,7,4,0,6,0,0,0,0,0,0,0,0,2,0,0,44,0,0,0,0,0,0,0,3,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,28,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0
316,4514,0,0,0,154,57,0,1,9,6,0,2,0,0,0,0,0,1,0,0,7,1,0,32,0,0,0,0,1,0,0,1,0,0,27,6,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,2,3,0,37,0,16,0,1,0,3,1,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0
336,5432,0,0,0,146,79,0,0,13,6,0,3,0,0,0,0,0,0,0,0,6,0,0,22,1,1,0,0,0,0,1,2,0,0,34,7,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,7,6,0,35,0,25,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,4,1,1,0,0,0,0
356,6312,0,0,0,161,70,0,1,11,8,0,3,0,0,0,0,0,0,1,0,9,0,0,20,1,0,0,0,0,0,1,3,0,1,23,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,29,0,38,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0,0,1,0
376,6847,0,0,0,127,99,0,1,14,8,0,6,1,0,0,0,0,0,1,0,7,0,0,24,1,0,0,0,0,0,1,1,0,1,29,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,4,5,0,28,0,30,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,1,0,0,0,0,0
396,7382,0,1,0,144,83,0,1,8,8,0,2,1,0,0,0,0,0,1,0,8,0,0,9,1,0,0,0,0,0,1,3,0,1,31,7,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,3,3,0,32,0,19,2,0,1,4,0,0,0,0,0,1,0,0,1,5,0,0,4,2,0,0,0,0,0
