"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Betula","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica","Ilex","Juglans","Liquidambar","Moraceae","Myrica","Nyssa","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus","Rhus","Salix","Sapindaceae","Tilia","Tsuga","Ulmus","Ambrosia","Araliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae.Amaranthaceae","Cyperaceae.undiff.","Fabaceae.undiff.","Gentiana","Humulus.Cannabis.sativa","Hypericum","Iva.annua.type","Lamiaceae","Linnaea.borealis","Plantago.undiff.","Plantago.rigida.type","Poaceae.undiff.","Ranunculus","Rosaceae","Rumex","Secale","Thalictrum","Trifolium","Urticaceae"
1,-27,735,0,1,0,6,39,2,5,1,0,0,0,0,3,2,2,5,0,0,1,1,1,0,27,1,2,2,0,3,18,5,383,0,0,138,0,0,0,0,0,7,3,18,0,0,5,2,0,0,1,0,0,0,0,0,1,37,7,0,0,6,0,0,0,0
2,-3,561,4,0,0,5,27,1,0,1,0,0,1,0,2,2,2,5,0,3,0,0,0,0,18,0,5,0,0,0,3,2,313,0,0,103,0,0,1,0,0,6,1,17,0,0,0,2,1,0,0,0,0,0,0,0,1,23,4,0,1,6,0,0,0,1
4,43,613,1,0,0,6,38,0,6,0,0,0,0,0,4,1,3,5,2,3,0,2,0,0,34,0,2,3,0,3,12,1,288,0,0,99,0,0,0,0,0,7,0,23,0,1,2,1,1,0,0,0,0,0,0,0,0,34,10,0,0,20,1,0,0,0
6,90,694,1,2,0,7,53,0,6,3,0,0,1,0,0,6,3,7,1,1,0,0,0,0,40,0,0,3,0,1,17,0,336,0,0,102,0,1,0,0,0,17,4,17,0,1,2,0,1,0,0,0,0,0,0,0,1,20,14,0,0,25,1,0,0,0
8,137,564,1,3,0,4,30,2,4,0,1,0,0,0,5,0,2,5,0,1,1,0,1,0,20,0,2,7,0,1,1,3,304,0,0,77,0,1,1,0,0,12,2,24,0,0,0,0,1,0,0,1,0,0,0,0,2,19,12,0,0,12,2,0,0,0
10,183,525,0,2,0,8,40,1,4,3,0,1,0,0,3,2,1,6,0,2,1,0,0,0,35,0,3,2,0,2,7,3,268,1,0,64,0,0,0,0,0,14,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,9,2,0,1,0
12,230,625,0,1,0,6,43,2,7,3,0,0,0,0,7,6,0,11,0,1,1,1,0,0,37,1,4,1,0,4,15,4,318,0,1,66,0,0,1,0,0,20,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,5,0,0,0,0
14,277,660,0,3,0,1,51,2,5,1,0,0,2,0,3,4,4,10,1,1,1,0,1,0,47,0,1,5,0,3,25,7,333,1,0,80,0,0,0,0,0,11,2,6,0,0,1,0,1,0,0,0,0,0,0,0,0,30,5,0,0,12,0,0,0,0
16,325,642,0,2,0,6,40,3,2,1,0,0,1,0,3,0,2,9,1,0,1,2,0,0,48,1,6,2,0,2,6,5,332,3,1,88,0,0,0,0,0,32,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,30,2,0,0,1,0,0,0,0
18,376,587,2,5,0,5,28,4,3,3,0,0,0,0,5,4,2,5,1,1,0,0,0,0,43,0,8,1,0,2,9,3,287,2,0,105,0,0,0,0,1,12,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,32,2,0,1,2,0,0,0,0
20,426,622,2,2,0,7,32,4,4,3,0,0,2,0,2,5,2,11,0,1,0,0,0,0,42,1,3,1,0,2,14,3,321,0,0,104,0,0,0,0,0,16,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,30,2,0,2,1,0,0,0,0
22,477,669,1,0,1,7,23,3,3,2,1,0,0,0,4,5,0,11,2,5,0,1,0,0,33,0,1,0,0,2,118,2,323,1,0,71,0,0,0,0,0,18,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,1,0,0
24,527,606,4,2,0,4,26,1,7,1,0,0,0,0,3,5,0,11,0,3,0,1,2,0,33,2,3,3,0,2,3,0,378,1,0,70,0,0,0,0,1,10,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,20,0,0,1,2,0,0,0,0
26,578,525,0,2,0,9,29,1,5,2,0,0,0,0,5,5,1,11,3,1,1,0,0,0,20,0,2,1,0,6,15,1,294,0,0,83,0,0,0,0,0,7,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,1
28,625,653,2,5,0,11,31,0,11,5,0,0,0,0,7,1,2,4,0,3,0,0,1,0,28,0,1,2,0,2,19,0,388,0,0,85,0,0,0,0,0,19,0,2,0,1,1,1,0,0,0,0,0,1,0,0,2,13,3,0,0,2,0,0,0,0
