"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Picea","Asteraceae.subf..Asteroideae.undiff.","Fraxinus","Pinus","Amaranthaceae","Poaceae","Quercus","Salix","Alnus","Populus","Polygonaceae","Abies","Thalictrum","Apiaceae","Larix","Ranunculaceae.undiff.","Malvaceae","Ulmus","Onagraceae","Ostrya.Carpinus","Portulacaceae","Liliaceae","Ribes","Rosaceae","Polemoniaceae","Fabaceae","Carya","Juglans","Caryophyllaceae","Corylus"
450,NA,297,2,1,1,5,100,166,3,1,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,NA,295,2,1,2,6,52,145,2,0,63,2,11,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,NA,298,2,2,2,4,47,164,8,0,50,3,10,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,NA,301,1,2,1,3,29,161,4,0,97,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,NA,299,3,3,4,0,37,129,7,0,102,0,7,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,NA,299,5,3,2,7,25,132,3,0,109,0,8,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,NA,299,6,2,2,4,56,105,4,0,104,0,4,9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,NA,301,7,2,0,1,27,163,4,0,77,1,8,7,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,24287,297,3,2,2,4,69,81,5,0,114,2,7,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,24625,294,5,0,1,7,59,44,11,0,146,5,4,3,2,0,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
550,25114,295,7,3,3,6,57,21,25,0,138,11,8,2,0,0,2,0,0,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,25490,291,6,3,3,11,53,6,29,0,104,49,9,1,1,0,4,0,0,0,6,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0
566,25715,296,2,1,9,11,62,6,26,0,84,73,2,4,1,0,0,0,0,2,4,0,4,0,0,0,2,0,1,1,1,0,0,0,0,0,0
578,26167,293,2,1,9,5,70,2,29,0,90,62,5,2,2,1,0,1,0,1,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
589,26580,307,0,0,1,2,88,4,10,0,102,82,4,6,2,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
600,26993,300,4,0,2,1,108,0,10,0,106,51,6,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
610,27369,299,2,3,2,2,101,3,28,0,76,59,5,5,2,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
620,28094,296,1,1,4,2,104,10,9,1,101,38,9,4,1,1,1,0,0,1,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
630,28820,296,1,0,8,6,95,2,15,0,98,45,4,3,4,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
640,29545,295,4,2,3,8,101,4,19,1,84,39,12,3,3,0,6,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
650,30270,286,5,6,20,1,88,0,16,0,57,50,9,20,3,1,0,1,0,2,3,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0
661,31067,291,9,1,13,7,101,0,16,0,43,63,13,12,1,2,4,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
670,31581,270,30,1,63,3,85,0,35,0,24,17,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
680,32153,279,15,4,72,0,68,1,37,1,37,15,11,5,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,6
691,32781,285,12,1,28,7,108,1,21,5,43,19,12,9,1,0,8,0,0,2,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
710,33866,288,8,3,2,4,117,1,30,1,87,7,12,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
730,NA,293,5,2,1,7,140,2,9,3,104,4,4,4,3,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
