"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Corylus","Cyperaceae","Fraxinus","Herbs.undiff.","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Poaceae","Quercus","Salix","Tilia","Tsuga","Ulmus"
0,206,1,4,7,0,4,8,1,92,0,1,1,2,5,0,0,3,3,15,80,83,3,17,0,0,45,2
10,969,4,5,8,1,0,3,0,81,0,0,0,1,0,0,2,2,2,5,66,71,1,14,0,1,42,3
20,1731,0,13,8,0,4,6,0,151,1,0,0,5,0,1,2,9,3,4,94,60,1,29,0,0,11,7
30,2488,3,5,17,1,10,4,0,76,0,3,2,3,2,0,5,3,2,7,97,80,2,20,0,1,19,7
40,3239,1,9,9,0,4,5,1,106,1,2,1,4,2,1,7,5,2,11,93,151,4,23,0,0,25,12
50,3982,1,10,20,0,4,6,1,109,0,5,1,8,2,0,5,5,2,15,87,90,2,39,0,1,6,11
60,4714,4,10,4,0,4,2,0,28,0,1,2,6,4,0,4,4,4,14,77,41,0,23,0,2,0,9
70,5432,0,11,17,2,2,3,1,49,0,2,1,9,4,0,4,7,0,15,78,92,4,31,1,0,0,10
80,6130,2,3,6,1,4,4,0,45,0,5,0,4,0,0,1,8,1,7,84,144,2,21,0,0,1,5
90,6806,1,7,11,1,4,3,1,37,1,2,0,3,0,0,1,14,0,13,74,205,0,40,0,1,3,11
100,7454,0,3,16,1,7,1,1,59,0,2,1,1,1,0,0,15,0,15,74,97,1,18,0,1,0,10
110,8070,2,10,13,6,8,5,0,48,0,2,0,1,1,1,3,20,0,5,105,154,1,31,1,1,0,24
120,8651,5,1,13,1,9,3,0,38,1,0,2,0,2,1,0,12,0,16,80,136,1,24,1,1,0,17
130,9191,2,3,24,4,8,3,0,59,2,3,2,2,2,0,0,10,0,11,86,123,0,19,0,0,0,17
140,9687,2,2,17,4,8,2,0,56,2,2,1,1,1,0,1,6,1,32,48,145,1,9,0,0,0,11
150,10125,3,1,20,7,9,3,0,56,2,2,0,5,0,0,2,4,1,46,5,122,1,13,4,0,0,9
160,10455,6,0,20,4,7,10,0,73,0,5,2,4,5,0,2,7,11,20,4,181,1,10,1,1,0,13
170,10688,3,0,15,2,1,4,0,49,1,1,0,3,3,0,0,6,16,10,3,239,0,13,0,0,0,17
180,10853,5,2,2,1,1,5,0,10,2,2,0,0,3,3,1,4,33,7,4,231,0,18,0,1,0,16
190,10978,0,0,1,2,2,5,0,12,3,2,1,5,2,2,4,2,129,4,3,145,0,17,0,0,0,29
195,NA,0,2,1,1,1,2,1,17,3,2,0,3,0,3,2,5,39,11,5,210,0,16,0,0,0,6
200,NA,0,1,0,1,3,4,0,15,1,2,0,1,2,1,5,3,64,6,5,185,0,11,0,0,0,7
205,NA,3,0,1,0,4,3,0,9,3,2,0,1,1,0,6,5,136,9,6,107,5,9,1,0,0,6
210,NA,1,0,3,2,3,7,0,17,1,3,0,7,1,1,9,0,114,11,2,144,0,21,0,0,0,34
215,NA,0,2,0,0,1,2,1,20,0,1,1,2,1,0,5,2,75,25,1,205,0,14,0,0,0,15
225,NA,0,1,1,0,0,5,0,19,1,4,1,5,2,5,3,6,150,31,4,105,1,30,0,0,0,40
235,NA,1,1,1,1,0,7,2,24,0,2,1,4,2,5,8,3,159,21,1,97,1,24,7,0,0,11
245,NA,4,2,1,1,3,10,0,13,0,5,2,7,3,1,10,11,158,15,1,35,10,21,3,0,0,21
