"sample.depths","sample.ages","Artemisia","Betula","Asteraceae.undiff.","Cyperaceae","Larix","Picea","Salix","Alnus","Myrica","Pinus","Amaranthaceae","Ericaceae","Herbs.undiff.","Poaceae","Ambrosia.type","Cupressaceae"
0,NA,0.00772626931567329,0.13355408388521,0.0011037527593819,0.0717439293598234,0.0011037527593819,0.185430463576159,0.0011037527593819,0.339955849889625,0.0309050772626932,0.226269315673289,0.0011037527593819,0,0,0,0,0
5,NA,0.0107411385606874,0.116004296455424,0,0.0311493018259936,0.00107411385606874,0.083780880773362,0.00107411385606874,0.472610096670247,0,0.220193340494092,0,0.0107411385606874,0.0214822771213749,0.0311493018259936,0,0
10,NA,0,0.0686746987951807,0,0.137349397590361,0.0228915662650602,0.195180722891566,0,0.0686746987951807,0,0.401204819277108,0.00120481927710843,0.0228915662650602,0.0578313253012048,0.0120481927710843,0.0120481927710843,0
15,1447,0.0193089430894309,0.0386178861788618,0.00101626016260163,0.241869918699187,0.00101626016260163,0.21239837398374,0,0.068089430894309,0.0101626016260163,0.338414634146341,0,0.0101626016260163,0.048780487804878,0.0101626016260163,0,0
20,1627,0.0203208556149733,0.0513368983957219,0,0.335828877005348,0,0.112299465240642,0.0106951871657754,0.223529411764706,0.00106951871657754,0.182887700534759,0,0.0106951871657754,0.0406417112299465,0.0106951871657754,0,0
25,1808,0,0.0665901262916188,0,0.415614236509759,0,0.12284730195178,0.00918484500574053,0.104477611940299,0.00114810562571757,0.265212399540758,0,0.00114810562571757,0.0114810562571757,0.00114810562571757,0.00114810562571757,0
27.5,1898,0.0100558659217877,0.505027932960894,0,0.0301675977653631,0,0.100558659217877,0.0301675977653631,0.0804469273743017,0.0201117318435754,0.192178770949721,0,0.0201117318435754,0.0100558659217877,0.00111731843575419,0,0
30,1989,0.00109051254089422,0.414394765539804,0,0.102508178844057,0,0.0817884405670665,0.0719738276990185,0.0610687022900763,0.0207197382769902,0.214830970556161,0,0.00109051254089422,0.0207197382769902,0.00981461286804798,0,0
40,2714,0.0104031209362809,0.270481144343303,0.0104031209362809,0.0598179453836151,0,0.150845253576073,0.0195058517555267,0.150845253576073,0.0806241872561769,0.189856957087126,0,0.0299089726918075,0.0195058517555267,0.00780234070221066,0,0
45,3258,0.0100502512562814,0.281407035175879,0,0.0979899497487437,0,0.17713567839196,0.0201005025125628,0.118090452261307,0.0389447236180905,0.226130653266332,0.00125628140703518,0.0201005025125628,0.00125628140703518,0.00753768844221105,0,0
50,3803,0.0100334448160535,0.204013377926421,0,0.0780379041248606,0,0.195094760312152,0.0100334448160535,0.214046822742475,0.0490523968784838,0.204013377926421,0,0.0100334448160535,0.0144927536231884,0.0100334448160535,0.00111482720178372,0
55,4347,0.0144578313253012,0.072289156626506,0,0.272289156626506,0,0.291566265060241,0,0.0975903614457831,0.00963855421686747,0.213253012048193,0,0.0144578313253012,0,0.0144578313253012,0,0
58,4674,0.181111111111111,0.00777777777777778,0,0.163333333333333,0,0.258888888888889,0.00888888888888889,0.103333333333333,0.0177777777777778,0.25,0,0.00888888888888889,0,0,0,0
60,4892,0.018757327080891,0.0762016412661196,0.0140679953106682,0.104337631887456,0,0.294255568581477,0.00937866354044549,0.132473622508792,0.018757327080891,0.303634232121923,0.0140679953106682,0.0140679953106682,0,0,0,0
63,5219,0.0372040586245772,0.148816234498309,0,0.056369785794814,0.00112739571589628,0.214205186020293,0.0191657271702368,0.2423900789177,0.139797068771139,0.139797068771139,0.00112739571589628,0,0,0,0,0
65,5436,0.0102564102564103,0.165384615384615,0.0192307692307692,0.0487179487179487,0,0.233333333333333,0.0192307692307692,0.273076923076923,0.0487179487179487,0.175641025641026,0.00512820512820513,0,0,0,0.00128205128205128,0
70,5892,0.0104712041884817,0.201570680628272,0,0.0405759162303665,0,0.281413612565445,0.0104712041884817,0.270942408376963,0.0706806282722513,0.100785340314136,0.0104712041884817,0,0.00130890052356021,0,0.00130890052356021,0
75,5990,0.00925925925925926,0.180041152263374,0.00102880658436214,0.0390946502057613,0,0.272633744855967,0.0195473251028807,0.330246913580247,0.0288065843621399,0.0977366255144033,0.00102880658436214,0,0.00102880658436214,0,0.0195473251028807,0
80,6088,0.0221518987341772,0.253164556962025,0,0.0221518987341772,0,0.187763713080169,0.0221518987341772,0.341772151898734,0.0105485232067511,0.121308016877637,0.0168776371308017,0,0.00105485232067511,0,0.00105485232067511,0
85,6185,0.029263370332997,0.235116044399596,0,0.0191725529767911,0,0.249243188698285,0.00100908173562059,0.316851664984864,0.0141271442986882,0.115035317860747,0.0100908173562059,0,0,0,0.0100908173562059,0
90,6283,0.00100908173562059,0.159434914228052,0,0.0191725529767911,0,0.272452068617558,0.00908173562058527,0.441977800201816,0.0191725529767911,0.0756811301715439,0.00100908173562059,0,0,0,0.00100908173562059,0
95,6381,0.0185387131952017,0.190839694656489,0.00109051254089422,0.0501635768811341,0,0.242093784078517,0.00981461286804798,0.271537622682661,0.0305343511450382,0.181025081788441,0.00109051254089422,0.00109051254089422,0,0.00109051254089422,0.00109051254089422,0
