"sample.depths","sample.ages","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brassicaceae","Campanula.type","Caryophyllaceae","Castanea.dentata","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Koenigia.islandica","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Myrica.gale","Onagraceae","Oxyria.digyna.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polygonum.viviparum","Populus.tremuloides.type","Potamogetonaceae","Quercus","Ranunculaceae.undiff.","Rosaceae","Sagittaria","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Saxifragaceae.undiff.","Selaginella","Sphagnum","Thalictrum","Tsuga.canadensis","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Viburnum.edule"
0,0,0,0,2,32,0,0,0,3,2,1,20,0,1,4,0,239,0,0,6,2,0,0,2,0,0,0,0,1,3,0,0,0,0,1,9,12,11,8,0,6,29,0,2,0,0,0,3,3,0,0,23,1,1,1,0,0,0,6,0,0,0,1,2,3,1,0
5,513,0,0,3,32,2,3,0,6,0,0,72,0,0,6,0,239,0,0,10,1,0,0,1,0,0,0,0,1,8,0,0,0,0,1,2,21,9,6,0,0,71,0,0,0,1,0,2,0,0,0,20,6,0,0,0,0,0,9,0,0,0,0,5,1,4,0
12.5,1282,0,0,4,43,1,2,0,3,0,0,34,0,0,5,0,360,0,0,7,3,0,3,0,0,3,0,0,0,6,0,1,0,0,0,9,17,9,7,1,14,78,0,0,5,2,1,4,0,0,0,55,0,0,0,0,0,0,14,0,0,0,0,0,2,5,0
20,2051,0,0,3,60,1,1,0,4,2,0,93,0,0,3,0,178,0,0,6,2,0,0,0,0,1,0,0,0,1,0,2,1,0,0,4,34,4,7,0,1,54,0,1,0,0,0,4,1,0,0,24,4,0,0,0,0,0,5,0,0,0,0,2,0,6,0
27.5,2821,0,0,0,46,1,1,0,3,5,0,29,0,0,3,0,246,0,0,2,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,8,13,10,9,0,2,49,0,0,0,0,0,1,0,0,0,5,10,0,2,0,0,0,15,1,0,0,0,0,0,2,2
35,3590,0,0,2,74,2,2,0,7,0,0,81,0,0,0,0,162,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,71,8,2,0,0,28,0,1,0,1,0,4,0,0,1,21,5,0,2,0,0,0,5,0,0,2,0,0,0,2,0
42.5,4241,0,0,1,178,0,0,0,4,11,0,39,0,0,1,0,171,0,0,6,0,0,0,2,0,0,0,0,0,1,1,2,1,2,0,9,20,36,9,0,7,55,0,1,0,0,0,10,2,0,0,14,1,0,0,0,0,0,7,0,0,0,0,0,5,0,0
50,4657,0,0,0,99,0,1,0,8,0,0,76,0,1,1,0,108,0,0,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,18,2,0,2,0,20,0,0,0,0,0,3,0,0,0,12,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0
57.5,5073,0,0,1,116,1,2,0,4,3,0,67,0,0,0,0,106,0,0,3,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,5,16,9,8,0,1,24,0,1,0,1,0,5,1,0,0,4,7,0,0,0,0,0,14,0,0,0,0,0,0,2,0
65,5489,0,0,0,183,1,1,0,11,0,0,92,1,0,0,0,45,0,0,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,37,8,0,0,0,31,0,0,0,0,1,1,1,0,0,35,3,0,0,2,0,0,7,0,0,0,0,2,4,0,0
72.5,5905,0,0,4,170,2,2,0,9,8,0,68,0,0,0,0,166,0,0,5,0,0,0,1,1,0,0,0,0,4,0,3,0,0,0,11,12,7,17,0,3,25,0,0,0,0,0,2,1,0,2,17,10,1,0,0,0,0,15,1,0,0,0,1,1,3,1
80,6321,0,0,0,193,1,5,0,3,0,0,110,0,0,0,1,52,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,2,1,0,0,30,0,0,0,0,1,1,1,0,0,37,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
85,6598,0,0,1,145,0,1,0,7,2,0,95,0,0,1,0,127,0,0,1,3,0,0,0,0,3,0,0,1,3,0,1,0,1,0,7,4,6,2,1,5,26,0,0,0,0,0,0,7,0,2,20,1,0,1,0,0,0,2,0,0,0,0,1,3,1,0
90,6875,0,0,2,184,2,1,0,12,0,0,151,0,0,0,0,130,0,0,5,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,13,19,5,0,0,9,41,0,0,0,0,0,5,9,0,0,23,0,0,0,0,0,0,5,3,0,0,0,0,0,3,0
97.5,6998,0,0,2,133,0,0,0,6,7,0,73,0,0,1,0,133,0,1,1,1,0,0,0,0,1,0,0,1,2,1,2,0,3,0,12,16,6,17,0,7,33,0,0,1,0,0,4,3,0,1,27,0,0,1,0,0,1,9,0,0,1,0,3,1,2,0
105,7120,0,0,0,137,2,1,0,6,2,0,108,0,0,2,0,74,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,21,5,1,0,0,0,30,0,0,0,0,0,25,0,0,0,22,1,0,4,0,0,0,6,0,0,0,0,0,0,2,0
112.5,7243,0,0,0,78,2,3,2,12,5,0,59,0,0,3,0,102,0,0,4,0,0,0,0,0,1,1,0,0,6,0,1,1,1,0,24,10,5,13,0,3,53,0,0,0,2,1,29,6,0,0,16,2,0,3,0,1,0,22,0,0,0,0,3,1,7,1
120,7366,0,0,0,93,1,6,0,17,1,0,77,0,0,2,0,55,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,26,21,1,0,0,0,66,0,1,0,0,0,144,3,0,1,31,4,0,1,0,0,0,7,1,1,0,0,1,0,0,0
127.5,7488,0,0,0,64,5,1,3,10,4,0,18,0,0,2,0,83,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,45,0,0,37,9,5,3,0,1,96,0,0,0,0,0,25,3,0,1,17,2,0,2,0,0,0,15,0,0,0,0,2,0,1,0
135,7611,0,0,0,60,2,3,0,12,11,0,34,0,0,1,0,69,0,1,5,0,0,0,1,0,2,0,0,1,2,0,0,0,1,0,18,6,6,10,0,7,99,0,2,0,1,0,48,23,1,2,23,4,1,7,0,0,0,9,0,0,0,0,3,3,6,0
140,7692,1,1,0,20,0,3,0,12,11,0,14,0,0,6,0,66,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,19,2,7,4,2,3,107,2,0,0,0,0,60,13,0,0,15,1,0,1,0,0,0,2,0,0,0,0,2,5,1,0
145,NA,0,0,0,18,1,0,0,4,25,0,7,1,0,2,0,83,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,7,1,4,5,0,2,125,0,0,1,0,1,131,13,0,0,12,0,0,2,0,0,0,3,0,0,0,0,1,1,1,0
150,NA,0,0,0,5,1,44,0,8,2,0,0,0,0,3,0,80,1,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,16,1,2,1,0,0,108,0,0,0,1,0,108,11,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0
