"depth","best.age","min.age","max.age"
20,NA,NA,NA
30,NA,NA,NA
40,NA,NA,NA
50,NA,NA,NA
60,5868,5661,6046
70,6319,6142,6496
80,6770,6552,6986
90,7159,6912,7428
100,7359,7154,7571
105,7459,7270,7651
110,7559,7380,7741
120,7760,7587,7943
130,7960,7774,8174
140,8169,7952,8410
150,8405,8215,8617
160,8640,8455,8838
170,8876,8684,9071
180,9112,8910,9317
190,9347,9129,9573
200,9583,9336,9835
210,9818,9535,10104
215,NA,NA,NA
220,NA,NA,NA
230,NA,NA,NA
