"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Castanea.dentata","Cerealia","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Dryas","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Lycopodium.obscurum.type","Menyanthes.trifoliata","Myrica.gale","Myriophyllum","Nemopanthus.mucronatus","Nuphar","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae.undiff.","Polypodium.virginianum","Populus.balsamifera.type","Populus.deltoides.type","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Potentilla.palustris.type","Quercus","Rosaceae.undiff.","Rumex.type","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
10,219,2,0,0,3,1,3,1,2,12,0,1,39,0,0,3,1,0,0,0,0,0,3,2,0,0,0,3,0,0,0,2,0,1,19,0,0,0,0,0,0,0,0,0,9,1,0,1,0,5,1,6,0,0,0,0,0,0,4,1,1,2,0,0,0,0,55,0,0,0,0,0,1,0,0,1
30,656,7,0,0,0,0,7,2,0,3,0,0,50,0,0,0,4,0,0,0,0,0,4,3,0,1,0,3,0,0,0,0,1,0,28,0,2,0,0,0,0,0,3,5,36,7,0,2,0,9,1,6,0,0,0,0,0,0,8,0,3,0,0,0,0,0,42,0,0,12,0,0,1,1,1,4
50,1094,10,0,0,5,0,5,0,2,1,0,0,80,1,0,0,5,0,0,0,0,0,5,6,3,1,0,5,0,2,0,3,0,0,15,0,1,0,0,0,1,0,1,17,76,13,0,4,0,29,5,4,0,0,0,0,0,0,7,0,0,1,0,0,0,0,9,0,0,25,0,0,0,2,0,0
75,1505,16,0,0,16,0,8,1,0,2,0,0,229,2,0,0,15,0,0,0,0,0,7,21,7,0,2,3,0,1,1,6,0,0,2,0,0,0,0,0,1,0,0,12,54,14,0,6,0,64,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,1,85,0,0,9,3,0,1
100,1917,25,0,2,15,0,11,0,0,1,0,0,174,0,1,0,3,2,0,0,0,0,6,42,2,2,1,2,0,3,0,10,0,1,31,0,3,0,0,0,0,0,1,6,43,10,0,6,4,55,12,0,0,0,0,0,0,0,15,1,0,3,0,0,0,0,90,0,1,74,0,0,4,1,0,0
125,2329,11,1,0,6,0,4,0,0,0,0,0,124,0,0,0,5,0,0,0,0,0,1,10,1,0,0,8,0,0,0,3,0,0,8,0,1,0,0,0,1,0,2,9,21,7,0,4,4,45,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,249,0,1,85,0,0,5,2,0,0
150,2740,18,0,3,11,0,13,1,0,0,0,0,199,2,0,0,11,1,0,0,0,0,9,22,1,1,2,3,0,1,0,6,0,0,7,0,2,0,0,0,0,0,0,8,21,3,0,1,0,54,3,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,27,0,1,89,0,0,6,2,0,0
175,3152,18,0,1,12,0,10,0,0,0,1,2,341,0,0,0,3,3,0,0,0,0,3,33,15,1,1,2,0,0,0,9,0,0,6,0,0,0,0,0,0,0,4,1,32,1,0,3,5,92,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,19,0,3,74,0,0,7,0,0,0
200,3563,16,0,0,10,0,8,0,0,1,1,0,149,1,0,0,8,0,0,0,0,0,2,33,2,2,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,3,19,2,0,1,1,66,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,4,0,1,54,0,0,6,1,2,0
225,3975,3,0,4,4,0,7,0,0,0,0,0,145,0,0,0,4,2,0,0,0,0,5,21,5,0,0,5,0,0,0,3,0,0,15,0,0,0,0,0,0,0,1,2,9,1,0,2,1,57,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,1,32,0,0,5,0,0,0
250,4387,8,0,1,6,0,9,2,0,0,3,0,205,0,0,0,14,0,0,0,0,0,5,24,6,1,0,3,0,2,0,4,0,0,26,0,1,0,0,0,1,0,0,5,11,3,0,1,0,123,12,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,3,0,0,39,0,0,5,1,0,1
275,4798,9,0,1,9,0,7,2,0,0,0,1,192,0,0,0,5,0,0,0,0,0,1,6,2,0,1,3,0,1,0,3,0,2,17,0,3,0,0,0,0,0,2,1,9,2,0,1,4,100,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,18,1,0,7,0,0,2,2,1,0
285,4963,13,0,1,9,1,7,0,0,0,0,0,200,0,0,0,6,2,0,0,0,0,3,20,6,0,0,6,0,1,0,2,0,0,9,0,0,0,0,0,0,0,1,0,22,3,0,3,0,143,7,0,0,0,0,0,0,1,10,0,0,0,0,2,0,0,26,0,0,26,0,0,6,0,1,0
300,5210,10,0,1,11,0,9,2,0,2,0,0,310,0,1,0,14,7,0,0,0,0,5,15,15,2,0,5,0,4,0,7,0,0,5,0,4,0,1,0,0,1,1,3,15,4,0,10,14,143,15,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,20,0,3,130,0,0,13,0,2,0
325,5622,7,1,0,11,0,6,3,0,0,2,1,254,0,0,0,4,30,0,0,0,0,0,6,28,0,1,3,0,0,0,12,0,0,1,5,0,0,0,0,3,0,1,2,25,3,0,2,5,120,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,28,0,1,96,0,1,9,2,4,0
350,6033,7,0,2,5,1,6,2,0,1,1,1,187,0,0,0,17,2,0,1,0,0,4,9,5,0,1,5,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,2,4,2,0,0,0,139,32,0,0,0,0,0,0,0,18,4,0,0,0,1,0,0,12,0,0,45,0,0,7,3,0,1
375,6445,4,0,0,9,0,4,2,0,1,1,1,148,0,0,0,5,8,0,0,0,0,3,3,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,14,4,0,0,3,245,9,1,0,0,0,1,0,0,10,0,0,1,1,0,0,0,58,0,0,20,0,0,9,2,3,0
