"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Pinus","Populus","Poaceae","Iva.xanthifolia","Plantago","Acer.saccharum","Fraxinus.nigra","Acer.rubrum","Sarcobatus.vermiculatus","Carya","Caryophyllaceae","Thalictrum","Apiaceae","Xanthium","Brassicaceae","Rosaceae","Platanus","Fraxinus.americana.type","Amorpha","Humulus","Ranunculus.subg..Batrachium","Juglans.cinerea","Celtis","Vitis","Ephedra.torreyana.type","Iva.annua"
1,-15,4180,4,1,18,62,12,7,1,2,1,8,10,18,37,1,4,2,3,15,13,52,114,1,3782,1,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,7300,6,0,27,52,14,5,0,5,0,3,12,10,44,0,3,2,0,21,21,43,123,0,6900,0,1,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,32,10641,11,1,42,69,18,5,0,4,0,7,30,10,54,1,5,4,9,11,29,64,243,3,9999,1,1,4,7,0,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,57,9655,9,0,12,77,1,4,0,1,0,3,17,9,47,0,1,3,5,11,13,31,140,0,9261,0,0,3,3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
40,234,8832,8,1,14,49,2,2,0,4,0,8,8,17,0,0,0,5,4,18,10,9,159,2,8502,1,0,5,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,563,6447,11,0,18,49,5,9,1,1,0,11,17,17,37,0,2,5,4,17,12,12,124,0,6090,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
60,892,7652,7,1,9,67,2,1,0,0,0,8,14,11,37,0,0,4,4,17,5,18,129,4,7300,0,0,4,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,1221,8858,4,1,18,71,10,1,0,0,0,8,25,6,65,0,0,4,5,14,5,11,95,2,8500,0,0,1,2,0,2,1,0,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0
80,1550,1900,2,1,12,79,1,0,0,1,0,3,33,3,69,0,1,6,5,19,9,8,89,0,1548,1,0,1,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
90,1879,3766,1,0,16,75,7,2,0,4,0,2,25,0,85,0,0,2,7,19,13,5,64,2,3420,1,0,4,3,0,1,1,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0
100,3778,674,1,0,21,71,4,4,2,8,0,5,39,2,73,0,1,8,3,17,12,5,52,3,320,0,0,5,10,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0
110,5677,1350,1,0,31,112,3,6,2,16,0,5,43,3,121,0,3,10,8,39,22,18,89,3,787,0,0,2,16,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0
120,7575,775,0,1,21,76,3,4,2,10,0,5,47,0,92,1,3,5,7,40,17,6,62,5,350,0,0,2,10,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0
130,9474,860,2,1,13,95,4,1,3,8,0,4,45,0,84,0,5,18,10,28,17,14,50,4,433,0,0,1,11,0,1,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0
140,NA,653,0,1,36,120,3,4,1,11,0,1,56,0,76,0,6,2,6,41,13,16,43,1,191,2,0,3,10,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1
150,NA,548,0,0,24,84,6,2,1,10,0,5,54,0,104,0,1,7,4,34,15,16,31,1,131,0,0,3,8,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0
160,NA,490,0,0,23,92,4,2,1,6,0,2,47,0,69,0,4,9,8,29,4,11,37,1,122,2,0,6,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
