"sample.depths","sample.ages","Picea","Pinus","Abies","Tsuga","Larix","Betula","Populus","Quercus","Ulmus","Acer","Fraxinus","Ostrya.Carpinus","Juniperus","Alnus","Salix","Corylus","Myrica","Cornus","Ericaceae.undiff.","Poaceae","Asteraceae.undiff.","Artemisia","Aster","Solidago","Arctostaphylos","Chenopodiineae","Rosaceae.undiff.","Potentilla","Polygonaceae","Caryophyllaceae","Ranunculaceae","Brassicaceae","Plantago","Cyperaceae"
0,-34,0.361823361823362,0.102564102564103,0,0,0,0.0398860398860399,0,0,0,0,0,0,0.00854700854700855,0.0655270655270655,0.00854700854700855,0,0,0,0.333333333333333,0.0142450142450142,0.00854700854700855,0.00284900284900285,0,0,0,0.0056980056980057,0.0142450142450142,0,0,0.00854700854700855,0,0.00284900284900285,0,0.0227920227920228
5,109,0.272517321016166,0.235565819861432,0,0,0.0023094688221709,0.0531177829099307,0,0,0,0,0,0,0,0.0438799076212471,0.0115473441108545,0,0,0,0.33256351039261,0.0161662817551963,0.0046189376443418,0.0046189376443418,0,0,0,0,0,0,0.0023094688221709,0.0023094688221709,0,0,0,0.0184757505773672
10,253,0.285714285714286,0.0631229235880399,0,0,0,0.0830564784053156,0,0,0,0,0,0,0,0.0498338870431894,0.0199335548172757,0,0,0,0.0398671096345515,0.411960132890365,0,0,0,0,0,0,0,0.00332225913621262,0.00332225913621262,0,0,0,0,0.0398671096345515
15,396,0.328877005347594,0.144385026737968,0,0,0.00267379679144385,0.0401069518716578,0,0,0,0,0,0,0.0133689839572193,0.0320855614973262,0.018716577540107,0,0,0,0.088235294117647,0.25668449197861,0.00802139037433155,0.018716577540107,0,0,0,0,0.018716577540107,0,0,0,0,0,0,0.0294117647058824
20,540,0.355555555555556,0.185185185185185,0,0,0,0.0765432098765432,0,0,0,0,0,0,0.0271604938271605,0.0469135802469136,0.0222222222222222,0,0,0,0.120987654320988,0.0444444444444444,0.00740740740740741,0.0518518518518519,0,0,0,0,0.00740740740740741,0,0,0,0,0,0,0.054320987654321
25,683,0.626931567328918,0.097130242825607,0,0,0,0.121412803532009,0,0,0,0,0,0,0,0.0706401766004415,0.00883002207505519,0,0,0,0.0264900662251656,0.0198675496688742,0,0,0,0,0.011037527593819,0,0.0022075055187638,0,0,0,0,0,0,0.0154525386313466
30,826,0.473684210526316,0.157894736842105,0,0,0,0.128289473684211,0,0,0,0,0,0,0,0.0723684210526316,0.0164473684210526,0,0,0,0.0493421052631579,0.00986842105263158,0.00986842105263158,0.00328947368421053,0,0,0.0263157894736842,0,0.00328947368421053,0,0.0131578947368421,0,0,0,0,0.0361842105263158
33,912,0.64406779661017,0.129943502824859,0,0,0,0.11864406779661,0,0,0,0,0,0,0,0.0677966101694915,0,0,0,0,0,0.00847457627118644,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0.0254237288135593
38,1056,0.543057996485061,0.210896309314587,0,0,0,0.0738137082601054,0,0,0,0,0,0,0,0.0456942003514939,0.0140597539543058,0,0,0,0.0474516695957821,0.00351493848857645,0.00175746924428822,0.00527240773286467,0,0,0.0175746924428823,0.00175746924428822,0.00527240773286467,0,0.00527240773286467,0,0,0,0,0.0246045694200351
43,1775,0.52972972972973,0.132432432432432,0,0,0,0.113513513513514,0,0,0,0,0,0,0.0108108108108108,0.072972972972973,0.0027027027027027,0,0,0,0.0135135135135135,0.00540540540540541,0.0135135135135135,0.0108108108108108,0.0027027027027027,0.0027027027027027,0.00810810810810811,0.0027027027027027,0.0027027027027027,0,0.0027027027027027,0,0.0027027027027027,0,0,0.0702702702702703
