"sample.depths","sample.ages","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea","Botrychium","Dennstaedtia","Huperzia.lucidula","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.undiff.","Osmunda","Pteridium","Pteridophyta.undiff.","Woodsia","Sphagnum","Aquatics.undiff.","Brasenia.schreberi","Isoëtes","Myriophyllum","Nuphar","Nymphaea","Potamogeton","Typha","Spore..monolete.","Spore..trilete.","Indeterminable..broken.","Indeterminable..corroded.","Indeterminable..crumpled.","Indeterminable..hidden.","Unknown"
40,77,0,0,8,8,5,1,38,0,5,9,5,0,21,14,0,1,9,28,15,2,1,3,0,2,2,0,0,0,36,6,2,0,0,4,13,7,64,0,0,220,7,0,0,0,0,6,0,0,28,0,1,3,1,0,0,4,0,0,0,0,0,3,44,0,0,0,2,18,0,0,0,0,0,0,1,0,0,1,2,11,0,0,5,0,0,0,1,0,2,0,1,71,6,9,20,23,38,12
44,90,1,0,9,3,4,0,41,0,3,4,1,0,14,17,0,1,10,24,11,0,6,1,3,1,0,0,0,0,24,9,0,0,0,4,10,6,46,1,0,262,1,1,0,0,0,10,3,0,16,0,0,6,0,0,1,1,0,0,0,0,0,8,45,2,0,0,0,48,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,2,2,1,2,96,3,2,10,13,12,6
48,106,1,0,2,6,1,0,36,0,2,13,6,0,21,18,0,0,4,24,9,4,1,2,4,0,1,0,0,0,23,10,9,0,0,8,11,4,46,1,0,259,1,0,0,0,0,12,0,0,20,0,1,4,1,1,1,3,1,0,0,0,0,1,30,0,0,0,0,37,1,0,0,1,0,0,0,0,0,0,0,19,1,0,7,0,0,0,0,3,6,0,0,72,3,11,26,20,29,15
52,129,0,0,12,2,6,0,28,0,2,3,2,0,5,9,0,1,6,31,19,2,1,2,2,0,0,0,0,0,28,7,4,0,0,1,15,2,44,5,0,260,0,0,0,0,0,15,5,0,19,0,0,1,1,0,0,0,2,0,0,0,0,1,26,0,0,0,0,52,3,0,0,0,1,0,0,0,0,0,1,12,1,0,4,1,0,0,0,1,2,1,1,84,2,2,4,8,5,6
56,152,0,0,6,5,3,0,38,0,0,15,3,0,11,20,0,0,4,29,12,2,3,1,3,1,1,0,0,0,23,6,1,0,0,4,24,3,38,5,0,249,2,1,0,0,1,12,5,0,15,4,0,3,0,0,0,1,0,0,0,1,0,4,33,0,0,0,2,49,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,2,5,0,0,83,4,12,23,8,39,7
60,175,0,1,1,5,6,0,31,0,3,14,1,0,10,15,0,4,10,38,8,2,1,0,2,0,1,0,0,0,24,10,2,0,0,0,13,10,45,0,1,240,0,0,0,0,0,12,1,0,10,0,0,4,0,0,0,6,1,0,0,0,1,0,20,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,2,12,0,0,8,0,0,0,0,1,4,1,0,86,3,8,15,14,20,11
64,198,0,0,10,12,5,0,38,0,2,13,2,0,8,12,0,1,8,33,16,0,2,2,2,0,0,0,0,0,21,2,2,0,0,6,12,5,56,0,0,253,0,0,0,0,0,13,4,0,21,0,0,3,0,1,0,2,1,0,0,0,0,0,24,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,0,0,0,2,1,0,77,0,8,16,18,26,14
68,220,0,0,8,3,3,0,67,0,2,5,5,0,4,16,0,2,6,28,20,1,2,2,2,0,0,0,1,0,15,6,2,0,0,3,11,6,54,2,0,250,0,1,0,0,0,20,3,0,9,0,1,1,1,0,0,1,0,0,0,0,0,0,8,0,0,0,2,47,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,5,0,0,36,1,3,13,15,18,8
72,243,0,0,7,8,2,0,50,0,2,8,3,0,5,17,0,0,5,22,12,0,3,1,0,0,0,0,0,0,33,8,2,0,0,6,13,7,44,0,1,267,0,0,0,0,0,16,6,0,9,0,1,5,0,0,5,2,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,1,10,1,0,33,1,5,10,7,18,4
76,266,0,0,13,9,4,0,47,0,2,16,1,0,7,15,0,4,7,25,8,3,1,2,0,0,0,0,1,0,30,5,7,0,0,3,10,7,53,3,0,224,0,0,0,0,0,18,5,0,10,0,0,3,0,0,0,0,1,0,0,0,1,0,15,1,0,0,0,24,0,0,0,0,0,0,0,0,0,1,3,14,0,0,2,0,0,0,0,1,7,0,0,63,0,10,14,16,25,11
80,289,0,0,14,8,4,0,43,0,3,15,1,0,8,11,0,0,3,17,10,2,7,2,0,1,0,0,0,0,21,3,2,0,0,7,21,7,48,0,0,251,1,0,0,0,0,7,4,0,5,0,2,2,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,13,0,0,2,0,0,0,0,3,6,0,0,28,1,7,8,6,15,5
84,325,0,0,6,3,5,0,37,0,6,17,5,0,4,5,0,2,2,16,19,2,3,1,0,1,0,0,1,0,20,6,4,0,0,2,4,6,47,2,0,280,1,0,0,0,1,11,3,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,2,5,0,0,23,2,7,10,7,16,1
88,375,2,0,5,8,6,0,33,0,0,18,4,0,5,4,0,2,6,9,13,0,3,0,1,0,0,0,0,0,16,5,5,0,0,2,9,3,38,1,0,298,0,0,0,0,0,10,5,0,3,0,1,1,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,3,0,0,0,0,0,0,2,6,0,0,18,0,8,6,9,19,6
92,424,1,0,3,3,3,0,46,0,5,13,1,0,6,1,0,0,4,12,22,0,2,1,1,0,0,0,0,0,15,5,4,0,0,1,12,3,50,1,0,266,0,1,0,0,1,27,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,11,0,1,18,0,3,8,7,19,1
96,474,0,0,7,9,2,1,47,0,3,20,3,0,4,6,0,0,7,14,23,2,5,0,0,3,0,0,0,0,15,5,2,0,0,1,12,2,52,1,0,283,0,0,0,0,0,24,3,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,1,0,3,0,0,0,0,2,3,0,0,21,3,6,6,2,26,5
100,524,0,0,5,7,4,0,43,0,9,18,6,0,10,5,0,0,6,8,20,3,3,4,0,0,1,0,1,0,17,2,5,0,0,2,8,3,37,0,0,279,0,0,0,0,0,10,2,0,2,0,1,3,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,1,0,0,0,0,1,12,0,1,19,0,9,8,10,22,5
104,574,4,0,10,14,5,0,40,0,2,17,1,0,6,8,0,0,4,17,21,3,3,0,1,1,0,0,0,0,11,4,5,0,1,7,15,6,36,1,1,278,0,0,0,0,0,16,8,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,6,0,0,24,1,6,9,7,15,3
108,624,0,1,12,7,8,0,50,0,0,12,2,0,6,1,0,0,3,13,26,1,2,0,0,0,0,0,0,0,20,1,2,0,0,4,7,1,30,1,0,290,0,0,0,0,0,15,4,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,8,2,0,27,1,1,2,4,4,0
112,684,0,0,9,8,6,0,35,0,3,17,1,0,4,2,0,0,3,14,18,2,2,0,0,0,0,0,0,0,14,2,4,0,0,3,7,4,46,4,0,293,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,1,3,10,2,0,19,0,5,7,7,26,5
116,755,0,0,6,3,6,0,42,0,0,14,0,0,3,1,0,0,6,11,32,2,1,3,1,2,0,0,0,0,28,2,2,0,0,6,13,2,25,2,0,280,1,0,0,0,1,11,3,0,1,0,2,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,2,1,1,24,1,3,3,3,12,2
120,826,0,0,6,6,2,0,50,0,0,24,1,0,5,3,0,3,6,8,17,2,2,1,1,0,1,0,1,0,25,4,7,0,0,1,15,5,31,1,0,277,0,0,0,0,0,16,5,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,9,2,0,1,0,0,0,0,2,6,0,0,32,1,6,10,15,18,5
124,897,0,0,9,6,2,0,50,0,6,21,3,0,6,6,0,0,1,8,12,4,4,0,0,0,0,0,2,0,19,6,1,0,0,0,5,1,36,1,0,286,1,0,0,0,0,14,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,8,1,0,19,1,3,10,8,29,2
128,968,0,0,4,8,4,0,54,0,2,14,2,0,4,5,0,3,3,11,18,4,6,0,0,2,0,0,0,0,32,5,5,0,0,5,7,4,47,0,0,339,1,0,0,0,0,21,6,0,1,0,1,1,1,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,2,0,0,0,1,8,0,1,24,2,7,4,3,21,7
132,1039,0,0,2,2,5,0,51,0,3,22,1,0,4,3,0,0,0,13,22,1,1,2,0,1,0,0,0,0,21,0,2,0,0,2,1,3,54,1,0,279,0,0,0,0,0,10,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,3,0,0,16,0,8,3,7,14,3
136,1111,0,1,6,12,2,0,40,0,1,24,3,0,6,7,0,0,3,9,12,4,0,1,0,0,0,0,1,0,19,4,2,0,0,5,9,8,44,0,1,292,0,1,0,0,0,14,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,2,7,1,0,17,0,5,8,6,8,6
140,1183,0,0,5,4,2,0,44,0,5,18,3,0,5,6,0,0,5,8,22,0,3,3,1,0,0,0,0,0,13,0,3,0,0,2,11,7,44,0,0,290,0,0,0,0,0,9,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,2,6,1,0,12,0,1,3,2,21,4
144,1255,0,0,11,11,8,0,39,0,2,14,2,0,5,6,0,1,0,6,22,1,2,0,0,0,0,0,0,0,34,5,1,0,0,2,8,4,58,0,0,331,1,0,0,0,0,22,3,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,0,0,0,1,0,2,7,0,0,20,1,2,4,4,9,3
152,1399,0,0,3,9,3,0,39,0,4,25,0,0,7,10,0,0,0,2,25,0,1,1,0,0,1,0,0,0,36,2,4,0,0,0,3,3,42,0,0,278,1,0,0,0,0,15,5,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,12,0,0,0,0,0,0,0,3,4,0,0,8,0,7,10,11,20,2
156,1472,0,0,3,4,4,0,47,0,4,20,3,0,8,15,0,0,0,3,19,2,3,1,0,0,0,0,0,0,23,3,4,0,0,1,5,7,34,3,0,303,0,0,0,0,0,13,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,11,0,0,13,2,4,9,7,18,5
160,1544,0,0,0,4,1,0,50,0,8,14,0,0,9,11,0,0,0,10,15,3,0,2,0,0,1,0,0,0,28,4,2,0,0,2,9,6,30,2,0,284,0,0,0,0,1,18,4,0,1,0,0,1,0,0,0,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,1,0,0,0,0,0,5,0,0,11,1,6,5,5,33,9
164,1616,0,0,0,6,6,0,55,0,5,16,1,0,15,13,0,1,0,7,32,3,2,0,0,0,0,0,0,0,30,1,2,0,0,0,6,2,40,1,0,300,0,0,0,0,0,9,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,7,0,0,10,0,2,8,8,30,2
168,1688,0,0,1,3,8,0,50,0,6,11,3,0,7,11,0,0,1,7,22,2,1,0,3,1,0,0,0,0,30,6,1,0,0,1,6,1,48,3,0,266,0,0,0,0,1,18,5,0,1,0,2,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,5,1,0,9,0,4,8,11,20,4
172,1733,0,0,0,4,4,0,29,0,0,22,1,0,10,17,0,0,0,5,22,0,2,0,1,0,1,0,1,0,40,6,3,0,0,1,17,1,32,1,0,303,0,0,0,0,0,10,2,0,1,0,1,4,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,1,0,0,2,3,0,0,8,1,6,10,4,9,7
176,1768,0,0,1,7,6,0,41,0,1,19,0,0,16,18,0,1,0,4,30,1,5,0,0,1,0,0,0,0,40,11,3,0,0,0,15,3,38,3,0,253,1,0,0,0,0,15,2,0,0,0,1,4,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,2,0,0,16,0,1,9,4,12,8
184,1840,0,0,1,7,5,0,42,0,6,17,1,0,18,13,0,0,0,6,29,2,1,0,3,0,0,0,0,0,34,5,4,0,0,2,3,3,38,1,0,280,0,0,0,0,0,10,4,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,7,12,8,31,8
188,1876,0,0,2,8,4,0,36,0,0,17,2,0,7,13,0,0,0,3,32,2,3,1,2,1,0,0,0,0,23,9,4,0,0,0,8,2,26,3,1,292,0,0,0,0,1,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,0,0,13,1,3,9,1,14,8
192,1912,0,0,2,5,5,0,37,0,0,22,2,0,12,10,0,0,0,2,32,0,4,2,3,2,0,0,0,0,49,6,1,0,0,0,9,1,38,0,0,262,0,0,0,0,0,15,4,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,2,4,0,0,11,0,3,5,7,14,8
196,1948,0,0,2,5,7,0,38,0,1,19,1,0,18,22,0,0,0,6,29,2,2,0,2,0,0,0,2,0,32,8,3,0,0,1,5,4,35,0,0,271,1,2,0,0,0,19,3,0,1,0,3,3,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,18,0,0,0,0,0,0,0,4,6,0,0,17,0,3,14,6,26,14
200,1984,0,0,2,6,2,0,43,0,4,20,0,0,13,12,0,0,0,3,28,0,1,1,1,0,0,0,0,0,18,12,5,0,0,1,7,2,32,1,0,296,0,0,0,0,1,15,3,0,1,0,2,6,0,0,2,5,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,6,0,0,4,0,1,11,8,27,12
216,2127,0,0,3,7,2,0,61,0,10,16,1,0,14,8,0,0,0,0,21,2,5,2,2,0,0,0,0,0,26,7,5,0,0,1,7,6,38,0,1,267,1,0,0,0,0,12,6,0,1,0,1,3,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,11,0,0,10,0,3,6,5,26,5
232,2270,0,0,0,3,3,0,53,0,2,13,0,0,12,6,0,0,0,2,37,4,5,1,5,1,0,0,1,0,37,5,4,0,0,1,1,2,18,1,0,299,1,0,0,0,0,7,5,0,3,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,0,0,1,0,1,7,7,28,4
264,NA,0,0,0,0,1,0,44,0,6,16,0,0,17,5,0,0,0,3,45,0,1,0,2,0,0,0,2,0,40,1,5,0,0,0,3,2,25,3,0,291,0,0,0,0,1,9,2,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,6,7,1,0,2,0,0,6,4,20,8
280,NA,0,0,1,6,3,0,37,0,1,15,1,0,15,4,0,1,0,2,45,0,2,2,1,2,0,0,0,0,41,1,4,0,0,0,2,3,24,2,0,298,0,0,0,0,0,7,5,0,3,1,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,6,0,1,1,0,3,8,8,12,4
296,NA,0,0,1,5,2,0,45,0,0,15,1,0,10,3,0,0,1,2,53,2,4,1,0,0,0,0,1,0,37,1,3,0,0,0,0,2,23,3,0,283,0,0,0,0,0,16,6,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,2,1,2,1,8,42,3
312,NA,0,0,3,7,7,0,51,0,5,9,2,0,15,3,0,0,0,3,87,2,0,0,1,1,1,0,0,0,24,0,6,0,0,0,2,2,20,4,0,252,0,0,0,0,0,8,5,0,1,0,2,3,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,1,0,7,5,6,22,3
328,NA,0,0,4,5,9,0,49,0,4,4,3,0,6,6,0,0,0,8,80,0,1,1,0,0,0,0,1,0,33,2,4,0,0,0,0,0,23,2,0,253,0,1,0,0,0,8,7,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,3,0,1,1,0,3,7,5,31,4
344,NA,0,0,1,5,7,0,45,0,2,4,3,0,18,7,0,0,0,5,126,1,4,0,0,0,0,0,1,0,27,2,6,0,0,0,2,0,25,5,1,219,0,0,0,0,0,8,3,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,5,0,1,1,0,5,6,6,28,7
360,NA,0,0,0,5,5,0,46,0,1,5,0,0,20,17,0,1,0,4,139,3,2,3,1,0,0,0,1,0,31,1,6,0,0,0,1,9,26,4,0,202,0,0,0,0,0,3,5,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,2,0,7,10,7,21,4
376,NA,0,0,2,7,5,0,34,0,0,12,2,0,6,8,0,0,2,5,156,3,5,0,6,0,0,0,0,0,13,2,8,0,0,1,2,3,20,2,0,202,0,0,0,0,0,4,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,7,9,3,21,4
392,NA,0,0,1,8,4,0,44,0,0,7,2,0,6,2,0,0,2,2,113,2,5,1,0,1,1,0,0,0,28,3,12,0,0,0,2,6,18,3,0,224,0,0,0,0,0,4,7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,1,0,3,4,6,15,3
816,NA,0,0,0,0,1,35,16,1,2,0,0,0,0,0,0,2,0,3,4,5,0,0,1,0,1,0,0,0,2,0,9,0,0,42,42,3,110,1,3,26,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3,5,0,0,1,0,0,6,0,0,0,0,0,6,0,0,3,8,6,1
