"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Poaceae","Abies.balsamea","Acer.saccharum","Castanea.dentata","Myrica.gale","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Rumex.acetosa.type","Tsuga.canadensis","Picea.undiff.","Acer.spicatum","Fraxinus.pennsylvanica.type","Carya.ovata","Saxifraga.oppositifolia.type","Juniperus.communis.Thuja.occidentalis.type","Artemisia","Taxus","Corylus.cornuta","Salix","Ilex.Nemopanthus","Rumex.type.undiff.","Acer.pensylvanicum","Juglans.cinerea","Amaranthaceae","Brassicaceae","Caryophyllaceae","Potentilla.palustris.type","Morus.rubra.type","Thalictrum","Liliaceae","Tilia","Viburnum.nudum","Prunus.undiff.","Viburnum.lentago","Galium","Populus.balsamifera.type","Fabaceae","Rhamnus.cathartica","Viburnum.alnifolium","Saxifragaceae.undiff.","Shepherdia.canadensis","Lonicera.involucrata","Plantaginaceae.undiff.","Prunus.virginiana","Platanus.occidentalis","Viburnum.edule"
50,881,0.00173310225303293,0.00519930675909879,0.00519930675909879,0.00519930675909879,0.344887348353553,0.00693240901213172,0.00519930675909879,0.0363951473136915,0.00866551126516464,0.0155979202772964,0.00519930675909879,0.00346620450606586,0.116117850953206,0.0797227036395147,0.00346620450606586,0.0207972270363951,0.00173310225303293,0.00346620450606586,0.00173310225303293,0.00173310225303293,0.00173310225303293,0.0259965337954939,0.00519930675909879,0.00173310225303293,0.00346620450606586,0.0121317157712305,0.00173310225303293,0.218370883882149,0.00173310225303293,0.0207972270363951,0.0346620450606586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1321,0.00490998363338789,0.0245499181669394,0,0.0016366612111293,0.335515548281506,0.00981996726677578,0.00490998363338789,0.0343698854337152,0.0016366612111293,0.0114566284779051,0,0.00654664484451719,0.155482815057283,0.0376432078559738,0,0.0245499181669394,0.0016366612111293,0.00981996726677578,0,0,0,0.0212765957446809,0.00654664484451719,0,0.0016366612111293,0.00981996726677578,0,0.216039279869067,0,0.0490998363338789,0.0180032733224223,0.0016366612111293,0.0016366612111293,0.0016366612111293,0.0016366612111293,0.00654664484451719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1761,0,0.0200308166409861,0.00462249614791988,0,0.402157164869029,0.0154083204930663,0.00308166409861325,0.0138674884437596,0.0107858243451464,0.0169491525423729,0.00308166409861325,0,0.0878274268104777,0.0323574730354391,0.00154083204930663,0.00924499229583975,0,0.0061633281972265,0,0.00154083204930663,0,0.0431432973805855,0.012326656394453,0,0,0.00462249614791988,0,0.268104776579353,0,0.0277349768875193,0.00770416024653313,0.00154083204930663,0.00308166409861325,0,0,0,0.00308166409861325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2201,0.00282485875706215,0.019774011299435,0.00282485875706215,0,0.322033898305085,0.0282485875706215,0.00282485875706215,0.0480225988700565,0.00564971751412429,0.0112994350282486,0.00564971751412429,0.00282485875706215,0.0677966101694915,0.0593220338983051,0,0.0338983050847458,0,0.00564971751412429,0,0,0,0.019774011299435,0.0169491525423729,0,0,0.00564971751412429,0,0.293785310734463,0,0.0282485875706215,0.00564971751412429,0,0.00282485875706215,0.00282485875706215,0,0,0,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2642,0.00602409638554217,0.0180722891566265,0,0.00401606425702811,0.441767068273092,0.0220883534136546,0.00401606425702811,0.0421686746987952,0.0180722891566265,0.00803212851405622,0.00401606425702811,0.00200803212851406,0.0502008032128514,0.0381526104417671,0.00200803212851406,0.0220883534136546,0,0,0,0.00200803212851406,0,0.0180722891566265,0.00602409638554217,0,0,0.0120481927710843,0.00602409638554217,0.242971887550201,0,0.0160642570281124,0.00401606425702811,0,0.00602409638554217,0,0,0,0,0,0,0.00200803212851406,0.00200803212851406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3082,0.00122100122100122,0.0158730158730159,0.00244200244200244,0,0.372405372405372,0.0525030525030525,0.00976800976800977,0.0415140415140415,0.00732600732600733,0.00122100122100122,0,0,0.0293040293040293,0.0891330891330891,0,0.0158730158730159,0,0.0122100122100122,0,0.00122100122100122,0.00122100122100122,0.010989010989011,0.0061050061050061,0,0,0.0061050061050061,0,0.274725274725275,0,0.0317460317460317,0.00732600732600733,0,0,0.00122100122100122,0.00122100122100122,0,0.00244200244200244,0,0.00366300366300366,0,0,0.00122100122100122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,3258,0.00386847195357834,0.00967117988394584,0.00193423597678917,0,0.381044487427466,0.0212765957446809,0.00386847195357834,0.0502901353965184,0.0135396518375242,0.00580270793036751,0.00967117988394584,0,0.0502901353965184,0.0425531914893617,0,0.0309477756286267,0,0.00773694390715667,0,0,0,0.00773694390715667,0.0193423597678917,0,0.00193423597678917,0,0,0.297872340425532,0,0.02321083172147,0.00386847195357834,0,0,0,0,0,0.00193423597678917,0.00193423597678917,0.00386847195357834,0.00193423597678917,0,0,0.00193423597678917,0.00193423597678917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3522,0,0.0199556541019956,0,0.00443458980044346,0.374722838137472,0.0155210643015521,0.00665188470066519,0.0376940133037694,0.00665188470066519,0.00443458980044346,0.00443458980044346,0.00665188470066519,0.0399113082039911,0.0399113082039911,0,0.0110864745011086,0,0.00443458980044346,0,0,0.00443458980044346,0.024390243902439,0.00886917960088692,0.00221729490022173,0,0,0.00665188470066519,0.323725055432373,0,0.0288248337028825,0.00665188470066519,0.00221729490022173,0.00221729490022173,0.00443458980044346,0,0,0,0.00443458980044346,0,0.00221729490022173,0,0,0,0,0.00221729490022173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3962,0,0.00888888888888889,0,0.00222222222222222,0.311111111111111,0.0155555555555556,0,0.0155555555555556,0.00222222222222222,0,0.00222222222222222,0,0.0133333333333333,0.0244444444444444,0,0.0155555555555556,0,0.00444444444444444,0,0.00222222222222222,0,0.00666666666666667,0.00444444444444444,0,0,0.02,0.00444444444444444,0.52,0,0.0111111111111111,0.00444444444444444,0.00222222222222222,0.00222222222222222,0,0,0.00222222222222222,0,0,0,0,0,0,0,0.00222222222222222,0,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,4403,0.00705467372134039,0.0211640211640212,0.0017636684303351,0,0.373897707231041,0,0,0.0405643738977072,0.00705467372134039,0.00352733686067019,0.00529100529100529,0,0.0123456790123457,0.0211640211640212,0,0.0246913580246914,0,0.00705467372134039,0,0.0017636684303351,0,0.0105820105820106,0.0158730158730159,0.0017636684303351,0,0.00705467372134039,0.00352733686067019,0.396825396825397,0,0.0194003527336861,0.00352733686067019,0.0017636684303351,0,0,0,0,0,0,0,0.0017636684303351,0.00705467372134039,0,0,0,0,0.00352733686067019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
