"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.viridis","Amelanchier.type","Betula","Carya","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae","Ephedra.trifurca.type","Ephedra.viridis.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Larix","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera","Populus.tremuloides.type","Populus.undiff.","Quercus","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Tilia","Ulmus","Vitis","Allium.type","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae.Amaranthaceae.undiff.","Dalea.candida","Dalea.purpurea.type","Dalea.undiff.","Euphorbia","Galium","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Myrica","Phlox","Plantago","Poaceae.undiff.","Polygonum.amphibium","Polygonum.lapathifolium.type","Ranunculaceae..tricolpate.","Ranunculaceae.undiff.","Rosaceae.undiff.","Rumex","Sanguisorba.canadensis","Thalictrum","Urtica","Xanthium","Cyperaceae","Zea.mays"
15,26,0,0,0,0,0,0.0119047619047619,0.00238095238095238,0,0.080952380952381,0,0,0,0.00238095238095238,0.0119047619047619,0,0,0,0.00238095238095238,0.00714285714285714,0,0,0,0,0,0,0.069047619047619,0.00714285714285714,0,0.0595238095238095,0.0333333333333333,0.00238095238095238,0,0,0.00476190476190476,0.235714285714286,0.0142857142857143,0,0,0.00714285714285714,0.0214285714285714,0,0,0.142857142857143,0.00476190476190476,0,0.0476190476190476,0.0166666666666667,0.00238095238095238,0,0.0380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135714285714286,0,0,0,0,0,0,0,0.00238095238095238,0,0,0.0357142857142857,0
45,183,0,0,0,0,0,0.0099255583126551,0,0,0.0818858560794045,0,0,0,0.00248138957816377,0.0198511166253102,0,0,0,0,0.00744416873449132,0.00248138957816377,0,0,0,0,0,0.0595533498759305,0.0124069478908189,0,0.0719602977667494,0.0397022332506203,0,0,0,0.00744416873449132,0.253101736972705,0.0099255583126551,0.0099255583126551,0,0.0173697270471464,0.032258064516129,0,0,0.116625310173697,0,0,0.032258064516129,0.00248138957816377,0,0,0.0496277915632754,0,0,0,0,0,0.00248138957816377,0,0,0,0,0,0,0,0.116625310173697,0,0,0.00248138957816377,0,0,0,0,0,0,0,0.0372208436724566,0.00248138957816377
75,341,0,0,0,0,0,0.00546448087431694,0,0,0.0765027322404372,0,0,0,0,0.0136612021857923,0,0,0,0,0.00273224043715847,0,0,0,0,0,0,0.0191256830601093,0.0136612021857923,0,0.0846994535519126,0.0109289617486339,0.00273224043715847,0,0,0.00546448087431694,0.153005464480874,0.00273224043715847,0.00273224043715847,0,0.0109289617486339,0.0437158469945355,0,0,0.14207650273224,0.00273224043715847,0,0.169398907103825,0.0109289617486339,0,0,0.0136612021857923,0,0,0,0,0,0,0.00273224043715847,0,0,0,0,0,0,0.139344262295082,0,0,0,0,0,0,0,0,0,0.00273224043715847,0.0683060109289618,0
120,578,0,0,0,0,0,0.00557103064066852,0,0,0.181058495821727,0,0.00278551532033426,0,0,0.011142061281337,0,0,0,0,0.00835654596100279,0,0,0,0,0,0,0.0696378830083565,0.00835654596100279,0.00278551532033426,0.0417827298050139,0.0278551532033426,0,0,0,0.0445682451253482,0.175487465181058,0.00835654596100279,0,0,0.0194986072423398,0.0389972144846797,0,0,0.0919220055710306,0.00278551532033426,0,0.052924791086351,0.00835654596100279,0,0,0.011142061281337,0,0,0,0,0,0,0.00278551532033426,0,0,0,0,0,0,0.11142061281337,0,0,0.00278551532033426,0,0,0,0,0,0,0.00278551532033426,0.0668523676880223,0
165,817,0,0,0,0,0,0.0131578947368421,0.00526315789473684,0,0.0578947368421053,0,0.00263157894736842,0,0,0.0394736842105263,0,0,0,0.00263157894736842,0,0.00526315789473684,0,0,0,0,0,0.168421052631579,0.00789473684210526,0,0.0947368421052632,0.0657894736842105,0,0,0,0.0157894736842105,0.205263157894737,0.00526315789473684,0.00263157894736842,0,0.0263157894736842,0.0210526315789474,0,0,0.0526315789473684,0.00263157894736842,0,0.0289473684210526,0.0105263157894737,0,0,0.0105263157894737,0,0,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0.0842105263157895,0,0,0.00789473684210526,0,0,0,0,0.00263157894736842,0,0,0.0578947368421053,0
210,1058,0,0,0,0,0,0.0146198830409357,0.00584795321637427,0,0.0730994152046784,0.00292397660818713,0,0,0,0.0087719298245614,0,0,0,0,0,0,0,0,0,0,0,0.087719298245614,0.0263157894736842,0.00292397660818713,0.0614035087719298,0.0964912280701754,0,0,0,0,0.204678362573099,0.0233918128654971,0,0,0.0116959064327485,0.0292397660818713,0,0,0.0701754385964912,0,0,0.0701754385964912,0.00292397660818713,0,0,0.00584795321637427,0,0,0,0,0,0,0.00292397660818713,0,0,0,0,0,0,0.154970760233918,0,0,0.00292397660818713,0,0,0,0,0.00292397660818713,0,0,0.0380116959064327,0
270,1385,0,0,0,0,0,0.002710027100271,0,0,0.097560975609756,0,0,0,0,0.00542005420054201,0,0,0,0,0.002710027100271,0.002710027100271,0,0,0,0,0,0.097560975609756,0.010840108401084,0,0.048780487804878,0.132791327913279,0,0,0,0,0.224932249322493,0.013550135501355,0.002710027100271,0,0.008130081300813,0.018970189701897,0,0,0.018970189701897,0.00542005420054201,0,0.062330623306233,0.002710027100271,0,0,0.016260162601626,0,0,0,0,0,0.002710027100271,0,0,0,0,0,0,0,0.168021680216802,0,0,0.002710027100271,0,0,0,0,0,0,0,0.051490514905149,0
330,1706,0,0,0,0,0,0.00234192037470726,0.00702576112412178,0,0.135831381733021,0,0,0,0,0.0234192037470726,0,0,0,0.00234192037470726,0.00234192037470726,0.00234192037470726,0,0,0,0,0,0.100702576112412,0.00468384074941452,0,0.00702576112412178,0.0819672131147541,0,0,0,0,0.236533957845433,0.00702576112412178,0.00468384074941452,0,0.00234192037470726,0.0210772833723653,0,0,0.0936768149882904,0.0163934426229508,0,0.0562060889929742,0,0,0,0.0210772833723653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114754098360656,0,0,0,0,0,0,0,0,0,0,0.0562060889929742,0
405,2039,0,0,0,0,0,0.00549450549450549,0,0,0.153846153846154,0.00274725274725275,0,0,0,0.0164835164835165,0,0,0,0.00274725274725275,0.010989010989011,0,0,0,0,0,0,0.043956043956044,0.00549450549450549,0,0.00274725274725275,0.0494505494505494,0,0,0,0.010989010989011,0.379120879120879,0.00824175824175824,0,0,0.00824175824175824,0.0247252747252747,0.00549450549450549,0,0.0192307692307692,0.00274725274725275,0,0.0357142857142857,0.00274725274725275,0,0,0.010989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129120879120879,0,0,0,0,0,0,0,0,0,0,0.0686813186813187,0
465,2202,0,0,0,0,0,0.00783289817232376,0.0130548302872063,0,0.0966057441253264,0.00261096605744125,0,0,0,0.0182767624020888,0,0,0,0.00522193211488251,0.0130548302872063,0.00261096605744125,0,0,0,0,0,0.031331592689295,0.00783289817232376,0.00522193211488251,0.0600522193211488,0.0443864229765013,0,0.00261096605744125,0,0.0339425587467363,0.227154046997389,0.0182767624020888,0.00261096605744125,0,0.00522193211488251,0.0339425587467363,0.00261096605744125,0,0.0391644908616188,0.00261096605744125,0,0.0704960835509138,0.00522193211488251,0,0,0.0156657963446475,0,0,0.00261096605744125,0,0,0,0.00261096605744125,0,0,0,0,0,0,0.177545691906005,0,0,0,0,0,0,0,0,0,0,0.0496083550913838,0
555,2306,0,0,0,0,0.00251256281407035,0.0125628140703518,0.0050251256281407,0,0.0678391959798995,0,0,0,0,0.0050251256281407,0,0,0,0,0.0276381909547739,0,0,0,0,0,0,0.0577889447236181,0.00251256281407035,0,0,0.0879396984924623,0,0,0,0.0050251256281407,0.228643216080402,0.0050251256281407,0.00251256281407035,0,0.00753768844221105,0.0376884422110553,0,0,0.0552763819095477,0.0100502512562814,0,0.092964824120603,0.00251256281407035,0,0,0.0326633165829146,0,0,0,0,0,0,0.00251256281407035,0.00251256281407035,0,0,0,0,0,0.170854271356784,0,0,0,0,0,0,0,0,0,0,0.0753768844221105,0
645,2561,0,0,0,0,0,0.0174927113702624,0,0,0.032069970845481,0,0,0,0,0.00583090379008746,0,0,0,0.00291545189504373,0.00291545189504373,0.00583090379008746,0.00291545189504373,0,0,0,0,0.0408163265306122,0,0.0116618075801749,0.0116618075801749,0.116618075801749,0,0,0,0.0087463556851312,0.230320699708455,0.0174927113702624,0.00291545189504373,0,0.0116618075801749,0.0116618075801749,0,0,0.0349854227405248,0.00291545189504373,0,0.0641399416909621,0.0087463556851312,0,0,0.032069970845481,0,0,0.00583090379008746,0,0.00291545189504373,0.00291545189504373,0,0.00291545189504373,0,0,0,0,0,0.21865889212828,0,0,0,0,0,0,0,0,0,0,0.0903790087463557,0
