"sample.depths","sample.ages","Ambrosia.type","Artemisia","Carya","Asteraceae.undiff.","Cyperaceae","Fraxinus.nigra.type","Herbs.undiff.","Picea","Pinus.undiff.","Quercus","Salix","Trees.undiff.","Tsuga","Ulmus","Acer","Juglans","Populus","Amaranthaceae","Poaceae","Rosaceae","Polygonaceae","Rhamnaceae.Vitaceae","Aquifoliaceae","Betula","Ostrya.Carpinus","Abies","Thalictrum","Tilia","Fagus","Larix","Cupressaceae","Fraxinus.pennsylvanica.type","Alnus","Pinus.subg..Strobus","Corylus","Celtis"
10,51,0.304435483870968,0.00201612903225806,0.0100806451612903,0.0241935483870968,0.455645161290323,0.00403225806451613,0.00806451612903226,0.00201612903225806,0.00403225806451613,0.0181451612903226,0.00201612903225806,0.0564516129032258,0.00201612903225806,0.00403225806451613,0.00201612903225806,0.00403225806451613,0.0141129032258065,0.0483870967741935,0.0221774193548387,0.00604838709677419,0.00403225806451613,0.00201612903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,292,0.134854771784232,0.00829875518672199,0.0145228215767635,0.238589211618257,0.0622406639004149,0.0103734439834025,0.012448132780083,0,0.00829875518672199,0.105809128630705,0.037344398340249,0.261410788381743,0,0.00829875518672199,0.00829875518672199,0,0.004149377593361,0.0601659751037344,0.012448132780083,0.004149377593361,0,0,0.0020746887966805,0.0020746887966805,0.004149377593361,0,0,0,0,0,0,0,0,0,0,0
30,595,0.197260273972603,0.00821917808219178,0.0410958904109589,0.010958904109589,0.084931506849315,0,0,0,0.00821917808219178,0.131506849315068,0.0493150684931507,0.331506849315069,0.00273972602739726,0.00821917808219178,0.0164383561643836,0,0,0.073972602739726,0.0191780821917808,0.00821917808219178,0,0,0,0,0,0.00273972602739726,0.00273972602739726,0.00273972602739726,0,0,0,0,0,0,0,0
135,6044,0.0745341614906832,0.0031055900621118,0.0341614906832298,0.0527950310559006,0.0652173913043478,0.015527950310559,0.0403726708074534,0,0.0124223602484472,0.263975155279503,0.0341614906832298,0.248447204968944,0,0.0124223602484472,0.031055900621118,0.0124223602484472,0.0124223602484472,0.031055900621118,0.0186335403726708,0.0093167701863354,0.0062111801242236,0,0,0,0.0031055900621118,0,0,0,0.015527950310559,0.0031055900621118,0,0,0,0,0,0
145,6403,0.0307262569832402,0.0111731843575419,0.0782122905027933,0.0474860335195531,0.181564245810056,0.00558659217877095,0.0111731843575419,0,0.0446927374301676,0.14804469273743,0.00558659217877095,0.268156424581006,0,0,0.00837988826815642,0.0139664804469274,0.00837988826815642,0.0614525139664804,0.0307262569832402,0.0195530726256983,0,0,0,0,0.00279329608938547,0,0.00558659217877095,0.00558659217877095,0,0,0.00279329608938547,0.00558659217877095,0.00279329608938547,0,0,0
155,6700,0.0498753117206983,0.00748129675810474,0.0673316708229426,0.0498753117206983,0.0349127182044888,0.0473815461346633,0.00249376558603491,0,0.0598503740648379,0.301745635910224,0.00748129675810474,0.14713216957606,0,0.0698254364089776,0.0698254364089776,0.0174563591022444,0,0.029925187032419,0.00498753117206983,0.00997506234413965,0,0,0,0,0.00498753117206983,0,0,0,0.0149625935162095,0,0,0,0,0.00249376558603491,0,0
165,6948,0.037037037037037,0.0111111111111111,0.0962962962962963,0.0851851851851852,0.0777777777777778,0.0296296296296296,0.0148148148148148,0,0.0703703703703704,0.192592592592593,0.00740740740740741,0.148148148148148,0,0.0592592592592593,0.00740740740740741,0.0703703703703704,0.0037037037037037,0.0444444444444444,0.00740740740740741,0.0111111111111111,0.0037037037037037,0,0,0,0,0,0,0.0111111111111111,0.0037037037037037,0,0,0.00740740740740741,0,0,0,0
175,7157,0.021671826625387,0.0123839009287926,0.0557275541795666,0.0495356037151703,0.0681114551083591,0.0154798761609907,0.0123839009287926,0,0.0340557275541796,0.30030959752322,0.00928792569659443,0.164086687306502,0,0.0185758513931889,0.102167182662539,0.0588235294117647,0.00309597523219814,0.0371517027863777,0.0154798761609907,0.00309597523219814,0,0,0,0,0,0,0,0.00619195046439629,0.0123839009287926,0,0,0,0,0,0,0
185,7341,0.0112359550561798,0.00561797752808989,0.0393258426966292,0.0449438202247191,0.0365168539325843,0.0196629213483146,0.0308988764044944,0,0.0365168539325843,0.407303370786517,0,0.140449438202247,0,0.0252808988764045,0.0870786516853933,0.0308988764044944,0,0.0196629213483146,0.0112359550561798,0.0168539325842697,0,0,0,0,0,0,0,0.00842696629213483,0.0224719101123595,0,0.00280898876404494,0.00280898876404494,0,0,0,0
195,7512,0.0064516129032258,0.0064516129032258,0.0741935483870968,0.0741935483870968,0.0258064516129032,0.00967741935483871,0.0258064516129032,0,0.032258064516129,0.358064516129032,0.0032258064516129,0.174193548387097,0,0.0419354838709677,0.0612903225806452,0.0290322580645161,0,0.0193548387096774,0.0129032258064516,0.0064516129032258,0,0,0,0,0.0032258064516129,0,0,0.00967741935483871,0.0225806451612903,0,0,0,0,0.0032258064516129,0,0
