"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Asteraceae.undiff.","Cupressaceae","Ericaceae","Fagus","Larix","Ostrya.Carpinus","Picea","Platanus","Quercus","Salix","Tilia","Tsuga","Ulmus","Alnus","Acer","Fraxinus","Myrica","Pinus","Populus","Amaranthaceae","Poaceae","Rosaceae","Artemisia","Cyperaceae","Corylus","Rhamnaceae.Vitaceae","Lamiaceae","Fabaceae","Juglans","Caryophyllaceae","Plantago","Abies"
191,NA,205,1,19,7,1,2,4,15,4,2,3,2,58,5,8,1,11,1,10,7,2,35,4,1,1,1,0,0,0,0,0,0,0,0,0,0
196,NA,103,2,11,1,1,0,0,6,4,0,0,0,42,1,0,1,2,2,4,0,0,22,0,0,2,0,1,1,0,0,0,0,0,0,0,0
206,NA,201,1,14,2,0,2,0,20,1,2,2,0,63,2,3,5,6,3,5,7,2,51,4,0,3,0,0,1,1,1,0,0,0,0,0,0
216,NA,208,2,4,0,0,0,4,7,0,0,0,0,52,1,0,1,3,0,2,0,0,129,0,1,2,0,0,0,0,0,0,0,0,0,0,0
226,NA,210,3,5,0,0,0,0,7,2,0,10,0,42,0,2,1,10,1,6,0,0,116,0,0,2,0,1,0,2,0,0,0,0,0,0,0
231,1188,198,1,11,1,0,4,4,19,0,0,1,2,78,2,6,3,12,1,8,5,1,31,4,1,1,0,2,0,0,0,0,0,0,0,0,0
236,1257,201,0,14,2,1,0,0,48,2,0,0,0,97,2,8,2,11,2,3,2,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0
246,1396,204,2,14,3,0,0,0,38,1,0,1,0,98,3,2,1,7,3,7,6,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,1535,200,1,8,3,1,0,4,48,0,2,0,1,80,1,6,2,9,0,9,2,0,19,2,0,1,0,0,0,0,0,1,0,0,0,0,0
266,1673,202,0,15,4,0,3,4,24,2,0,1,0,91,1,3,1,12,1,10,2,0,18,3,1,1,0,1,0,3,1,0,0,0,0,0,0
276,1812,208,2,4,2,0,0,0,46,2,0,0,0,95,3,5,2,8,2,8,5,0,18,0,0,1,1,1,1,0,0,0,1,1,0,0,0
286,1951,216,5,19,2,1,0,0,32,1,0,0,1,105,5,2,0,8,0,7,8,1,14,1,1,1,0,0,0,1,0,0,0,1,0,0,0
296,2090,211,0,17,1,2,0,0,28,1,0,0,0,134,3,4,2,5,0,5,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
306,2228,201,1,11,2,1,0,0,28,3,0,0,0,113,2,1,3,12,0,4,6,0,8,2,0,0,0,0,1,0,0,3,0,0,0,0,0
316,2367,202,1,13,0,1,0,0,19,2,1,0,0,132,1,3,0,6,0,4,9,0,4,2,1,0,0,2,1,0,0,0,0,0,0,0,0
