"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Diphasiastrum.tristachyum.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Quercus","Rosaceae.undiff.","Salix","Sambucus","Saxifraga.oppositifolia.type","Shepherdia.canadensis","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.edule","Viburnum.undiff."
0,-1,31,1,0,0,3,18,0,0,0,0,2,267,0,0,1,0,2,8,0,0,0,0,4,0,0,1,7,50,0,0,26,3,0,1,1,3,0,4,23,88,37,3,31,5,4,0,0,1,0,2,0,8,0,2,0,0,0,7,0,0,10,1,4,46,0,0,0,0
10,449,36,0,4,0,1,30,0,0,1,1,1,340,1,1,0,0,0,8,0,0,0,1,5,1,0,2,0,49,0,0,0,0,0,0,2,0,0,1,10,41,19,0,73,15,3,0,0,0,1,0,0,5,1,0,0,0,0,5,0,0,2,1,1,31,0,0,0,0
25,1123,32,0,9,0,3,49,0,0,0,1,0,357,0,0,1,0,6,6,0,0,0,0,7,3,1,1,6,64,0,0,7,2,0,0,4,4,0,7,18,82,25,3,61,11,3,0,0,2,0,2,0,6,0,2,0,0,0,4,0,0,2,2,4,72,1,0,0,0
35,1573,70,0,3,1,5,21,0,2,0,1,3,350,0,0,1,0,4,2,0,0,0,0,4,2,1,2,1,59,0,1,0,1,2,1,0,0,0,0,3,92,24,1,99,42,0,0,1,0,6,0,0,0,0,0,2,0,0,5,1,0,4,2,0,38,2,0,0,0
45,2022,22,1,0,1,2,30,0,0,0,0,2,247,0,1,0,0,0,6,0,0,0,0,3,2,0,0,0,58,0,0,0,1,0,1,2,0,0,0,8,28,7,0,64,15,0,1,1,0,0,0,0,2,0,0,0,0,0,3,0,0,4,2,1,34,0,0,0,0
60,2696,16,0,3,1,3,41,0,0,0,0,1,338,0,0,0,1,1,6,0,0,0,1,1,0,0,0,2,62,0,0,0,0,0,2,1,0,0,0,4,60,15,0,106,14,0,0,0,0,1,0,0,3,2,0,0,0,0,5,0,1,1,1,1,45,1,0,0,0
70,3145,50,0,0,0,4,29,0,1,0,2,2,285,0,0,0,0,2,6,0,0,0,0,5,3,0,0,1,51,1,0,0,0,0,0,4,0,0,0,3,47,14,6,101,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,20,1,0,0,0
85,3819,43,0,0,1,3,22,0,0,0,0,1,247,0,0,0,0,2,3,0,0,0,1,0,3,0,0,0,40,0,0,0,0,1,0,2,0,0,0,1,49,12,1,92,13,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,1,0,29,0,0,0,0
95,4268,19,0,4,0,5,43,0,0,0,1,1,367,0,0,0,0,2,2,0,0,0,0,4,0,2,2,6,47,0,0,10,0,0,1,0,6,1,11,8,75,26,6,67,8,3,0,0,3,0,2,0,9,2,1,0,0,0,2,0,0,2,7,7,42,0,0,0,0
110,4942,31,0,4,1,3,34,0,1,0,1,2,398,0,0,0,0,0,3,0,0,0,3,1,6,1,0,2,92,1,0,0,0,0,0,2,2,0,1,3,48,7,0,73,10,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,1,4,0,33,0,0,0,0
120,5392,27,0,3,1,1,19,0,0,0,0,0,268,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,79,0,0,0,0,1,1,2,0,0,0,0,35,9,4,103,16,0,0,0,0,0,0,2,5,1,0,0,0,0,1,1,0,7,1,1,40,0,0,0,0
135,6065,16,1,1,1,4,32,0,1,0,1,0,261,0,0,0,0,3,3,0,0,0,0,1,0,1,0,9,58,0,0,11,5,0,4,1,7,0,5,12,47,18,2,64,5,5,0,1,7,0,5,0,4,0,0,0,0,0,0,2,0,5,2,6,29,5,0,0,1
145,6515,17,0,1,0,1,32,0,0,0,0,0,322,0,0,0,2,0,6,0,0,1,0,0,5,0,0,0,42,0,0,0,0,0,0,3,1,0,0,0,24,5,1,86,13,0,0,0,3,0,0,0,10,1,1,0,0,0,0,0,0,3,1,1,49,4,0,0,0
159,7144,14,0,0,2,0,49,0,2,0,2,0,349,0,0,1,0,7,9,0,0,0,1,0,0,0,1,13,45,1,0,13,3,0,7,3,9,0,14,10,42,26,0,85,17,1,0,3,11,0,1,0,7,0,3,0,0,0,2,4,0,9,3,0,32,1,0,0,1
175,7863,20,0,2,2,5,33,0,0,0,3,2,299,0,1,0,0,1,4,1,0,0,0,1,4,0,0,0,5,0,1,0,0,0,9,1,0,0,0,2,13,14,11,70,29,1,0,1,4,1,0,0,10,1,6,0,0,0,0,0,0,2,1,0,17,3,0,0,0
185,8312,45,0,0,1,5,31,1,1,0,0,0,233,0,0,0,0,1,2,0,0,0,1,1,2,1,0,0,0,1,0,1,0,1,19,0,0,0,0,3,29,6,2,54,16,1,0,0,1,0,0,1,6,0,3,0,0,0,3,0,0,2,0,0,10,0,0,0,0
195,8761,15,0,0,0,1,71,1,1,0,1,0,322,0,2,2,0,0,3,0,0,0,0,0,7,1,0,0,0,0,0,1,2,0,14,1,0,0,0,3,26,4,0,70,11,8,1,0,2,0,1,0,11,0,1,0,0,0,1,1,0,0,3,1,14,0,0,0,0
210,9435,15,0,1,1,0,148,0,0,0,0,1,203,0,1,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,7,1,0,0,0,5,18,9,1,40,15,6,0,1,1,0,0,0,8,1,6,0,0,0,0,1,0,0,0,1,11,1,0,0,0
225,10109,35,0,1,0,1,216,0,1,0,2,1,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,16,22,7,23,18,2,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,4,0,0,1,0
235,10558,2,0,1,0,0,269,0,1,0,2,1,95,0,0,0,0,1,3,0,0,0,1,0,1,1,0,1,0,0,0,3,0,0,1,0,0,0,0,9,9,7,0,31,9,4,0,0,5,0,0,0,9,0,2,0,0,0,0,0,0,1,1,0,10,1,0,2,0
240,10783,7,0,1,0,4,283,0,0,0,3,0,80,0,0,0,0,2,6,1,0,0,0,0,0,0,0,4,0,0,0,16,6,0,4,0,1,0,3,7,27,16,3,45,13,5,0,0,11,0,3,0,4,0,3,0,0,0,0,0,0,2,3,0,10,2,2,0,0
245,11008,11,0,0,0,4,268,1,0,0,5,5,127,0,1,0,0,0,9,1,1,0,0,0,1,0,0,6,0,0,0,20,21,0,1,0,1,0,3,6,48,34,5,27,6,7,0,0,7,0,2,1,8,0,6,0,0,1,1,0,0,0,0,1,20,0,0,0,0
250,11232,2,0,0,0,2,190,0,1,0,4,8,123,0,0,1,0,0,18,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,2,3,0,0,0,15,54,48,4,39,16,4,0,0,3,0,0,0,10,0,4,0,1,0,1,1,0,1,0,0,10,3,0,0,0
