"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Amaranthaceae.undiff.","Asteraceae.undiff.","Cupressaceae","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Ulmus","Alnus","Poaceae","Acer.saccharum","Pinus.banksiana.P..resinosa","Acer.negundo","Corylus","Platanus","Tilia","Fraxinus.nigra","Xanthium","Dalea","Iva","Carya","Salix","Juglans","Acer.rubrum","Thalictrum","Populus.tremuloides","Fraxinus.undiff.","Populus.balsamifera","Fraxinus.pennsylvanica","Sarcobatus.vermiculatus","Humulus","Urtica","Rumex","Celtis","Ranunculus","Populus.undiff.","Rhamnus","Fagus"
145,1999,0.00778210116731518,0.0116731517509728,0.00778210116731518,0.0972762645914397,0.0116731517509728,0.00778210116731518,0.0428015564202335,0.066147859922179,0.00778210116731518,0.00778210116731518,0.00778210116731518,0.00389105058365759,0.315175097276265,0.178988326848249,0.0544747081712062,0.00389105058365759,0.0428015564202335,0.0155642023346304,0.00778210116731518,0.101167315175097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2086,0.00772200772200772,0.0115830115830116,0.00386100386100386,0.135135135135135,0,0.0115830115830116,0.00386100386100386,0.0424710424710425,0,0.0154440154440154,0.0154440154440154,0.00386100386100386,0.324324324324324,0.208494208494208,0.0347490347490347,0.0193050193050193,0.0347490347490347,0.0193050193050193,0,0.0579150579150579,0.00386100386100386,0.0231660231660232,0.00386100386100386,0.0115830115830116,0.00772200772200772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2260,0.0138121546961326,0.0138121546961326,0.0110497237569061,0.0359116022099447,0.00828729281767956,0,0.0110497237569061,0.0138121546961326,0,0,0.00276243093922652,0.00828729281767956,0.400552486187845,0.193370165745856,0.0165745856353591,0,0.00828729281767956,0.00276243093922652,0,0.243093922651934,0,0.00276243093922652,0,0,0,0.00276243093922652,0.00276243093922652,0.00828729281767956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3130,0,0.0218068535825545,0.0280373831775701,0.087227414330218,0.0124610591900312,0.0155763239875389,0.0155763239875389,0.0280373831775701,0.00623052959501558,0,0.00311526479750779,0.0186915887850467,0.376947040498442,0.186915887850467,0.043613707165109,0.00311526479750779,0.0311526479750779,0.0155763239875389,0,0.0841121495327103,0.00311526479750779,0,0,0.00311526479750779,0,0,0.00311526479750779,0.00311526479750779,0.00623052959501558,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,3304,0,0.0147058823529412,0.00980392156862745,0.0735294117647059,0.00490196078431373,0,0.00490196078431373,0.0441176470588235,0.00490196078431373,0,0.00490196078431373,0,0.401960784313726,0.225490196078431,0.0637254901960784,0.00490196078431373,0.00490196078431373,0.00490196078431373,0,0.102941176470588,0,0.00490196078431373,0,0.00490196078431373,0,0,0,0.00980392156862745,0,0.00490196078431373,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,3652,0,0.0101522842639594,0.0152284263959391,0.0203045685279188,0,0.0152284263959391,0.0406091370558376,0.0253807106598985,0.0050761421319797,0,0,0,0.319796954314721,0.294416243654822,0.101522842639594,0.0152284263959391,0.0050761421319797,0,0,0.106598984771574,0,0,0,0.0152284263959391,0.0050761421319797,0,0,0,0,0,0,0.0050761421319797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,3739,0,0.04,0.024,0.144,0.012,0.012,0.02,0.084,0,0,0.008,0,0.16,0.176,0.148,0.016,0.052,0.016,0,0.044,0,0.008,0.004,0,0.012,0,0,0,0.004,0,0.008,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,0,0
350,3782,0.00294117647058824,0.0176470588235294,0.0235294117647059,0.129411764705882,0.00588235294117647,0.0117647058823529,0.117647058823529,0.132352941176471,0,0.0117647058823529,0.00294117647058824,0,0.0911764705882353,0.0735294117647059,0.188235294117647,0.0205882352941176,0.0588235294117647,0.0205882352941176,0.00294117647058824,0.0235294117647059,0.00588235294117647,0.0088235294117647,0,0.00588235294117647,0.0088235294117647,0,0,0,0.00294117647058824,0.00294117647058824,0,0.0117647058823529,0,0,0.00294117647058824,0.0147058823529412,0,0,0,0,0,0,0,0,0,0
355,3943,0,0.0289256198347107,0.0413223140495868,0.15702479338843,0.012396694214876,0.00413223140495868,0.0495867768595041,0.0454545454545455,0,0.00413223140495868,0.012396694214876,0,0.00826446280991736,0.0950413223140496,0.285123966942149,0.0371900826446281,0.103305785123967,0.0289256198347107,0,0.0413223140495868,0,0.00413223140495868,0,0,0.00413223140495868,0,0,0.00413223140495868,0.00413223140495868,0.00826446280991736,0,0.0206611570247934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,4588,0,0.0202020202020202,0.0176767676767677,0.0378787878787879,0.00252525252525253,0.00505050505050505,0,0.00505050505050505,0,0,0,0.00252525252525253,0.0101010101010101,0.0176767676767677,0.0606060606060606,0.00252525252525253,0.0404040404040404,0.757575757575758,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0
