"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Aquifoliaceae","Betula","Cyperaceae","Ericaceae","Fagus","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Alnus","Acer","Fraxinus","Pinus","Poaceae","Rosaceae","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Myrica","Ulmus","Salix","Herbs.undiff.","Juglans","Thalictrum","Amaranthaceae","Carya","Artemisia","Shepherdia"
0,0,96,2,2,1,41,2,1,1,1,10,4,1,18,2,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
10,303,98,3,0,1,39,1,1,2,0,13,2,0,16,2,0,9,1,0,6,1,1,0,0,0,0,0,0,0,0,0
20,507,99,2,0,2,48,2,2,3,0,12,2,0,8,0,0,7,1,0,6,1,2,1,0,0,0,0,0,0,0,0
30,710,100,2,0,0,52,2,2,1,0,11,2,0,7,2,0,9,1,1,7,0,0,1,0,0,0,0,0,0,0,0
40,914,100,1,0,1,47,3,4,3,0,13,1,0,5,1,1,13,0,0,6,0,0,1,0,0,0,0,0,0,0,0
100,2138,96,0,0,2,53,2,1,0,0,7,2,1,7,3,1,10,0,0,6,0,0,1,0,0,0,0,0,0,0,0
110,2342,98,2,0,1,50,1,0,3,0,9,2,0,10,1,0,12,1,1,4,0,0,0,1,0,0,0,0,0,0,0
120,2546,99,5,0,1,48,2,0,3,0,6,5,0,5,2,1,13,0,1,5,0,0,1,0,1,0,0,0,0,0,0
130,2750,99,2,0,1,55,1,2,1,0,10,2,0,6,2,0,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0
140,2954,98,1,0,1,47,2,1,4,0,9,7,0,3,1,1,14,1,0,4,0,1,0,0,0,1,0,0,0,0,0
150,3158,97,2,0,0,40,0,0,2,0,10,7,0,10,0,1,16,0,0,5,1,1,0,0,2,0,0,0,0,0,0
160,3362,102,2,0,3,46,1,1,2,0,7,2,1,10,2,1,14,1,0,5,1,0,1,0,2,0,0,0,0,0,0
170,3566,101,1,0,1,44,2,1,2,0,9,5,0,3,1,1,22,0,0,4,1,1,0,0,2,0,1,0,0,0,0
180,3770,97,0,0,1,45,2,1,3,0,6,8,0,6,5,1,11,1,0,3,1,1,0,0,1,0,0,1,0,0,0
190,3973,100,2,0,3,44,1,0,3,0,11,4,0,6,2,1,16,1,1,4,0,0,1,0,0,0,0,0,0,0,0
200,4177,97,2,0,2,38,1,1,3,0,14,4,0,10,1,0,13,0,0,3,1,0,1,0,2,0,1,0,0,0,0
210,4381,98,2,0,1,47,1,0,3,0,8,5,0,2,4,1,19,0,0,3,1,0,0,0,1,0,0,0,0,0,0
220,4585,99,3,0,3,37,3,1,1,0,5,5,0,10,1,0,25,1,0,1,1,0,1,0,1,0,0,0,0,0,0
230,4789,102,1,0,5,37,2,1,0,0,5,5,0,6,3,1,27,1,0,3,1,0,1,0,2,1,0,0,0,0,0
240,4993,96,2,1,3,39,2,0,0,0,11,4,0,6,1,1,20,1,0,4,1,0,0,0,0,0,0,0,0,0,0
250,5197,100,0,1,3,40,1,1,0,0,13,9,0,5,1,1,20,1,0,2,0,0,1,0,0,0,0,1,0,0,0
260,5449,99,1,0,3,34,5,1,1,0,4,4,0,13,3,2,14,1,0,11,0,1,1,0,0,0,0,0,0,0,0
270,5702,102,0,0,1,33,1,0,1,0,6,3,1,6,3,2,17,1,0,21,3,1,0,0,1,0,1,0,0,0,0
280,5954,111,0,0,3,27,1,0,0,0,7,5,0,14,4,2,30,0,0,16,0,0,0,1,1,0,0,0,0,0,0
300,6458,98,1,1,3,29,1,0,1,0,2,7,0,6,4,0,22,0,1,14,1,1,1,0,2,0,0,0,1,0,0
310,6710,94,1,0,5,25,1,1,1,0,15,7,1,1,1,1,25,0,0,7,1,0,1,0,0,0,0,0,0,0,0
320,6963,94,0,1,5,24,1,0,1,0,9,10,0,1,1,1,24,0,0,8,1,1,1,0,4,0,1,0,0,0,0
330,7215,103,0,0,2,17,1,1,0,0,4,8,0,5,1,2,45,1,0,13,0,0,1,0,2,0,0,0,0,0,0
340,7467,99,1,0,2,22,1,0,1,0,9,4,0,2,1,1,32,0,0,18,1,1,0,0,1,0,1,0,0,1,0
350,7719,101,1,0,1,16,3,0,0,0,6,8,0,2,1,1,46,1,0,11,1,1,1,0,1,0,0,0,0,0,0
360,7972,101,1,0,2,35,0,0,0,0,10,9,0,5,1,1,33,1,0,2,0,0,0,0,1,0,0,0,0,0,0
370,8273,102,0,0,1,22,2,1,0,0,3,13,0,3,0,1,44,1,1,6,1,0,1,0,1,0,1,0,0,0,0
400,9176,97,2,1,1,27,1,0,1,0,5,9,0,0,0,0,45,0,0,4,0,0,1,0,0,0,0,0,0,0,0
410,9477,101,1,0,0,30,1,1,0,0,10,7,0,4,0,1,43,0,0,1,0,0,0,0,2,0,0,0,0,0,0
420,9778,98,1,0,0,20,1,1,0,0,15,5,0,3,0,2,47,1,0,1,1,0,0,0,0,0,0,0,0,0,0
430,10079,94,1,0,0,53,1,0,0,0,12,3,0,4,0,1,15,1,0,0,1,0,0,0,0,0,2,0,0,0,0
440,10380,75,0,0,0,39,1,1,0,0,10,4,0,1,1,2,11,0,1,1,1,0,0,0,1,0,0,0,1,0,0
450,10681,60,1,0,0,31,2,1,0,0,6,2,0,2,0,1,8,2,0,1,0,0,0,1,2,0,0,0,0,0,0
460,10982,72,1,0,0,25,6,6,0,0,9,1,0,1,0,0,18,1,0,2,0,0,0,1,0,1,0,0,0,0,0
470,NA,39,0,1,0,13,5,0,0,0,6,1,0,1,0,0,9,1,0,0,0,0,0,1,1,0,0,0,0,0,0
480,NA,62,0,0,0,28,4,2,0,0,5,1,0,1,0,1,8,2,0,0,3,0,1,5,1,0,0,0,0,0,0
485,NA,54,0,0,0,31,2,2,0,0,5,2,0,1,0,0,4,3,0,0,2,0,0,1,1,0,0,0,0,0,0
500,NA,79,1,0,0,36,4,1,0,0,3,7,0,1,0,1,17,0,0,2,1,0,0,1,2,0,0,0,1,1,0
510,NA,78,0,0,0,17,15,3,0,0,7,5,0,0,0,0,17,2,0,0,0,0,0,6,4,0,0,0,1,1,0
