"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus","Ambrosia","Artemisia","Betula","Ostrya.Carpinus","Carya","Caryophyllaceae","Celtis","Cephalanthus","Chenopodiaceae.Amaranthaceae.undiff.","Asteraceae.subf..Cichorioideae","Asteraceae.subf..Asteroideae.undiff.","Cornus","Corylus","Cyperaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Galium","Poaceae","Ilex.Nemopanthus","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Nyssa","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Quercus","Ranunculaceae.undiff.","Rhus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Thalictrum","Juniperus.Thuja","Tilia","Tsuga","Ulmus","Apiaceae","Urtica"
5,84,368,0,18,0,2,1,60,2,81,2,3,0,2,0,8,0,0,2,0,9,0,0,2,0,0,13,4,0,2,1,0,1,2,0,0,0,5,2,0,89,0,0,1,0,45,1,0,1,0,0,9,0,0
10,201,413,0,13,0,3,5,70,0,64,0,1,0,3,2,4,0,9,0,0,16,0,2,9,0,0,14,1,0,2,2,0,0,0,0,6,1,9,0,0,102,1,1,0,0,64,0,0,2,1,0,6,0,0
15,318,356,0,3,0,6,9,82,0,39,0,4,0,1,2,3,0,16,0,0,14,0,0,2,1,0,9,1,0,0,15,0,0,0,0,4,10,56,0,0,61,0,0,0,2,5,0,0,2,0,0,9,0,0
20,435,167,0,1,0,0,14,30,2,7,0,6,0,0,0,1,1,2,0,0,4,0,1,1,0,0,7,0,0,2,23,0,1,0,0,0,0,31,0,1,24,0,0,0,0,1,0,0,0,1,1,5,0,0
25,552,309,0,0,0,2,7,19,1,6,1,6,0,0,1,2,0,3,0,1,6,0,3,1,1,0,10,1,0,0,32,0,0,1,0,8,17,72,0,3,99,0,0,0,0,1,0,0,0,0,0,5,0,0
35,786,353,0,21,0,3,11,14,0,2,4,12,0,0,0,1,0,1,0,0,6,0,4,0,2,0,10,0,0,1,23,1,0,1,1,1,33,115,0,4,64,0,0,0,0,0,0,0,0,0,1,15,0,2
52,1038,102,0,2,0,1,1,4,0,7,3,2,0,0,1,1,0,1,0,0,2,0,3,0,0,0,4,5,0,0,5,0,0,0,0,3,8,16,0,2,27,0,0,1,0,0,0,0,0,0,0,3,0,0
65,1185,468,0,2,0,2,2,8,0,10,4,9,0,0,0,2,0,2,0,1,18,0,5,6,4,0,113,30,0,4,22,0,0,1,0,11,25,27,0,7,136,0,0,6,0,1,0,0,0,0,1,9,0,0
95,1523,578,0,1,0,3,1,3,2,8,1,7,0,0,0,0,0,3,0,0,29,1,5,5,1,1,344,1,0,1,14,0,1,0,0,2,6,32,0,1,99,0,0,0,0,0,0,0,0,0,1,5,0,0
135,1974,454,0,0,0,9,3,9,1,6,3,4,2,2,0,0,0,3,0,1,32,0,20,8,1,0,108,0,2,4,3,2,0,1,0,0,9,28,0,5,177,0,0,0,0,1,0,0,0,0,0,9,1,0
160,2380,395,0,0,0,8,0,8,2,7,5,21,0,1,0,1,0,6,0,0,15,0,12,6,6,0,53,0,2,3,0,2,0,0,0,4,7,18,0,7,187,0,0,0,0,1,0,3,0,0,1,9,0,0
190,2904,425,0,0,0,5,2,10,4,3,8,13,0,1,0,4,0,1,0,1,15,0,15,11,2,0,91,0,1,0,0,0,0,0,0,1,7,15,0,8,182,0,0,0,0,2,0,1,0,1,0,21,0,0
220,3428,405,0,0,1,2,2,19,1,4,4,13,0,1,0,3,0,0,0,3,4,0,5,4,3,0,81,0,1,0,0,0,1,0,0,3,7,37,0,8,178,0,0,0,0,1,0,2,0,4,0,13,0,0
240,3777,387,0,0,0,2,0,11,1,7,4,11,0,0,0,1,0,5,0,1,6,0,6,6,1,0,70,0,0,5,0,0,0,1,0,2,3,48,0,3,174,0,0,0,0,0,0,0,0,1,0,17,1,0
250,3919,335,0,0,0,4,2,16,5,4,6,6,0,0,1,3,0,0,0,0,9,0,4,3,2,0,17,0,1,2,0,0,0,0,0,31,21,74,0,5,109,0,0,0,0,2,0,0,0,0,0,8,0,0
260,4061,404,0,0,0,5,4,9,2,3,5,17,0,1,0,0,0,1,0,2,4,0,8,6,1,0,41,0,1,7,0,2,0,1,0,1,7,52,0,5,188,0,0,0,0,7,0,0,0,1,1,22,0,0
280,4344,400,0,0,2,6,4,10,4,1,6,15,0,1,4,2,0,1,0,2,8,0,11,3,4,0,41,0,1,3,0,2,1,0,0,1,9,42,0,6,183,0,0,0,0,1,0,0,0,2,0,24,0,0
310,4770,404,0,0,0,2,2,16,4,2,2,13,0,0,1,2,0,1,0,1,13,0,1,4,2,0,29,0,1,2,0,0,0,0,0,1,5,63,0,11,206,0,0,0,0,2,0,1,0,1,0,16,0,0
340,5195,344,0,0,0,3,1,18,4,3,5,9,0,0,0,2,0,0,0,0,8,0,3,6,3,0,12,0,1,1,1,0,0,0,0,6,4,25,0,8,202,0,0,0,0,2,0,0,0,0,0,17,0,0
370,5621,341,0,0,0,1,1,46,5,1,2,14,0,0,2,1,0,1,0,0,10,0,9,3,3,0,6,0,0,0,0,1,0,1,1,2,9,13,0,21,179,0,0,0,0,2,0,0,0,0,0,7,0,0
405,6117,339,0,0,0,4,1,11,2,3,5,10,0,0,0,0,0,0,0,0,7,0,6,3,3,0,14,0,0,2,0,0,0,0,1,4,4,19,0,20,202,0,0,0,0,0,0,2,0,1,0,15,0,0
