"sample.depths","sample.ages","upland.sum","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Ericaceae","Fagus","Fraxinus.nigra.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea","Pinus","Abies","Betula","Betula.undiff.","Acer.spicatum","Cyperaceae","Fraxinus.pennsylvanica.type","Larix","Acer.saccharum","Amaranthaceae","Taxus","Juniperus.communis.Thuja.occidentalis.type","Caryophyllaceae","Carya.ovata","Populus.tremuloides.type","Rosaceae","Corylus.cornuta","Myrica.gale","Thalictrum","Cupressaceae.cf..Thuja.occidentalis","Castanea.dentata","Populus.balsamifera.type","Ilex.Nemopanthus"
0,0,363,2,2,6,4,2,2,2,2,1,29,3,2,3,1,1,2,8,41,4,44,4,1,2,7,4,2,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,642,406,0,1,10,0,0,1,0,2,0,72,0,8,0,0,0,0,2,46,7,42,0,2,3,3,3,0,196,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1284,658,3,1,4,4,1,2,0,5,1,82,0,8,0,0,2,0,4,51,20,77,2,1,12,9,8,0,354,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1926,450,0,2,6,3,1,1,0,1,0,52,0,9,0,0,1,0,1,32,0,95,0,0,1,4,1,0,237,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2568,498,0,0,1,6,0,2,0,4,0,48,0,3,0,0,1,0,0,47,6,77,0,2,6,10,12,8,252,0,0,3,1,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0
100,3210,682,0,4,7,4,0,2,0,11,0,53,0,10,0,0,1,0,0,39,4,90,0,6,4,1,1,0,438,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,3852,467,0,0,2,6,1,1,0,9,3,23,4,2,0,0,2,0,0,46,11,58,0,5,1,2,2,5,278,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,4494,632,2,1,8,6,1,0,0,8,0,67,0,3,0,1,4,0,0,33,7,98,0,4,2,2,2,0,374,2,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,5136,472,1,2,0,6,0,1,0,6,1,51,1,5,0,0,0,0,0,29,11,64,0,3,1,1,3,4,274,1,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
180,5778,538,6,0,5,4,0,0,0,11,0,48,1,2,0,0,3,0,0,28,10,89,0,2,2,3,2,0,313,0,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6420,432,0,1,5,6,2,3,0,3,1,53,0,4,0,0,0,0,0,40,12,93,0,1,3,4,8,1,183,0,1,1,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0
220,7063,529,0,2,3,2,1,0,0,2,0,53,0,1,0,0,1,0,0,19,19,145,0,4,3,10,4,5,241,0,1,4,0,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0
240,7705,519,0,1,1,2,1,0,0,6,1,32,0,1,0,0,0,0,1,28,10,154,0,4,4,15,7,0,242,0,0,4,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
260,8347,447,4,0,3,3,0,3,0,0,1,29,12,5,2,0,0,0,0,12,39,100,0,3,1,9,3,5,205,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,8989,447,0,0,5,3,0,0,0,3,2,14,0,3,0,0,1,0,0,8,12,205,0,0,0,6,0,5,174,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
300,9631,422,1,1,7,3,0,0,0,1,0,30,7,8,0,0,0,0,0,14,24,102,0,4,3,23,4,9,176,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
320,10273,588,1,1,4,2,0,0,0,3,1,26,0,4,0,0,3,0,0,27,7,237,0,2,3,23,8,1,223,0,0,3,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0
340,10915,522,1,3,7,3,1,0,0,2,3,9,0,6,0,0,3,0,0,11,19,150,0,1,2,14,1,8,264,0,1,0,5,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0
360,11557,481,1,0,5,4,0,0,0,1,6,16,0,7,0,0,2,0,0,8,3,162,0,3,0,1,0,5,252,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
380,12199,474,1,1,3,5,0,1,0,3,3,15,0,3,0,0,5,0,0,11,3,186,0,4,1,18,4,4,191,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
400,12841,639,1,1,4,3,1,1,0,0,4,20,0,2,0,0,5,0,2,4,10,310,0,7,1,4,1,1,241,2,0,1,1,1,0,8,0,0,0,1,0,1,0,1,0,0,0,0
420,13483,684,0,0,1,4,0,1,0,1,6,33,0,14,0,0,8,0,0,8,13,223,0,0,2,10,3,1,338,4,0,0,2,5,1,4,0,0,0,1,0,0,0,0,0,0,0,1
440,14125,647,0,0,2,17,3,1,0,1,7,41,0,14,0,0,4,0,0,32,7,62,0,3,4,25,8,0,411,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
