"sample.depths","sample.ages","Betula","Bumelia","Celtis","Asteraceae.undiff.","Cyperaceae","Ericaceae","Quercus","Rhizophora","Alnus","Fabaceae","Myrica","Pinus","Amaranthaceae","Poaceae","Avicennia","Casuarina","Bursera.simaruba","cf..Acanthaceae","Liquidambar","Ambrosia","Euphorbiaceae","Cyrilla.racemiflora","Polygalaceae","Solanaceae","Ilex","Conocarpus","Hippocratea","Carya","Polygonaceae","Juglans","Salix","Ulmus","Cephalanthus"
3,-26,0.00657894736842105,0.00657894736842105,0.0197368421052632,0.0394736842105263,0.00657894736842105,0.0131578947368421,0.0328947368421053,0.0197368421052632,0.0197368421052632,0.0657894736842105,0.578947368421053,0.0855263157894737,0.0131578947368421,0.00657894736842105,0.00657894736842105,0.0460526315789474,0.0197368421052632,0.0131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18,0,0,0,0.0202702702702703,0.0472972972972973,0,0,0,0,0.0405405405405405,0.614864864864865,0.216216216216216,0,0,0,0.0202702702702703,0,0.0202702702702703,0.00675675675675676,0.00675675675675676,0.00675675675675676,0,0,0,0,0,0,0,0,0,0,0,0
15,38,0,0,0,0.122302158273381,0.00719424460431655,0,0.0143884892086331,0.0107913669064748,0.00719424460431655,0.0107913669064748,0.597122302158273,0.169064748201439,0.0107913669064748,0,0.00359712230215827,0,0,0,0,0.00359712230215827,0.00359712230215827,0.00359712230215827,0.00719424460431655,0.0287769784172662,0,0,0,0,0,0,0,0,0
19,87,0,0,0,0.22972972972973,0.0574324324324324,0,0.0202702702702703,0.0168918918918919,0.00675675675675676,0.0236486486486486,0.331081081081081,0.165540540540541,0.0168918918918919,0,0,0,0,0.00337837837837838,0,0.00337837837837838,0.00337837837837838,0,0.0236486486486486,0.0777027027027027,0.0135135135135135,0.00337837837837838,0.00337837837837838,0,0,0,0,0,0
32.5,425,0,0,0,0.0170940170940171,0.213675213675214,0,0,0,0,0.0170940170940171,0.282051282051282,0.376068376068376,0.00854700854700855,0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0,0,0,0.00854700854700855,0.0683760683760684,0,0,0,0
37.5,550,0,0,0,0.0155038759689922,0.201550387596899,0,0.0465116279069767,0,0,0.0232558139534884,0.395348837209302,0.24031007751938,0,0.00775193798449612,0,0,0,0.00775193798449612,0,0.00775193798449612,0.0155038759689922,0,0,0,0.00775193798449612,0,0,0,0.0232558139534884,0.00775193798449612,0,0,0
45,737,0.00380228136882129,0,0,0.155893536121673,0.494296577946768,0,0.0190114068441065,0.0114068441064639,0.00380228136882129,0.0114068441064639,0.129277566539924,0.106463878326996,0.0114068441064639,0,0,0,0,0,0.00760456273764259,0,0.00380228136882129,0,0,0.00760456273764259,0,0,0,0,0.0342205323193916,0,0,0,0
55,987,0,0,0,0.0551724137931034,0.393103448275862,0,0.0206896551724138,0.0137931034482759,0,0.0137931034482759,0.179310344827586,0.2,0.00689655172413793,0,0,0,0,0,0,0,0.0206896551724138,0.00689655172413793,0,0,0.0482758620689655,0,0,0,0.0413793103448276,0,0,0,0
65,1237,0,0,0,0.00709219858156028,0.170212765957447,0,0.0354609929078014,0.049645390070922,0.00709219858156028,0.0354609929078014,0.375886524822695,0.269503546099291,0.0141843971631206,0,0,0,0,0.0141843971631206,0,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,0.00709219858156028,0.00709219858156028,0
75,1487,0,0,0,0.0133333333333333,0.106666666666667,0,0.00666666666666667,0,0.00666666666666667,0.0333333333333333,0.193333333333333,0.586666666666667,0.00666666666666667,0.0133333333333333,0,0,0,0.00666666666666667,0,0.00666666666666667,0,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.00666666666666667
85,NA,0,0,0,0,0.141666666666667,0,0.00833333333333333,0,0,0.00833333333333333,0.0416666666666667,0.775,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,NA,0.00543478260869565,0,0,0,0.0108695652173913,0,0.016304347826087,0,0,0,0.00543478260869565,0.945652173913043,0.00543478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543478260869565,0,0.00543478260869565,0
