"sample.depths","sample.ages","Abies","Acer.saccharum.type","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Arctostaphylos","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Caryophyllaceae","Cassiope.type","Castanea","Cyperaceae","Diphasiastrum.complanatum","Dryas.type","Dryopteris.type","Empetrum","Encalypta","Epilobium","Ericales.undiff.","Fagus","Fraxinus","Huperzia.selago","Indeterminable","Isoëtes","Larix","Ledum.Chamaedaphne.calyculata","Lycopodium.annotinum","Lycopodium.clavatum","Myrica","Oxytropis.type","Picea","Pinus","Poaceae","Potamogetonaceae","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Salix","Selaginella","Sphagnum","Thalictrum","Tsuga","Typha.Sparganium","Unknown","Vaccinium"
710,47,2,0,0,53,0,3,0,2,0,46,0,1,0,0,33,0,0,0,0,0,1,0,0,0,0,1,0,2,1,18,0,0,0,147,11,2,0,0,0,0,0,0,1,4,0,0,0,0,1
715,141,0,0,0,39,0,0,0,4,2,43,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,1,2,0,0,11,2,0,0,165,10,4,0,0,0,0,0,1,6,5,0,0,0,0,0
721,254,0,0,0,56,0,2,0,2,0,53,1,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,2,0,10,0,0,0,133,4,6,0,0,0,0,0,2,2,2,0,0,0,0,0
725,329,0,0,0,32,0,0,0,1,0,46,0,0,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,184,5,0,1,0,0,0,0,0,2,0,0,0,0,0,2
730,423,1,0,0,31,0,1,0,1,0,42,1,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,192,5,1,0,1,0,1,0,1,1,4,0,0,0,0,0
740,610,2,0,0,37,1,0,0,0,0,49,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,208,4,1,0,1,0,0,0,0,1,2,0,0,0,1,0
750,798,1,0,0,26,0,0,0,1,2,44,0,0,2,0,11,0,0,0,0,0,0,1,0,0,1,0,0,2,0,3,1,0,0,207,8,1,0,0,0,0,0,1,0,3,0,0,0,1,0
760,986,2,0,0,25,0,0,0,0,0,48,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,213,7,4,0,0,0,0,0,1,1,3,0,0,0,0,0
770,1173,3,0,0,31,0,1,0,1,0,45,0,0,0,0,12,0,0,0,1,0,0,0,1,0,1,0,0,5,0,4,0,0,0,209,14,4,0,0,0,0,0,1,0,2,1,0,0,0,0
780,1361,1,0,0,29,0,0,0,0,0,46,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,204,3,3,0,0,0,0,0,0,0,1,0,0,2,1,0
790,1548,1,0,0,32,0,1,0,1,0,39,0,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,2,3,0,2,1,0,0,219,4,4,0,0,0,0,0,2,1,3,0,0,0,0,0
800,1736,3,0,0,24,0,0,0,0,0,35,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
810,1934,0,0,0,36,0,0,0,0,0,52,0,0,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,189,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0
820,2163,1,0,0,39,0,0,0,1,1,59,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,2,6,1,0,0,0,0,210,5,1,0,1,0,0,0,0,0,2,0,0,1,0,0
830,2393,1,0,0,44,1,0,0,0,0,40,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,230,5,2,0,0,0,0,0,0,0,4,0,0,0,0,0
840,2622,1,0,0,40,0,0,1,0,0,41,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,195,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0
850,2852,0,0,1,55,0,0,0,0,0,38,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,195,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0
860,3081,0,0,1,50,0,1,0,1,0,41,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,195,8,1,0,1,0,0,0,1,0,1,0,0,0,0,0
870,3311,2,0,0,51,1,0,0,1,0,37,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,199,5,3,0,1,0,0,0,2,0,1,0,0,0,0,0
880,3540,1,0,0,68,0,0,0,0,1,52,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,177,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0
885,3655,1,0,0,73,0,0,0,2,0,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,209,2,4,0,0,0,0,0,0,0,0,0,0,0,2,2
890,3770,1,0,0,64,0,0,0,1,0,45,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,3,0,0,241,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
893,3839,4,0,0,169,0,0,0,2,0,82,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,381,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1
900,3999,3,0,0,74,0,0,0,0,0,46,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,242,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
905,4114,3,0,0,62,0,0,0,0,0,44,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,222,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0
910,4229,0,0,0,84,0,0,0,1,0,43,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915,4343,1,0,0,90,0,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,176,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
920,4458,3,0,0,56,0,0,0,1,1,32,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,4569,3,0,0,81,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,180,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
930,4675,6,1,0,53,0,0,0,0,0,40,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,207,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0
935,4781,2,0,0,54,0,0,0,0,1,47,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,1,0,254,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
940,4887,3,0,0,70,0,0,0,0,0,53,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,189,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
950,5100,1,0,0,71,0,0,0,1,1,70,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,255,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
960,5313,10,0,0,40,0,0,0,0,0,50,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,222,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
970,5525,7,0,0,28,0,0,0,1,0,43,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,3,0,6,1,0,0,214,2,2,0,0,0,0,0,1,0,0,1,1,0,0,1
980,5738,16,0,0,76,1,0,0,0,0,97,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,178,4,4,0,1,0,0,0,0,0,1,0,0,0,0,1
990,5950,6,0,0,97,0,1,0,0,0,78,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,0,4,0,0,0,146,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,6163,12,0,0,188,0,0,0,1,0,144,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,5,0,15,0,0,0,124,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0
1010,6360,1,0,0,236,0,0,0,0,1,117,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,0,1,0,70,2,3,0,1,0,0,0,2,0,1,0,0,1,0,0
1020,6513,10,0,0,204,0,0,0,0,1,89,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,33,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1
1030,6666,0,0,0,162,1,1,0,2,0,70,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,6,0,0,1,0,0,6,0,0,0,0,0,0,0
1041,6835,0,0,0,138,1,1,1,4,0,64,0,0,0,0,30,0,3,1,0,1,0,3,0,3,0,6,0,0,0,0,0,0,1,14,11,13,0,0,1,0,0,17,0,0,0,0,0,1,1
1051,6988,1,0,0,169,1,0,0,5,2,73,0,1,0,0,17,0,5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,15,11,3,0,3,1,0,0,13,0,1,0,0,0,1,0
