"sample.depths","sample.ages","Ambrosia.type","Betula","Cyperaceae","Ericaceae","Larix","Picea","Quercus","Alnus","Pinus","Poaceae","Artemisia","Cupressaceae","Brassicaceae","Salix","Asteraceae.subf..Asteroideae.undiff.","Abies","Fraxinus.nigra.type","Sarcobatus.vermiculatus","Amaranthaceae.undiff.","Ulmus","Fraxinus.pennsylvanica.type","Myrica","Acer","Rosaceae","Populus","Tsuga"
1,NA,0.00568181818181818,0.255681818181818,0.0482954545454545,0.0142045454545455,0.00852272727272727,0.443181818181818,0.00284090909090909,0.190340909090909,0.0255681818181818,0.00568181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,502,0,0.297520661157025,0.0743801652892562,0.0110192837465565,0.0165289256198347,0.435261707988981,0,0.12396694214876,0.0220385674931129,0.00826446280991736,0.00550964187327824,0.00550964187327824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,734,0,0.209039548022599,0.0480225988700565,0.00847457627118644,0.0395480225988701,0.485875706214689,0,0.172316384180791,0.0169491525423729,0.0112994350282486,0.00564971751412429,0,0.00282485875706215,0,0,0,0,0,0,0,0,0,0,0,0,0
30,965,0,0.242506811989101,0.0708446866485014,0.00817438692098093,0.0136239782016349,0.44141689373297,0.00272479564032698,0.141689373297003,0.0217983651226158,0.0435967302452316,0.00272479564032698,0,0,0.00544959128065395,0.00544959128065395,0,0,0,0,0,0,0,0,0,0,0
40,1197,0,0.246875,0.0125,0.003125,0.009375,0.5375,0.003125,0.165625,0.0125,0.00625,0,0,0,0.003125,0,0,0,0,0,0,0,0,0,0,0,0
50,1429,0,0.151515151515152,0.0242424242424242,0.00303030303030303,0.00606060606060606,0.6,0,0.160606060606061,0.0363636363636364,0.00303030303030303,0,0,0,0.00606060606060606,0,0.00303030303030303,0.00303030303030303,0.00303030303030303,0,0,0,0,0,0,0,0
60,1661,0,0.240853658536585,0.0182926829268293,0.00609756097560976,0.0121951219512195,0.463414634146341,0,0.231707317073171,0.00914634146341463,0.0121951219512195,0.00304878048780488,0,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0
70,1893,0,0.267605633802817,0.0225352112676056,0,0.0028169014084507,0.430985915492958,0,0.247887323943662,0.0197183098591549,0,0,0.00563380281690141,0,0,0.0028169014084507,0,0,0,0,0,0,0,0,0,0,0
80,2125,0.00316455696202532,0.227848101265823,0.0158227848101266,0.00949367088607595,0.00632911392405063,0.462025316455696,0.00316455696202532,0.246835443037975,0.0158227848101266,0.00632911392405063,0.00316455696202532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2357,0,0.303724928366762,0.0114613180515759,0.00286532951289398,0.0114613180515759,0.372492836676218,0.00286532951289398,0.275071633237822,0.00859598853868195,0.00286532951289398,0,0,0,0,0.00286532951289398,0,0,0,0.00573065902578797,0,0,0,0,0,0,0
100,2589,0,0.206686930091185,0.0060790273556231,0.00911854103343465,0.0060790273556231,0.483282674772036,0,0.261398176291793,0.0182370820668693,0.00303951367781155,0.00303951367781155,0,0,0.00303951367781155,0,0,0,0,0,0,0,0,0,0,0,0
110,2789,0,0.222543352601156,0.0144508670520231,0.00578034682080925,0.00867052023121387,0.442196531791907,0,0.265895953757225,0.00578034682080925,0.0260115606936416,0.00289017341040462,0,0,0,0.00578034682080925,0,0,0,0,0,0,0,0,0,0,0
115,2843,0,0.209912536443149,0.0087463556851312,0,0.00291545189504373,0.294460641399417,0,0.451895043731778,0.00583090379008746,0.0145772594752187,0,0.00291545189504373,0,0,0.00583090379008746,0,0,0,0.00291545189504373,0,0,0,0,0,0,0
120,2896,0,0.147826086956522,0.00289855072463768,0,0,0.371014492753623,0,0.452173913043478,0.00579710144927536,0.00869565217391304,0.00289855072463768,0,0,0.00579710144927536,0,0,0,0,0,0.00289855072463768,0,0,0,0,0,0
125,2949,0,0.19496855345912,0,0,0.00628930817610063,0.39937106918239,0.00314465408805031,0.361635220125786,0.00943396226415094,0.00943396226415094,0.00628930817610063,0,0,0,0.00314465408805031,0,0,0,0,0,0.00628930817610063,0,0,0,0,0
130,3002,0,0.140243902439024,0.00609756097560976,0.00304878048780488,0.00304878048780488,0.432926829268293,0,0.399390243902439,0.0152439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
