"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cerealia","Cornus.canadensis","Cornus.racemosa","Corylus","Cyperaceae","Dryopteris.carthusiana","Ephedra","Epilobium","Equisetum","Fabaceae","Fagus","Filicopsida.undiff.","Filipendula","Fraxinus.nigra","Fraxinus.pennsylvanica","Galium","Huperzia.lucidula","Juglans","Juniperus.Thuja","Lamiaceae","Larix","Lycopodiaceae.undiff.","Menyanthes.trifoliata","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Ophioglossum","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea.glauca","Picea.mariana","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum.undiff.","Polygonum.viviparum","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae.undiff.","Rubus","Rumex","Salix","Saxifraga.oppositifolia","Shepherdia","Shepherdia.argentea","Sphagnum","Thalictrum","Thelypteris","Tilia","Tsuga","Typha","Ulmus","Urticaceae","Viburnum","Vitis","Woodsia"
1100,6822,3,20,13,24,1,3,0,0,0,1,0,0,0,117,0,0,6,0,0,0,0,0,0,14,0,0,1,0,0,0,20,3,0,13,1,0,0,2,21,0,2,0,0,0,11,0,0,0,1,0,0,6,0,1,1,191,330,3,2,0,0,0,0,3,47,1,0,0,4,2,0,0,0,0,0,0,10,110,0,32,0,0,0,0
1101,6861,4,18,1,34,0,3,0,0,0,4,1,0,0,126,0,0,4,0,0,0,0,0,0,12,6,0,0,0,0,0,22,3,0,17,1,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,11,1,2,0,114,448,2,3,0,0,0,1,1,52,0,0,0,8,2,0,0,0,0,1,0,3,58,0,31,0,0,0,0
1102,6900,2,9,0,41,1,1,4,0,0,0,0,0,0,102,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,16,2,0,0,2,0,0,2,9,0,2,0,0,0,2,1,0,0,1,0,0,13,0,0,0,295,360,4,0,0,0,0,0,0,44,1,0,0,3,1,0,0,0,0,0,0,1,87,2,23,0,0,0,0
1103,6939,0,8,0,25,3,3,0,0,0,2,1,0,0,80,0,0,1,0,0,1,0,0,0,15,1,0,0,0,0,0,32,3,0,12,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,9,2,2,0,139,513,2,1,0,0,0,0,0,64,0,0,0,5,6,0,0,0,0,0,0,2,44,2,26,0,0,1,0
1104,6979,5,11,5,31,2,1,5,0,0,6,2,0,0,126,0,0,4,0,0,1,0,2,1,19,0,0,0,0,0,0,27,8,0,12,2,0,0,3,0,0,2,0,0,0,7,0,0,0,0,0,0,13,1,4,0,200,369,4,1,0,0,1,1,1,50,2,1,0,13,1,0,0,0,0,0,0,3,51,1,35,0,0,1,0
1105,7018,0,10,0,11,1,1,0,0,0,4,6,0,0,73,0,0,3,0,0,1,0,0,0,9,1,0,0,0,0,0,28,1,0,8,0,0,0,3,4,0,2,1,1,0,0,0,0,0,0,0,0,8,2,1,0,205,466,3,0,0,0,0,0,0,44,0,0,0,4,0,0,0,0,0,0,0,3,101,0,10,0,0,0,0
1106,7057,0,16,3,14,0,2,1,0,1,2,1,0,0,71,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,20,4,0,11,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,18,0,1,0,254,470,5,0,0,0,0,0,0,39,1,0,0,6,2,0,0,0,0,0,0,5,62,0,30,0,0,0,0
1107,7096,0,14,4,7,4,1,0,0,1,0,2,0,0,72,0,0,2,0,0,0,0,0,0,8,3,0,0,0,0,0,18,1,0,5,1,0,1,0,3,0,0,2,1,0,2,1,0,0,1,0,0,14,0,2,1,137,501,2,0,0,0,0,0,2,58,1,0,0,11,2,0,0,0,0,0,0,6,122,0,22,0,0,0,0
1108,7135,10,9,7,13,5,0,0,0,0,1,5,0,0,103,0,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,20,3,0,16,3,0,0,0,29,2,3,0,0,0,3,0,2,1,4,0,1,16,0,2,0,310,261,4,1,0,0,4,0,2,67,3,0,0,5,2,0,0,0,0,0,0,3,94,1,23,0,0,0,0
1109,7174,2,8,1,13,0,1,0,0,0,2,3,0,0,103,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,18,5,0,8,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,6,4,1,0,194,405,3,0,0,0,0,1,0,94,1,0,0,8,3,0,0,0,0,0,0,5,69,1,33,0,0,0,0
