"sample.depths","sample.ages","Abies","Acer.saccharum","Acer.spicatum","Acer.undiff.","Adiantum","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex.type","Botrychium.undiff.","Caltha","Campanula.type","Carya","Caryophyllaceae","Castanea","Cornus.canadensis","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryas","Dryopteris.type","Epilobium","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Larix","Lemna","Lycopodiaceae.undiff.","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Menyanthes.trifoliata","Myrica","Myriophyllum","Osmunda.cinnamomea","Osmunda.regalis.O..claytoniana","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Plantago","Poaceae","Populus.balsamifera","Populus.undiff.","Potamogetonaceae","Potentilla","Pteridium","Quercus","Rosaceae.undiff.","Rumex.Oxyria.digyna","Salix","Saxifraga.oppositifolia","Saxifraga.pensylvanica","Saxifraga.undiff.","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sphagnum","Spiraea","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Ulmus","Unknown","Urtica"
469,10384,4,0,3,0,0,1,2,4,0,0,0,0,3,219,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,17,0,0,0,0,0,0,0,0,4,0,7,0,1,0,3,2,0,0,18,0,1,0,1,0,1,3,8,0,7,7,0,0,6,0,3,1,0,6,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,2,1,0
473,10480,1,0,2,0,0,0,0,4,0,1,0,1,1,195,0,0,0,0,1,0,0,0,0,1,2,6,0,0,0,28,0,0,0,0,0,0,0,0,9,0,3,0,1,0,1,5,3,0,41,2,0,0,1,0,5,2,22,1,6,5,0,1,4,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,2,0,0
479,10624,3,0,0,0,1,0,0,2,0,0,0,0,2,293,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,15,0,0,0,0,0,6,0,0,9,0,0,0,1,0,4,2,1,0,39,2,1,0,0,1,4,2,10,1,3,3,0,0,11,2,0,1,1,8,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,6,0
485,10768,0,0,0,0,0,0,0,2,1,0,0,0,5,215,0,0,0,0,0,0,1,0,0,0,6,9,0,1,0,36,0,1,0,0,0,5,0,0,12,2,2,0,2,0,10,1,5,0,54,3,0,0,0,2,7,5,30,1,1,5,0,0,8,1,3,0,0,16,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,5,2,0
491,10912,0,2,0,0,0,1,1,2,0,1,0,0,10,67,0,0,0,0,0,1,0,0,0,1,9,8,0,2,0,40,0,0,0,0,1,3,0,0,6,0,3,0,7,0,64,4,10,0,79,3,2,0,0,1,13,1,52,0,10,8,0,2,12,0,4,3,0,20,0,0,10,0,0,0,0,0,2,1,4,0,0,0,0,1,5,1,1,0
496,11037,1,0,0,0,0,1,0,8,0,1,1,1,28,138,0,0,0,0,0,0,0,0,1,0,15,6,0,1,0,51,0,0,2,0,0,2,0,0,13,0,0,0,14,0,51,13,8,0,257,0,0,0,0,2,19,5,55,0,11,13,1,8,11,2,0,2,2,18,0,0,33,0,0,0,0,0,1,2,2,0,0,0,1,0,7,2,0,0
499,11112,0,0,0,0,0,0,1,4,0,1,4,0,20,128,0,0,0,0,0,0,0,0,0,0,6,7,1,0,0,35,0,0,5,0,0,0,1,0,11,0,0,0,2,0,39,3,4,0,261,0,0,0,0,1,13,2,34,2,11,9,0,12,2,0,1,1,0,14,0,0,26,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0
502,11187,0,0,0,1,0,2,1,3,0,0,1,1,19,102,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,21,0,0,7,1,0,3,0,0,7,0,0,0,2,0,35,4,0,0,203,0,0,0,0,2,7,1,18,1,15,8,0,22,2,1,0,3,0,12,1,0,20,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0
505,11262,1,1,1,0,0,0,1,6,0,0,0,0,17,143,0,0,0,0,0,0,1,0,0,0,5,13,0,1,0,21,0,0,11,1,0,1,0,0,8,0,0,0,9,0,37,9,6,0,244,0,1,0,0,0,6,1,13,2,11,17,0,14,4,1,0,5,0,1,0,0,20,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0
509,11363,0,0,0,0,0,2,0,6,0,0,0,1,5,134,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,11,1,0,1,0,1,5,0,1,0,0,2,26,8,3,0,107,0,0,0,0,0,3,1,5,7,8,13,0,11,1,0,0,4,1,1,1,0,12,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,2,0
511,11413,0,0,0,0,0,3,3,2,0,1,0,0,9,129,0,0,0,0,0,0,0,0,0,0,1,13,0,10,0,18,0,0,20,3,0,4,0,1,13,0,1,0,5,0,16,16,10,0,109,0,1,0,0,1,2,1,2,5,9,13,0,15,1,0,0,6,1,5,0,0,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
