"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium","Brasenia.schreberi","Carya","Castanea","Cornus","Corylus","Cupressaceae","Cyperaceae","Drosera","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Myriophyllum","Nymphaea","Osmunda","Ostrya","Picea","Pinus","Platanus","Poaceae.undiff.","Populus","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Zea.mays"
1,-28,2,0,4,3,1,38,0,1,50,0,0,0,0,0,2,0,6,0,1,0,19,11,0,0,0,0,0,0,3,0,2,0,0,0,1,8,425,0,6,0,0,24,0,0,1,2,0,1,3,1,4,1,1
50,90,1,0,14,15,1,77,1,2,53,0,0,1,1,1,2,0,18,1,2,0,63,54,0,2,1,0,2,0,2,0,3,0,0,0,11,25,73,0,26,1,2,43,0,3,2,83,0,4,13,0,21,0,4
100,411,1,0,21,7,0,3,1,2,73,0,0,1,0,4,1,1,13,3,1,0,6,111,2,5,1,0,0,1,3,0,4,0,0,1,15,10,102,0,3,1,6,58,0,3,0,10,0,5,47,1,35,5,0
153,963,1,0,40,5,0,2,2,1,85,0,93,3,0,0,1,1,6,0,1,0,2,206,0,6,0,0,1,0,1,0,5,0,0,0,5,6,56,1,1,2,0,37,2,0,0,2,0,6,101,0,28,0,0
203,1484,5,0,35,1,0,2,2,1,48,1,0,4,1,5,0,0,2,0,0,0,3,222,1,6,0,2,0,0,1,1,0,2,0,0,4,7,51,0,0,1,0,34,0,0,0,0,0,12,62,0,27,2,0
253,2006,0,0,43,3,0,3,0,0,51,1,0,5,0,5,0,4,4,0,0,0,0,207,0,2,0,0,1,0,0,0,3,1,0,0,3,7,58,1,0,1,0,43,0,0,0,0,0,12,57,0,30,2,0
303,2527,2,0,47,14,0,0,2,2,37,0,0,2,2,6,2,0,5,0,0,0,1,212,2,3,0,0,1,0,0,0,3,0,0,2,13,10,64,0,1,1,1,27,4,0,1,0,0,12,34,0,44,0,0
340,2912,2,0,82,4,0,1,2,5,113,0,0,6,0,0,0,12,19,0,1,3,11,265,5,5,3,0,0,2,3,0,4,0,0,2,19,7,113,2,1,3,0,72,0,0,0,16,1,8,82,0,51,18,0
350,3017,0,0,52,5,1,0,1,3,84,0,0,3,0,0,0,8,14,0,0,0,0,140,2,2,0,0,0,0,3,0,5,0,3,0,10,5,80,1,0,3,1,28,0,0,1,29,0,7,27,0,25,3,0
360,3121,0,1,62,6,1,0,0,1,44,0,0,0,0,0,0,10,24,0,0,0,0,165,5,2,0,0,0,0,0,1,4,0,1,0,10,10,93,1,0,4,0,47,5,0,0,15,0,7,22,0,22,2,0
370,3225,0,1,30,2,1,0,1,2,64,0,0,2,0,0,0,0,14,0,0,0,0,206,0,4,0,1,0,2,0,1,2,0,1,0,0,5,71,0,0,4,0,46,1,0,0,2,0,11,18,0,20,1,0
380,3329,1,1,36,10,4,0,0,0,59,0,0,10,0,5,0,8,41,0,2,0,0,139,1,3,0,0,0,0,3,0,6,0,0,0,22,7,84,1,0,2,0,59,0,0,1,3,0,10,26,0,30,3,0
390,3434,0,2,41,2,0,2,1,0,38,0,0,3,0,2,0,3,18,0,0,0,0,168,0,1,0,3,0,0,3,0,6,1,0,0,7,2,75,0,0,5,0,45,0,0,0,2,2,8,20,0,37,2,0
395,3486,0,0,41,7,2,0,1,2,38,0,12,3,0,2,0,9,31,0,0,0,2,195,6,3,0,0,0,2,2,0,8,0,1,1,12,3,70,1,1,4,0,45,1,0,1,1,0,10,17,3,41,1,0
400,3538,0,0,45,1,0,0,0,5,68,0,5,0,0,6,0,3,18,0,1,0,0,202,2,8,0,1,1,1,0,0,6,0,0,5,17,1,50,1,0,1,2,43,0,0,0,0,0,8,18,2,34,1,0
405,3590,0,1,42,3,2,0,0,1,56,0,2,1,0,2,0,13,24,0,1,0,2,181,1,4,0,0,0,1,1,0,4,1,1,3,13,4,95,0,1,1,0,44,4,0,0,1,0,12,9,1,38,3,0
410,3642,0,0,64,5,1,0,2,0,43,0,1,0,0,0,2,2,62,0,1,0,0,195,2,2,0,0,4,1,0,0,3,3,0,0,21,10,77,0,2,1,0,44,0,0,0,0,0,13,22,0,33,0,0
420,3746,1,0,49,2,1,0,1,3,52,0,0,1,0,0,1,3,20,2,1,0,0,146,4,6,3,0,1,1,2,0,3,0,0,0,16,21,58,1,4,4,1,60,1,0,0,21,0,9,40,2,42,0,0
430,NA,1,0,31,4,1,1,0,0,49,0,9,0,0,0,0,5,14,0,1,0,0,104,2,3,11,0,0,0,1,0,3,0,0,1,9,11,61,0,0,3,0,32,5,0,1,2,0,13,24,3,41,0,0
438,NA,3,1,67,0,0,0,0,3,27,0,6,0,0,1,0,0,23,5,1,0,0,172,3,6,94,0,1,0,2,0,8,0,0,14,12,5,98,2,0,0,0,29,8,0,0,0,1,12,30,2,34,1,0
