"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Cupressaceae","Cyperaceae","Ericaceae","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Myrica","Populus","Poaceae","Alnus.viridis.subsp..crispa","Epilobium","Amaranthaceae","Ranunculaceae","Fraxinus","Acer","Plantago","Fagus","Larix","Rumex","Polygonum.viviparum","Ulmus","Ostrya","Abies","Cornus.canadensis","Castanea","Lamiaceae","Brassicaceae","Tsuga","Apiaceae","Juglans","Rosaceae","Saxifragaceae"
1,59,1074,6,202,22,18,10,420,10,8,16,4,6,2,12,4,4,8,18,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,153,1039,6,220,38,22,18,388,10,6,3,0,0,4,6,10,2,0,2,298,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5,294,1200,8,286,48,8,24,375,30,6,5,4,2,2,8,8,2,6,4,370,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,435,1038,14,212,10,16,12,422,6,4,14,0,2,2,0,10,2,2,8,300,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,763,1119,2,146,22,20,16,538,38,0,3,4,6,0,2,8,0,2,10,292,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,998,1034,10,168,6,22,4,479,8,6,9,4,4,2,2,2,0,2,14,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,1139,1130,2,192,12,20,8,459,16,2,5,2,4,2,10,0,0,4,20,360,0,2,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
15,1374,1029,14,128,8,24,4,452,14,10,13,0,0,2,4,4,2,0,4,342,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
16,1467,1303,6,190,14,20,6,616,36,8,3,2,0,4,2,2,0,2,12,370,0,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
20,1843,1144,6,186,8,14,18,452,14,8,10,4,2,0,0,0,0,2,10,406,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
