"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Ostrya.Carpinus","Picea","Quercus","Salix","Thalictrum","Trees.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Urtica.type","Alnus","Rosaceae.undiff.","Myrica","Pinus","Populus","Poaceae","Ranunculaceae.undiff.","Amaranthaceae","Caryophyllaceae","Oxyria.digyna","Saxifraga.type","Abies","Fraxinus.undiff.","Shepherdia.canadensis","Epilobium","Polygonaceae.undiff.","Potentilla.type","Polygonum","Castanea"
448,NA,261,1,4,37,2,7,34,6,1,2,6,16,4,16,1,5,1,2,1,2,7,26,1,10,60,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
454,NA,259,0,3,46,0,6,37,6,1,0,6,5,5,19,2,3,0,3,2,13,4,23,1,8,59,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0
459.5,12832,281,0,12,9,2,9,52,12,0,1,10,13,4,18,2,1,0,2,0,0,5,39,1,0,56,4,5,0,1,2,19,2,0,0,0,0,0,0,0,0
461.5,12955,330,1,8,7,2,5,82,42,1,0,7,15,1,40,1,4,0,0,1,0,8,26,0,0,53,2,5,0,4,1,14,0,0,0,0,0,0,0,0,0
466,13267,334,3,6,26,1,10,111,50,0,0,8,14,5,38,0,4,0,3,1,0,1,5,0,3,33,1,6,0,1,0,0,0,1,2,1,0,0,0,0,0
473,13934,323,1,4,8,1,8,110,32,1,0,5,8,4,58,0,1,0,2,0,1,9,4,0,7,46,2,5,0,1,0,1,0,0,0,0,1,1,1,1,0
480,14601,333,0,10,18,0,14,107,24,0,0,6,9,4,31,0,1,0,3,1,0,9,3,1,18,55,9,6,1,0,1,0,0,0,0,1,0,1,0,0,0
490,15553,354,1,7,17,1,9,121,32,0,0,9,6,3,51,2,2,0,3,2,1,5,4,0,12,48,3,11,0,0,0,2,1,0,0,1,0,0,0,0,0
500,NA,252,4,17,6,0,0,32,1,3,2,1,12,6,50,1,8,0,4,3,0,4,5,0,1,74,0,13,0,1,0,0,0,0,0,0,2,0,0,0,2
