"sample.depths","sample.ages","Acer.rubrum","Artemisia","Betula","Carya","Caryophyllaceae","Corylus","Cyperaceae","Ericaceae","Fagus","Poaceae.undiff.","Ilex","Asteraceae.subf..Cichorioideae","Nyssa","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Rubus","Rumex","Salix","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Ambrosia","Alnus.viridis","Rosaceae.undiff.","Myrica.Comptonia.peregrina","Amaranthaceae","Caprifoliaceae","Brassicaceae","Plantago","cf..Hypericum","Abies","Acer.undiff.","Ostrya.Carpinus","Rhus","Scrophulariaceae","Juglans.cinerea","Zea.mays","Fabaceae","Iva","Fraxinus.pennsylvanica","Cupressaceae.Taxaceae","Solanum","Castanea","Fraxinus.nigra","Platanus","Tilia","Alnus.incana","Helianthemum","Hudsonia","Betulaceae.Myricaceae.undiff.","Liquidambar","Polygonaceae.undiff.","Onagraceae","Lamiaceae","Rhamnus","Juglans.nigra","Ranunculaceae.undiff."
0,-32,0.00210970464135021,0.00210970464135021,0.0253164556962025,0.00843881856540084,0.00210970464135021,0.00843881856540084,0.0210970464135021,0.00843881856540084,0.0147679324894515,0.253164556962025,0.0147679324894515,0.00210970464135021,0.00421940928270042,0.00421940928270042,0.0210970464135021,0.0105485232067511,0.0886075949367089,0.130801687763713,0.00210970464135021,0.0379746835443038,0.00421940928270042,0.00210970464135021,0.0126582278481013,0.0379746835443038,0.0147679324894515,0.0126582278481013,0.0822784810126582,0.00843881856540084,0.029535864978903,0.0759493670886076,0.00210970464135021,0.00843881856540084,0.00632911392405063,0.0210970464135021,0.0189873417721519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,30,0,0,0.0432692307692308,0.00961538461538462,0,0.00721153846153846,0.0432692307692308,0.00961538461538462,0.00721153846153846,0.324519230769231,0.00721153846153846,0,0.00721153846153846,0.00240384615384615,0.0264423076923077,0.0120192307692308,0.0673076923076923,0.0889423076923077,0,0.0552884615384615,0,0,0.0120192307692308,0.0336538461538462,0.0120192307692308,0.00240384615384615,0.03125,0,0.00721153846153846,0.108173076923077,0.00480769230769231,0,0,0.0288461538461538,0.0240384615384615,0.00240384615384615,0.00961538461538462,0.00480769230769231,0.00480769230769231,0.00240384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,74,0,0.00272479564032698,0.0517711171662125,0.0108991825613079,0,0.00817438692098093,0.0463215258855586,0,0.0245231607629428,0.294277929155313,0.00272479564032698,0.00817438692098093,0.00272479564032698,0.00817438692098093,0.00817438692098093,0.0163487738419619,0.0544959128065395,0.106267029972752,0,0.0790190735694823,0,0,0.00817438692098093,0.0299727520435967,0.00544959128065395,0.00272479564032698,0.0354223433242507,0.0163487738419619,0.0299727520435967,0.0653950953678474,0,0,0,0.0217983651226158,0.00272479564032698,0,0.0108991825613079,0,0.00544959128065395,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.0217983651226158,0.00272479564032698,0.00544959128065395,0.00272479564032698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,123,0,0,0.0301075268817204,0.0043010752688172,0,0.0064516129032258,0.0537634408602151,0.0021505376344086,0.0064516129032258,0.427956989247312,0,0.0021505376344086,0.0064516129032258,0.0064516129032258,0.0043010752688172,0.0150537634408602,0.0172043010752688,0.103225806451613,0,0.124731182795699,0,0,0.0129032258064516,0.010752688172043,0,0.010752688172043,0.0537634408602151,0.0064516129032258,0.0344086021505376,0.0258064516129032,0,0,0,0.0064516129032258,0,0,0.0021505376344086,0,0,0,0,0,0.0193548387096774,0,0,0.0043010752688172,0.0021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,167,0,0,0.0349344978165939,0,0.00291120815138282,0.0203784570596798,0.0320232896652111,0.00291120815138282,0.00582241630276565,0.395924308588064,0.00582241630276565,0.00291120815138282,0.0116448326055313,0.00145560407569141,0.00291120815138282,0.00873362445414847,0.0291120815138282,0.104803493449782,0,0.13391557496361,0,0,0.00582241630276565,0.0145560407569141,0.00582241630276565,0.0232896652110626,0.0320232896652111,0.00291120815138282,0.0291120815138282,0.0407569141193595,0.00582241630276565,0,0,0.00582241630276565,0.00291120815138282,0,0.00291120815138282,0.00291120815138282,0,0,0,0,0.0116448326055313,0,0.00291120815138282,0.00291120815138282,0,0.00582241630276565,0.00582241630276565,0,0,0,0,0,0,0,0,0,0,0,0,0
55,211,0,0.00278940027894003,0.0306834030683403,0.00557880055788006,0,0.0111576011157601,0.0139470013947001,0.00557880055788006,0.0111576011157601,0.393305439330544,0.00278940027894003,0.00278940027894003,0.00836820083682008,0.0097629009762901,0,0.00557880055788006,0.0167364016736402,0.103207810320781,0,0.161785216178522,0,0,0.00836820083682008,0.0111576011157601,0.00557880055788006,0,0.0474198047419805,0.00836820083682008,0.0418410041841004,0.0251046025104603,0,0,0,0.00836820083682008,0,0,0.00557880055788006,0,0.0167364016736402,0,0.00278940027894003,0,0.0278940027894003,0,0,0,0.00278940027894003,0,0,0.00278940027894003,0,0,0,0,0,0,0,0,0,0,0,0
65,255,0,0,0.0608519269776876,0.00608519269776876,0,0.00202839756592292,0.00405679513184584,0.00608519269776876,0.0162271805273834,0.0892494929006085,0.00202839756592292,0,0.00608519269776876,0.00709939148073022,0.00202839756592292,0.0182555780933063,0.0679513184584179,0.170385395537525,0,0.292089249492901,0,0,0.0202839756592292,0.00202839756592292,0.00608519269776876,0,0.0567951318458418,0.0202839756592292,0.0324543610547667,0.0567951318458418,0.00202839756592292,0,0.00202839756592292,0.00405679513184584,0.00811359026369168,0,0.00608519269776876,0.00811359026369168,0,0,0,0,0,0,0.00405679513184584,0.00202839756592292,0.00202839756592292,0,0.0101419878296146,0,0.00202839756592292,0.00202839756592292,0.00202839756592292,0,0,0,0,0,0,0,0,0
75,300,0,0.00250312891113892,0.097622027534418,0.0125156445556946,0,0.0275344180225282,0.00250312891113892,0.00750938673341677,0.0400500625782228,0.0125156445556946,0.0100125156445557,0,0.0300375469336671,0.00876095118898623,0.00500625782227785,0.0100125156445557,0.0400500625782228,0.375469336670839,0,0.0125156445556946,0,0,0.0350438047559449,0,0.00500625782227785,0,0.0200250312891114,0.0150187734668335,0.0200250312891114,0.147684605757196,0.00250312891113892,0,0,0,0.00750938673341677,0,0.0175219023779725,0.00250312891113892,0,0,0.00250312891113892,0,0,0,0.0100125156445557,0.00500625782227785,0,0.00500625782227785,0.00250312891113892,0.00250312891113892,0.00250312891113892,0,0,0.00250312891113892,0,0,0,0,0,0,0,0
85,472,0,0,0.0990712074303406,0.0247678018575851,0,0.0123839009287926,0.00928792569659443,0.0123839009287926,0.043343653250774,0.00619195046439629,0.0185758513931889,0,0.0185758513931889,0.00309597523219814,0.00619195046439629,0.0123839009287926,0.0495356037151703,0.427244582043344,0,0,0,0,0.0340557275541796,0,0.00619195046439629,0,0.00928792569659443,0.0185758513931889,0.0247678018575851,0.136222910216718,0,0,0,0,0,0,0.0123839009287926,0.00309597523219814,0,0,0.00309597523219814,0,0,0,0.00309597523219814,0.00309597523219814,0,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,645,0.00563380281690141,0,0.0873239436619718,0.0169014084507042,0,0.0112676056338028,0.0028169014084507,0.00845070422535211,0.0366197183098592,0.0591549295774648,0.0169014084507042,0,0.0140845070422535,0.00422535211267606,0.00563380281690141,0.0112676056338028,0.0605633802816901,0.354929577464789,0,0.00845070422535211,0,0,0.0140845070422535,0.0028169014084507,0.00845070422535211,0,0.0169014084507042,0.00845070422535211,0.028169014084507,0.169014084507042,0,0,0.0028169014084507,0,0,0.0028169014084507,0.0197183098591549,0,0,0,0,0,0,0.0028169014084507,0.0112676056338028,0.0028169014084507,0,0,0.0028169014084507,0,0,0.0028169014084507,0,0,0,0,0,0,0,0,0,0
