"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Cephalanthus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum"
35,188,626,0,3,11,5,72,6,20,0,0,3,1,24,0,0,0,0,4,2,0,0,11,0,3,9,20,40,62,1,0,192,1,0,38,3,0,15,1,2,0,1,2,0,0,42,0,0,32,0
37,201,560,1,2,5,3,57,1,11,0,1,0,2,30,0,0,0,0,4,0,0,2,2,0,3,9,19,48,70,0,2,197,0,1,33,10,0,10,1,0,0,1,0,0,0,21,0,0,14,0
39,228,571,0,1,6,6,80,1,16,0,0,1,1,24,0,0,0,0,4,1,0,0,14,0,5,10,14,42,61,1,0,202,0,0,49,4,0,6,1,1,0,1,2,0,0,9,0,1,6,1
41,268,541,0,5,6,6,69,5,17,0,2,3,2,32,0,0,0,0,5,3,0,0,15,0,1,4,21,50,60,0,0,169,1,1,45,2,1,5,1,1,0,0,1,0,0,5,0,0,3,0
43,308,551,0,1,1,5,96,7,16,0,0,0,8,33,0,0,0,0,0,1,0,0,9,0,5,10,9,22,108,1,0,156,0,0,47,7,0,2,1,0,0,0,0,0,0,4,0,1,1,0
45,348,685,0,3,12,6,102,12,31,0,0,2,3,15,0,0,0,0,2,0,0,0,5,0,5,11,14,17,83,2,0,176,1,0,29,11,2,47,2,1,0,2,0,0,0,54,3,0,32,0
47,387,546,0,5,8,2,64,6,8,0,0,0,2,21,0,0,0,0,3,1,0,0,15,0,4,6,3,20,114,0,1,183,0,1,44,15,1,2,2,2,0,0,2,0,0,6,0,0,3,2
49,427,582,0,3,10,10,62,7,11,0,0,0,3,30,0,0,0,0,5,0,0,0,26,0,3,3,8,30,95,2,2,207,1,0,44,3,0,6,1,0,0,0,3,0,0,5,0,2,0,0
51,467,563,1,5,6,2,66,11,11,0,1,3,2,40,0,0,0,0,9,1,0,0,10,0,5,5,32,34,60,2,0,179,2,0,55,6,0,2,0,1,0,0,2,0,0,6,1,0,2,1
53,507,563,1,3,8,11,77,6,13,0,1,3,0,30,0,0,0,0,9,0,0,0,10,0,2,16,10,22,78,2,1,170,1,1,58,5,3,0,0,0,0,0,2,0,0,13,0,0,6,1
55,547,556,0,5,12,3,84,9,9,0,1,0,2,50,0,0,0,0,3,0,0,0,18,0,2,11,15,34,58,3,0,168,1,1,47,11,0,0,2,2,0,0,2,0,0,3,0,0,0,0
57,587,544,0,5,14,0,80,9,12,0,0,2,6,32,0,0,0,0,3,0,0,0,9,0,3,8,15,29,83,2,2,171,2,0,37,4,0,2,1,3,0,1,2,0,0,3,0,1,2,1
59,627,544,1,3,11,2,54,11,17,0,0,3,5,40,0,0,0,0,7,0,0,0,6,0,0,6,11,17,69,2,1,207,1,0,57,2,2,2,2,0,0,0,0,0,0,5,0,0,0,0
61,667,616,0,6,5,5,70,9,14,0,1,2,6,50,5,2,0,2,9,0,0,0,11,0,3,3,14,38,80,2,1,187,0,0,73,5,0,3,0,2,0,0,0,0,0,5,0,0,3,0
63,706,568,0,3,5,1,89,9,5,2,0,0,3,41,11,3,2,0,3,0,0,0,6,0,3,12,12,18,101,3,2,167,1,0,46,8,0,2,0,2,0,0,2,0,0,5,0,0,0,1
65,746,558,1,6,5,5,62,11,5,1,1,0,2,60,8,8,0,0,2,1,0,0,13,0,6,14,9,41,63,0,0,162,1,0,52,9,0,0,1,0,0,0,2,0,0,5,0,0,2,0
67,777,533,1,8,8,5,73,8,18,0,1,0,2,50,0,0,0,0,5,0,0,0,6,0,7,9,12,40,52,2,1,168,0,1,41,3,0,0,1,2,0,0,0,0,1,6,2,0,0,0
69,797,593,0,14,9,1,106,11,9,0,0,0,5,60,3,3,0,2,6,1,0,0,9,0,6,8,6,22,54,3,0,181,1,0,61,5,0,1,1,0,0,0,0,0,0,3,0,0,2,0
71,817,590,1,9,9,5,63,11,9,0,1,0,3,64,8,3,2,5,3,1,0,0,2,0,2,8,9,43,70,0,3,180,0,0,61,6,0,0,0,2,0,0,3,0,0,3,0,0,0,1
73,838,589,0,3,8,3,96,6,14,1,0,2,3,54,8,7,0,0,5,1,0,0,12,0,2,6,14,35,55,2,0,161,0,0,66,8,0,0,1,0,0,2,6,0,0,8,0,0,0,0
75,858,540,0,3,15,2,67,5,12,0,0,3,3,64,0,0,0,0,3,1,0,0,8,0,3,3,8,26,70,0,0,181,1,0,57,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
77,879,598,1,3,3,2,87,3,2,0,1,0,0,86,2,5,0,0,2,1,0,0,11,0,3,5,9,38,50,2,2,200,0,0,58,6,2,2,2,5,0,0,0,0,0,2,3,0,0,0
79,899,555,0,5,5,0,84,5,13,0,0,2,3,73,3,3,0,0,5,0,0,0,9,0,5,5,5,27,41,0,2,196,2,0,44,11,2,0,1,1,0,0,0,0,0,3,0,0,0,0
83,NA,544,0,5,3,8,74,5,29,0,0,0,3,58,0,0,0,0,4,2,0,0,6,0,3,13,13,27,34,0,1,187,0,0,53,3,0,2,1,1,1,0,1,0,0,5,0,0,2,0
