"sample.depths","sample.ages","upland.sum","Carya","Iva.annua.type","Cupressaceae","Cyperaceae","Fagus","Ilex","Nyssa","Ostrya.Carpinus","Arecaceae","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Fabaceae","Myrica","Pinus","Amaranthaceae","Poaceae","Rosaceae","cf..Betula","Castanea","Ambrosia","Celtis","Ericaceae","Rhus","Fraxinus","Cephalanthus","Gordonia","Alnus","Liquidambar","Platanus","Acer","Artemisia","Parthenocissus","Polygonum.lapathifolium.type","Onagraceae","Polygonella.fimbriata.type"
1738,0,321,4,2,1,2,2,26,3,1,3,26,3,58,1,2,3,1,22,110,27,21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745,211,331,6,3,4,7,1,52,1,2,1,36,0,3,1,0,0,0,9,164,17,17,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750,362,302,5,2,4,14,0,45,0,0,0,16,0,8,0,2,7,0,13,128,25,25,2,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1755,513,263,2,6,1,8,0,43,0,1,0,23,0,1,1,0,0,0,10,111,25,27,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1760,664,319,13,1,2,4,0,53,0,1,2,24,0,1,0,0,0,0,8,151,17,33,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0
1770,965,265,9,1,0,1,0,0,0,0,1,26,0,2,0,1,0,0,10,179,13,15,0,0,0,1,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0
1782,1327,334,13,5,1,7,0,5,0,0,1,45,0,4,1,1,0,0,22,132,24,69,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1790,1568,328,9,3,0,8,0,4,0,0,2,56,0,1,0,1,0,0,20,127,34,51,0,1,0,1,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
1800,1870,318,4,3,0,5,0,0,0,0,0,37,0,7,0,0,0,0,14,151,33,60,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1810,2172,327,10,2,1,3,0,6,0,0,1,58,0,0,0,0,0,0,31,112,26,59,0,1,0,0,0,15,0,0,0,1,0,1,0,0,0,0,0,0,0
1820,2473,308,14,6,0,5,1,16,0,0,2,54,0,5,2,0,0,0,21,58,56,53,0,0,0,1,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0
1830,2775,318,18,10,0,3,0,14,1,0,3,67,0,2,1,0,0,0,21,77,26,58,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,3077,318,43,2,0,1,0,8,0,0,0,90,0,2,1,0,0,0,24,80,20,35,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0
1850,3378,326,21,7,0,2,0,1,0,0,1,122,0,6,1,1,0,0,17,86,14,32,0,2,0,2,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0
1860,3680,266,1,6,0,4,0,0,0,0,0,105,0,13,0,1,0,0,2,65,7,50,0,1,0,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1870,3981,326,4,12,0,7,0,0,0,0,0,139,0,10,0,0,1,0,3,67,8,70,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1880,4283,309,2,9,0,4,0,0,0,0,0,167,0,10,0,1,0,0,4,60,13,35,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
