"sample.depths","sample.ages","Abies","Acer.negundo","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra","Epilobium","Equisetum","Ericaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Humulus","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Lycopodium.type","Myriophyllum","Nuphar","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Polygonum","Populus","Potamogetonaceae","Potentilla","Pteridium.type","Quercus","Ranunculus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Typha.latifolia","Ulmus","Unknown","Urtica","Vitis"
755,NA,6,0,0,33,1,4,4,0,68,1,0,0,0,1,10,2,0,0,2,0,3,0,1,12,0,0,0,4,0,0,0,0,5,31,90,3,6,0,5,0,0,2,17,0,0,0,0,5,0,0,0,0,0,0,0,5,37,1,0,0
760,NA,1,0,0,38,1,4,5,0,55,4,0,0,0,0,5,0,0,0,0,0,6,0,0,22,0,0,1,4,0,0,0,2,3,19,109,0,6,0,10,0,0,0,25,0,0,0,0,7,0,0,0,1,2,0,0,3,29,1,0,0
770,NA,2,0,4,13,5,8,6,0,75,2,0,2,0,0,9,0,0,0,1,0,9,0,0,24,0,0,2,10,0,1,0,2,9,49,152,0,10,0,7,1,0,5,39,0,0,0,0,9,1,0,0,0,0,0,0,7,20,1,0,1
780,NA,0,0,0,10,0,6,14,2,48,1,0,0,2,0,5,0,0,0,4,0,7,0,1,6,1,0,2,6,0,0,0,0,7,48,101,2,5,0,7,0,0,0,24,0,0,0,0,12,0,0,0,1,0,0,1,2,22,1,0,0
790,NA,2,0,1,7,1,7,17,1,36,2,0,0,2,3,9,1,0,0,2,0,19,1,1,23,0,0,2,4,0,0,1,1,6,76,129,0,7,0,2,0,0,0,29,0,0,0,0,16,2,0,0,0,0,0,0,4,23,1,0,0
800,NA,2,0,0,5,1,1,15,3,25,0,0,0,2,1,7,1,0,0,5,0,17,1,0,17,0,3,1,12,0,1,0,0,2,151,111,0,9,0,2,0,0,0,17,1,0,0,1,5,0,0,0,2,0,0,0,3,24,1,0,0
810,NA,0,0,1,6,2,6,14,2,37,1,0,2,2,1,20,0,0,0,0,0,32,0,0,11,0,4,0,11,0,1,2,5,9,162,61,0,4,0,10,2,0,0,22,0,0,0,0,5,1,0,0,0,0,0,0,2,26,3,0,0
820,NA,3,0,0,9,0,5,14,2,21,0,0,0,1,0,23,1,0,1,1,0,8,0,1,5,0,2,0,14,0,0,3,4,5,131,48,0,3,0,5,0,3,0,16,2,0,2,0,16,0,0,2,0,2,0,0,4,27,1,0,0
830,NA,2,1,3,5,5,6,19,2,35,0,1,0,7,3,17,0,0,1,2,0,26,3,1,32,0,0,0,30,2,4,6,3,2,200,43,0,9,0,14,1,0,1,23,1,2,0,0,20,1,2,0,3,0,0,0,15,37,0,0,0
830,NA,2,1,3,5,5,6,19,2,35,0,1,0,7,3,17,0,0,1,2,0,26,3,1,32,0,0,0,30,2,4,6,3,2,200,43,0,9,0,14,1,0,1,23,1,2,0,0,20,1,2,0,3,0,0,0,15,37,0,0,0
835,NA,0,2,0,5,1,5,4,0,5,0,0,0,0,2,10,0,0,0,0,0,8,0,0,2,0,0,0,16,1,1,0,5,0,56,12,0,2,0,3,2,1,0,7,0,0,0,0,6,0,1,0,2,0,0,0,3,9,0,0,0
840,NA,0,0,0,9,3,6,15,1,24,0,0,0,7,5,20,0,0,0,3,0,18,0,1,17,0,1,0,19,0,1,0,6,6,130,14,0,4,1,14,3,0,0,18,0,1,0,0,10,0,0,0,3,0,1,0,6,27,0,0,0
845,12135,0,3,0,2,0,1,2,1,7,0,0,0,0,2,9,1,0,0,0,0,5,0,0,2,0,0,0,9,3,0,0,1,0,47,4,0,1,0,3,0,0,0,3,1,1,0,0,4,0,0,0,2,0,0,0,2,3,1,0,0
850,12158,6,4,0,9,5,4,9,1,41,2,0,1,4,5,18,0,0,0,2,0,30,0,1,41,1,0,0,20,1,12,5,7,6,188,15,0,8,0,10,4,0,0,20,4,2,0,0,23,1,0,0,3,0,1,0,5,44,0,0,0
850,12158,6,4,0,9,5,4,9,1,41,2,0,1,4,5,18,0,0,0,2,0,30,0,1,41,1,0,0,20,1,12,5,7,6,188,15,0,8,0,10,4,0,0,20,4,2,0,0,23,1,0,0,3,0,1,0,5,44,0,0,0
