"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Betula","Carya","Castanea","Ceanothus","Celtis","Corylus","Cupressaceae","Ephedra.viridis.type","Fagus.grandifolia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar.styraciflua","Morus","Myrica","Ostrya.type","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Prunus.type","Quercus","Rhus","Ribes","Salix","Sambucus","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Vitis","Ambrosia.type","Amelanchier.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","cf..Hypericum","Amaranthaceae","Cyperaceae","Fabaceae.undiff.","Galium","Humulus.lupulus","Iva.annua.type","Iva.xanthifolia.type","Melilotus.type","Phlox","Poaceae","Polygonum.lapathifolium.type","Rosaceae.undiff.","Thalictrum","Urtica.type"
1700,6557,445,0,0,0,1,9,1,0,1,13,0,0,1,3,4,1,2,31,2,4,0,0,0,0,0,23,0,1,2,18,3,0,0,0,211,0,0,2,0,0,0,0,3,52,0,21,0,0,0,5,2,0,0,0,1,10,0,0,0,0,2,0,0,16,0,0,0,0
1712,6934,484,0,0,0,3,10,3,0,2,20,0,0,1,2,2,0,1,10,1,6,0,0,2,0,0,23,0,1,2,20,5,0,0,0,229,0,0,3,0,0,0,0,5,74,0,15,0,0,0,3,3,0,0,0,3,15,0,0,0,0,2,0,0,18,0,0,0,0
1713,6968,366,0,0,0,0,9,2,0,0,14,1,0,0,0,2,0,0,14,0,1,1,0,0,0,0,28,2,0,2,17,5,1,0,0,181,0,0,2,0,0,0,0,1,37,1,9,0,0,0,4,1,0,0,0,4,6,0,0,0,0,0,0,0,20,0,0,1,0
1721,7253,317,0,0,0,2,4,0,0,1,14,0,1,3,3,5,0,0,4,2,1,1,0,2,2,0,29,1,0,2,12,4,0,0,0,137,1,0,0,0,0,0,0,1,38,1,20,0,0,0,2,1,0,0,0,4,8,0,0,0,0,0,0,0,10,0,0,1,0
1725,7408,319,0,0,2,1,3,0,0,2,9,0,0,2,3,2,0,3,11,0,1,1,0,0,0,0,18,2,0,0,16,4,1,0,0,134,0,0,0,0,0,0,0,2,33,0,31,0,0,0,5,2,0,0,0,5,6,0,0,0,2,0,0,0,17,0,1,0,0
1726,7448,342,0,0,0,1,12,0,0,2,5,0,0,0,4,2,0,0,10,0,2,1,0,0,0,0,19,1,0,3,16,5,2,0,0,140,0,0,4,0,0,0,0,3,29,2,29,0,0,0,5,2,0,0,0,6,14,0,0,1,4,1,0,0,17,0,0,0,0
1727,7489,336,0,0,0,1,11,1,0,0,13,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,12,0,0,2,18,1,0,0,0,153,0,0,1,0,0,0,0,3,42,0,27,0,0,0,3,0,0,0,0,4,12,0,0,1,0,0,0,0,15,0,0,2,0
1729,7572,302,0,0,0,0,5,0,0,3,7,0,0,0,4,3,0,0,12,1,0,0,0,0,0,0,14,2,1,0,10,8,0,0,0,141,0,0,4,0,1,0,0,2,24,0,19,0,0,0,5,3,0,0,0,5,8,0,0,0,0,0,0,1,19,0,0,0,0
1730,7615,302,0,1,0,0,0,1,0,2,6,0,0,1,1,3,0,1,9,0,1,2,2,0,0,0,15,0,0,2,13,5,0,0,0,133,0,0,2,0,0,0,0,4,32,2,18,0,0,0,4,2,0,0,0,5,8,0,0,0,2,0,0,0,25,0,0,0,0
1731,7659,380,0,0,0,0,5,2,0,0,4,0,0,0,2,1,0,0,25,0,0,1,0,0,0,0,16,0,0,0,16,0,0,0,0,179,0,0,2,0,1,0,0,0,40,0,33,0,0,0,6,1,0,0,0,9,16,0,0,0,1,0,0,0,19,0,0,1,0
