"sample.depths","sample.ages","Apiaceae","Asteraceae.subf..Asteroideae.undiff.","Carya","Caryophyllaceae","Castanea","cf..Rhamnus.alnifolia","cf..Viburnum.lentago","Chenopodium.type","Cornus.canadensis","Corylus","Cyperaceae","Dalea","Diphasiastrum.complanatum.type","Dryopteris","Ephedra","Equisetum","Ericaceae.undiff.","Fabaceae.cf..Melilotus","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Gaultheria.procumbens","Geum","Humulus.Cannabis.sativa","Huperzia.selago.type","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juniperus.type","Laportea","Larix","Ledum.Chamaedaphne.calyculata","Liquidambar","Lycopodiella.inundata","Lycopodium.annotinum","Myrica","Nuphar","Nymphaea","Osmunda.cinnamomea","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus.type","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla","Prunus.americana.type","Pteridium.aquilinum","Pteridophyta.undiff.","Quercus","Ranunculus.flabellaris.type","Rosaceae.undiff.","Rubus.chamaemorus","Sagittaria","Salix","Sarracenia","Sphagnum","Thalictrum","Tilia","Toxicodendron.radicans.type","Tsuga","Typha.latifolia","Ulmus","Unknown","Zea.mays"
280,5423,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,9,5,0,3,95,138,0,1,1,0,0,0,0,0,1,1,13,0,0,1,0,0,2,0,0,2,0,0,0,13,1,0
320,6014,0,2,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,2,14,0,1,92,101,0,1,2,0,3,0,0,5,1,0,31,0,0,0,0,0,0,1,0,0,0,0,2,27,0,0
360,6605,0,2,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,4,12,3,7,126,107,0,1,1,0,2,0,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0
400,7196,0,3,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,9,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,10,9,0,1,111,139,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
420,7489,0,1,0,0,0,1,0,6,0,2,19,2,0,3,0,1,1,0,0,2,1,0,0,0,0,0,0,18,0,1,0,0,0,1,0,2,9,0,0,0,0,0,0,1,43,1,1,9,63,0,0,0,2,0,0,0,0,1,6,35,0,0,0,0,0,1,0,0,3,0,0,0,30,0,0
426,7563,0,2,1,0,0,1,0,0,0,3,23,0,0,3,0,0,0,0,0,2,1,1,3,0,0,0,0,5,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,36,0,3,93,86,0,1,3,0,0,0,0,0,2,1,25,0,0,0,0,2,0,4,0,2,0,0,0,20,0,0
470,8103,0,3,0,0,0,0,0,2,0,2,14,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,9,0,0,0,1,0,3,0,2,0,0,0,0,2,0,0,6,30,0,0,49,87,0,1,0,0,5,0,0,1,0,1,35,0,0,0,0,2,0,1,0,3,1,0,0,19,0,0
480,8226,0,1,0,0,0,0,0,3,1,1,11,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,20,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,17,0,3,69,113,0,0,1,0,2,0,0,1,0,1,11,0,0,0,0,2,0,2,0,1,0,0,1,12,0,0
520,8717,0,2,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,14,0,0,98,156,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
540,8962,1,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,3,11,0,10,67,79,0,0,7,0,12,0,0,0,0,1,20,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0
556,9158,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,1,0,2,0,4,0,0,0,0,0,0,0,3,13,3,3,104,110,0,0,0,0,0,0,0,0,2,2,8,0,0,0,0,0,1,0,0,2,0,0,0,8,0,0
600,9698,0,0,0,0,1,0,0,4,0,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,2,0,0,2,0,1,0,0,0,2,0,1,0,3,3,0,13,87,109,0,0,2,0,1,0,1,0,2,3,8,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1
620,9944,0,0,0,0,0,1,0,5,0,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,5,3,9,97,94,0,2,0,0,8,0,0,0,7,9,20,0,0,0,0,1,0,6,0,0,0,0,1,25,0,0
640,10189,1,5,3,0,0,0,0,12,0,0,3,0,0,0,0,0,1,0,0,3,1,2,1,0,0,0,0,14,1,1,2,0,0,3,1,6,0,0,2,0,0,0,0,4,2,2,10,29,57,0,0,17,0,3,0,0,0,10,8,27,0,0,0,0,4,0,0,1,0,0,0,0,16,0,0
660,10434,0,5,4,0,0,0,0,1,0,1,2,0,0,3,0,0,0,0,1,5,1,2,0,0,0,0,0,11,0,0,1,0,0,3,0,3,0,0,0,0,2,0,0,0,6,2,22,33,85,0,1,4,0,6,0,0,0,6,3,17,0,0,0,0,1,0,0,1,0,0,0,0,49,0,0
680,10680,0,1,4,0,0,0,0,6,0,0,5,0,0,3,0,0,0,0,0,9,1,0,0,0,0,0,0,16,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,1,8,1,39,10,23,0,1,0,0,1,0,0,0,5,2,17,0,0,0,0,1,0,0,0,3,0,0,0,51,0,0
720,NA,0,1,0,1,0,0,0,1,0,1,4,0,3,0,0,6,0,0,0,20,0,0,0,0,0,0,0,3,6,0,0,0,0,16,0,8,0,0,0,0,0,5,0,0,8,150,12,0,8,0,1,4,0,16,1,0,0,1,0,5,0,0,0,0,10,0,0,0,0,0,0,0,12,0,0
760,NA,0,4,2,0,0,0,0,3,0,3,27,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,10,0,2,0,0,0,12,0,7,0,0,0,2,0,14,0,0,2,127,0,0,1,0,0,6,0,5,0,0,0,0,2,6,0,2,1,1,14,0,2,0,0,0,0,0,7,1,0
