"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Diphasiastrum.complanatum.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Menyanthes.trifoliata","Morus","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Polypodiaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Pteridium.type","Pyrus.type","Quercus","Ribes","Rosaceae.undiff.","Rumex","Salix","Shepherdia.canadensis","Sphagnum","Spiraea.type","Taxus","Thalictrum","Tilia","Tsuga","Typha.Sparganium","Ulmus","Unknown","Urtica.type","Viburnum","Vitis"
0,0,12,0,2,12,1,0,1,2,6,1,0,145,2,1,0,2,2,6,0,0,0,37,1,7,0,0,12,7,1,0,0,0,1,0,1,0,1,0,1,0,0,4,21,1,9,19,2,9,3,0,2,1,1,0,18,0,1,3,1,0,6,0,0,0,0,20,0,4,2,0,0,1
15,201,14,0,0,11,0,0,3,0,2,0,0,155,1,5,0,3,0,1,0,0,1,37,5,1,0,0,15,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,19,0,6,17,2,1,0,0,1,0,1,0,14,0,1,1,1,0,12,0,0,0,0,33,0,0,3,0,0,0
27,573,24,0,0,8,0,0,5,1,1,0,1,135,0,3,1,5,0,6,0,0,0,51,1,5,1,0,14,9,1,0,0,0,1,0,0,0,0,1,0,0,0,7,15,0,9,17,0,0,2,0,0,0,0,0,18,0,0,2,0,0,9,0,2,0,1,33,0,2,3,0,0,0
30,666,9,0,0,12,0,0,8,0,1,0,2,155,0,1,0,4,0,6,0,0,1,38,2,6,0,0,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,10,12,0,0,3,0,2,1,1,0,26,0,0,0,1,0,6,0,0,0,0,31,0,8,9,0,0,0
52,1348,9,0,1,9,0,0,3,0,0,0,1,146,1,0,0,2,1,3,0,0,0,50,5,7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,14,0,7,12,0,0,0,0,0,0,0,0,15,0,0,0,1,0,6,0,0,0,0,31,0,4,3,0,0,0
77,3178,5,0,0,16,0,0,6,0,1,0,1,141,0,2,0,3,0,0,0,0,0,97,2,9,0,0,13,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,0,14,19,1,1,3,0,0,3,1,0,28,0,0,0,0,0,11,0,0,0,1,33,1,6,1,0,0,0
102,3789,5,0,0,10,0,0,4,0,0,0,1,174,0,0,0,4,0,7,0,0,0,43,1,10,0,0,19,30,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,14,0,0,2,0,0,1,0,0,26,0,1,0,0,0,15,0,0,0,0,26,0,9,1,0,0,0
127,4400,3,0,1,10,1,0,3,0,1,1,1,151,0,0,0,2,0,4,0,0,1,36,3,1,1,0,8,63,1,0,1,0,1,0,0,0,0,0,2,0,0,1,4,0,21,16,0,1,5,0,0,1,1,0,26,0,0,0,0,0,14,0,0,1,0,45,1,10,1,0,0,0
142,4767,7,0,0,3,0,0,8,0,0,0,0,160,0,1,0,0,0,6,0,0,0,39,2,5,1,0,3,74,0,0,0,0,1,0,0,0,0,0,3,0,0,3,1,0,13,28,0,1,9,0,0,1,0,0,14,0,1,0,1,0,7,1,0,0,0,37,0,8,9,0,0,0
152,5012,4,0,0,6,0,1,10,0,0,0,1,142,0,1,0,2,0,1,0,0,0,22,0,2,0,0,16,121,1,0,0,1,0,0,0,0,0,0,2,1,0,4,5,0,17,22,1,0,1,0,1,2,0,0,28,0,0,0,0,0,10,1,1,0,1,48,1,9,1,0,0,0
167,5379,7,0,0,6,0,0,6,1,0,1,0,136,2,1,0,2,0,4,0,0,0,29,4,3,0,1,17,123,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4,1,15,30,2,1,5,0,0,0,0,0,20,0,0,0,0,0,7,0,1,0,1,68,0,7,2,0,0,0
177,5623,4,0,1,7,0,0,18,0,3,1,3,129,1,2,0,4,0,1,1,0,1,15,4,7,0,0,15,301,0,1,0,0,0,1,0,0,0,1,3,0,0,2,0,0,17,44,0,1,8,0,3,1,1,1,27,0,6,0,0,0,8,3,0,0,1,51,0,4,2,0,1,0
192,5990,5,0,1,11,0,0,13,0,2,0,0,114,0,0,0,1,0,2,0,0,0,13,5,2,0,0,10,310,1,0,0,0,0,4,2,0,0,0,3,0,0,3,2,1,38,53,0,1,6,0,0,1,1,0,101,0,0,0,1,0,18,0,1,0,1,52,0,4,1,0,0,0
202,6235,6,1,0,8,0,0,19,1,0,0,0,119,0,0,0,8,0,2,0,0,0,9,0,3,2,2,16,292,0,0,0,0,2,0,1,0,0,1,5,0,0,13,5,1,38,55,1,1,17,0,1,4,0,0,40,0,0,0,1,0,17,1,0,1,1,41,0,6,6,0,1,0
217,6602,9,0,0,7,1,0,19,0,1,0,0,80,0,0,0,2,0,5,0,0,1,15,4,7,0,0,5,120,0,0,0,0,0,1,0,0,0,0,5,0,0,3,1,0,34,40,1,2,8,0,0,4,2,0,43,0,1,0,0,0,5,1,0,1,1,70,0,10,2,0,0,0
227,6846,7,0,1,4,1,0,21,1,0,0,1,82,0,0,0,0,0,3,0,1,0,8,1,3,1,0,9,89,0,0,0,0,2,4,1,0,0,3,3,0,0,7,4,3,34,56,0,0,6,0,0,3,0,1,35,0,1,0,0,0,7,0,0,0,0,50,0,9,6,0,1,0
252,7458,2,0,0,12,0,0,14,0,0,0,0,81,0,1,0,2,0,2,0,0,0,3,4,1,0,0,18,68,2,0,0,0,0,2,2,0,0,1,4,0,0,9,1,1,41,51,1,3,6,0,1,1,2,0,47,0,4,0,0,0,4,2,0,0,1,37,0,6,1,0,0,0
277,8069,7,0,1,6,0,0,19,2,1,0,2,70,1,0,0,5,2,1,0,1,0,9,2,3,0,0,8,114,0,0,0,0,2,0,0,0,0,0,2,0,1,4,1,1,51,89,0,4,4,1,0,3,0,0,41,0,0,0,0,0,1,0,3,0,2,14,0,4,16,0,0,0
302,8681,4,0,1,4,1,0,14,0,0,0,0,62,0,0,0,5,0,1,0,0,0,0,3,1,1,0,17,111,0,0,0,0,2,4,5,0,0,1,1,0,0,8,1,1,77,76,2,0,16,0,0,1,0,0,43,0,1,0,1,0,2,1,2,0,0,28,0,1,2,0,0,0
327,9097,4,0,0,5,0,0,11,1,1,1,1,72,0,0,0,2,1,1,0,0,0,2,5,1,0,0,14,19,1,0,0,0,0,2,2,0,0,1,1,0,0,8,3,1,51,82,1,0,3,0,0,1,1,0,66,0,0,0,0,0,3,0,0,0,1,19,0,6,3,0,0,0
352,9514,8,0,0,6,0,0,19,0,0,0,0,57,1,1,0,2,0,1,1,0,0,0,5,3,1,0,8,67,0,0,0,0,2,1,0,0,0,1,0,0,0,4,0,3,71,77,0,0,2,1,1,1,2,0,64,0,0,0,0,0,2,1,0,0,0,12,0,6,0,0,0,0
377,9930,1,0,0,1,0,0,27,0,0,0,1,95,1,0,0,7,0,0,1,0,1,0,3,2,0,0,13,65,0,0,0,0,1,1,4,0,0,0,0,0,0,4,0,0,37,86,3,2,4,3,1,6,0,1,57,0,0,0,1,0,0,0,0,0,0,7,0,7,3,0,0,0
402,10347,6,0,1,1,0,0,13,0,1,0,3,135,0,0,0,5,1,1,0,0,0,1,5,3,0,0,30,3,0,0,0,0,2,0,0,0,0,2,0,0,0,8,3,0,34,72,0,0,4,1,2,1,1,0,109,0,0,0,1,0,0,0,0,0,0,1,0,7,1,0,0,0
407,NA,4,0,0,3,1,0,10,0,0,0,0,162,0,0,0,2,3,0,0,0,1,0,9,0,0,0,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1,28,41,0,1,1,5,0,0,0,0,125,0,0,0,1,0,0,0,0,0,0,3,0,13,1,0,0,0
415,NA,3,0,0,0,0,0,80,0,0,1,4,48,1,0,0,9,1,9,1,0,1,0,0,1,0,0,21,0,2,0,3,0,2,1,9,0,0,3,0,0,0,5,59,4,8,50,0,7,25,5,2,3,20,0,9,1,0,0,9,1,2,1,0,1,0,1,0,4,4,2,0,0
